0:00:04.191357: {Acceleration: {Time: 4164, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4124, Status: 3, Value: (0.05859375,-0.09375,0.12109375)},Magnetic: {Time: 4127, Status: 1, Value: (-29.6875,28.9375,-14.375)},Gravity: {Time: 4110, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 4167, Status: 0, Value: (-0.01531982421875,-0.0029296875,-0.39312744140625, 0.91937255859375)}}
0:00:04.307331: {Acceleration: {Time: 4283, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4216, Status: 3, Value: (-0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 4219, Status: 1, Value: (-29.0,27.75,-16.0)},Gravity: {Time: 4213, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 4280, Status: 0, Value: (-0.01531982421875,-0.0029296875,-0.39312744140625, 0.91937255859375)}}
0:00:04.403095: {Acceleration: {Time: 4379, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4340, Status: 3, Value: (0.02734375,-0.01953125,0.00390625)},Magnetic: {Time: 4342, Status: 1, Value: (-30.75,29.25,-15.375)},Gravity: {Time: 4336, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 4374, Status: 0, Value: (-0.01531982421875,-0.0029296875,-0.39312744140625, 0.91937255859375)}}
0:00:04.501872: {Acceleration: {Time: 4470, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4478, Status: 3, Value: (-0.01953125,0.01953125,0.00390625)},Magnetic: {Time: 4412, Status: 1, Value: (-29.5,29.125,-16.3125)},Gravity: {Time: 4474, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 4472, Status: 0, Value: (-0.01531982421875,-0.0029296875,-0.39312744140625, 0.91937255859375)}}
0:00:04.593753: {Acceleration: {Time: 4567, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4560, Status: 3, Value: (-0.01953125,0.01953125,0.01171875)},Magnetic: {Time: 4563, Status: 1, Value: (-29.125,28.5,-15.1875)},Gravity: {Time: 4556, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4570, Status: 0, Value: (-0.01531982421875,-0.0029296875,-0.39312744140625, 0.91937255859375)}}
0:00:04.701863: {Acceleration: {Time: 4678, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4628, Status: 3, Value: (0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 4642, Status: 1, Value: (-29.1875,28.8125,-15.1875)},Gravity: {Time: 4625, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 4674, Status: 0, Value: (-0.01531982421875,-0.0029296875,-0.39312744140625, 0.91937255859375)}}
0:00:04.794894: {Acceleration: {Time: 4741, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4762, Status: 3, Value: (-0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 4766, Status: 1, Value: (-28.625,27.75,-15.6875)},Gravity: {Time: 4748, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 4743, Status: 0, Value: (-0.01531982421875,-0.0029296875,-0.39312744140625, 0.91937255859375)}}
0:00:04.892553: {Acceleration: {Time: 4865, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4828, Status: 3, Value: (0.01953125,0.09765625,0.04296875)},Magnetic: {Time: 4804, Status: 1, Value: (-29.8125,27.25,-15.625)},Gravity: {Time: 4825, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 4869, Status: 0, Value: (-0.01531982421875,-0.0029296875,-0.39312744140625, 0.91937255859375)}}
0:00:05.005545: {Acceleration: {Time: 4982, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4916, Status: 3, Value: (0.02734375,-0.02734375,0.01171875)},Magnetic: {Time: 4919, Status: 1, Value: (-30.1875,28.625,-13.5625)},Gravity: {Time: 4913, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 4979, Status: 0, Value: (-0.01531982421875,-0.0029296875,-0.39312744140625, 0.91937255859375)}}
0:00:05.103300: {Acceleration: {Time: 5070, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5080, Status: 3, Value: (-0.05078125,0.05078125,-0.1484375)},Magnetic: {Time: 5015, Status: 1, Value: (-29.125,27.8125,-14.875)},Gravity: {Time: 5076, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 5072, Status: 0, Value: (-0.01531982421875,-0.0029296875,-0.39312744140625, 0.91937255859375)}}
