0:00:11.578065: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.02730560302734, Phase Shift: 2.6889006221608724e-07, Phase: 9484.296875
0:00:11.656031: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.02610778808594, Phase Shift: 2.4548964461246214e-07, Phase: 9484.296875
0:00:11.749809: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.02493286132812, Phase Shift: 2.2365530583101645e-07, Phase: 9484.296875
0:00:11.843768: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.02387237548828, Phase Shift: 2.0483091134337883e-07, Phase: 9484.296875
0:00:11.921680: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.02284240722656, Phase Shift: 1.8739569895842578e-07, Phase: 9484.296875
0:00:12.015435: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.0218505859375, Phase Shift: 1.7126598095273948e-07, Phase: 9484.296875
0:00:12.140423: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.02045440673828, Phase Shift: 1.4979421791849745e-07, Phase: 9484.296875
0:00:12.234180: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.01956176757812, Phase Shift: 1.3690173261693417e-07, Phase: 9484.296875
0:00:12.328137: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.01869201660156, Phase Shift: 1.2485560318964417e-07, Phase: 9484.296875
0:00:12.406077: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.01783752441406, Phase Shift: 1.1362696028527353e-07, Phase: 9484.296875
0:00:12.499811: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.01703643798828, Phase Shift: 1.0352075463515575e-07, Phase: 9484.296875
0:00:12.593559: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.01627349853516, Phase Shift: 9.44118596635235e-08, Phase: 9484.296875
0:00:12.687333: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.01554870605469, Phase Shift: 8.610588508872752e-08, Phase: 9484.296875
0:00:12.765420: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.01486206054688, Phase Shift: 7.861191875235818e-08, Phase: 9484.296875
