0:00:13.353667: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10300.4619140625
0:00:13.444825: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10301.03515625
0:00:13.548623: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10301.689453125
0:00:13.652546: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10302.34375
0:00:13.756346: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10302.9990234375
0:00:13.860089: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10303.654296875
0:00:13.951243: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10304.2275390625
0:00:14.055102: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10304.8818359375
0:00:14.158907: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10305.5361328125
0:00:14.262723: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10306.19140625
0:00:14.366465: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10306.8466796875
0:00:14.457641: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10307.419921875
0:00:14.561428: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10308.0751953125
0:00:14.665223: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10308.73046875
0:00:14.769077: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10309.3857421875
0:00:14.873044: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10310.041015625
0:00:14.964042: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10310.6142578125
0:00:15.067917: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10311.2685546875
0:00:15.171681: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10311.923828125
