0:00:03.246114: {Acceleration: {Time: 3213, Status: 0, Value: (-0.001953125,0.001953125,0.0)},Gyroscope: {Time: 3203, Status: 3, Value: (0.02734375,0.015625,-0.0390625)},Magnetic: {Time: 3207, Status: 2, Value: (12.6875,-5.0,-34.0)},Gravity: {Time: 3189, Status: 3, Value: (0.0234375,0.4453125,9.8515625)}, Rotation: {Time: 3216, Status: 0, Value: (0.0155029296875,0.0169677734375,0.79046630859375, 0.612060546875)}}
0:00:03.360243: {Acceleration: {Time: 3326, Status: 0, Value: (0.0,-0.00390625,-0.001953125)},Gyroscope: {Time: 3276, Status: 3, Value: (0.21875,0.0078125,-0.0078125)},Magnetic: {Time: 3290, Status: 2, Value: (12.0625,-5.1875,-34.0)},Gravity: {Time: 3272, Status: 3, Value: (0.0234375,0.453125,9.859375)}, Rotation: {Time: 3322, Status: 0, Value: (0.01544189453125,0.0169677734375,0.79046630859375, 0.612060546875)}}
0:00:03.453718: {Acceleration: {Time: 3412, Status: 0, Value: (-0.00390625,0.0,0.0)},Gyroscope: {Time: 3420, Status: 3, Value: (-0.01171875,-0.11328125,-0.015625)},Magnetic: {Time: 3360, Status: 2, Value: (11.8125,-6.0,-35.3125)},Gravity: {Time: 3418, Status: 3, Value: (0.0234375,0.4609375,9.8671875)}, Rotation: {Time: 3414, Status: 0, Value: (0.01544189453125,0.01702880859375,0.79046630859375, 0.612060546875)}}
0:00:03.514520: {Acceleration: {Time: 3488, Status: 0, Value: (-0.001953125,0.0,0.001953125)},Gyroscope: {Time: 3477, Status: 3, Value: (0.02734375,0.0390625,0.0234375)},Magnetic: {Time: 3452, Status: 2, Value: (13.0,-2.9375,-33.5)},Gravity: {Time: 3473, Status: 3, Value: (0.0234375,0.4609375,9.8671875)}, Rotation: {Time: 3483, Status: 0, Value: (0.0155029296875,0.01708984375,0.79046630859375, 0.612060546875)}}
0:00:03.621662: {Acceleration: {Time: 3583, Status: 0, Value: (-0.001953125,0.00390625,0.0)},Gyroscope: {Time: 3557, Status: 3, Value: (-0.01171875,-0.09375,0.0234375)},Magnetic: {Time: 3571, Status: 2, Value: (11.9375,-5.625,-34.625)},Gravity: {Time: 3554, Status: 3, Value: (0.0234375,0.4765625,9.8671875)}, Rotation: {Time: 3586, Status: 0, Value: (0.0155029296875,0.01715087890625,0.79046630859375, 0.612060546875)}}
0:00:03.730512: {Acceleration: {Time: 3678, Status: 0, Value: (0.0,0.001953125,-0.001953125)},Gyroscope: {Time: 3688, Status: 3, Value: (0.01171875,-0.0859375,0.0234375)},Magnetic: {Time: 3650, Status: 2, Value: (11.9375,-4.5,-33.75)},Gravity: {Time: 3684, Status: 3, Value: (0.0390625,0.46875,9.8671875)}, Rotation: {Time: 3680, Status: 0, Value: (0.0155029296875,0.0172119140625,0.79046630859375, 0.612060546875)}}
0:00:03.814495: {Acceleration: {Time: 3784, Status: 0, Value: (0.0,-0.00390625,-0.001953125)},Gyroscope: {Time: 3758, Status: 3, Value: (0.01171875,-0.0390625,-0.0078125)},Magnetic: {Time: 3772, Status: 2, Value: (12.0625,-5.1875,-34.375)},Gravity: {Time: 3754, Status: 3, Value: (0.0390625,0.4609375,9.859375)}, Rotation: {Time: 3787, Status: 0, Value: (0.0155029296875,0.0172119140625,0.79046630859375, 0.61212158203125)}}
0:00:03.926822: {Acceleration: {Time: 3877, Status: 0, Value: (-0.0078125,-0.00390625,-0.001953125)},Gyroscope: {Time: 3886, Status: 3, Value: (0.01171875,0.12109375,-0.015625)},Magnetic: {Time: 3822, Status: 2, Value: (12.0625,-5.125,-35.0)},Gravity: {Time: 3883, Status: 3, Value: (0.0390625,0.453125,9.8671875)}, Rotation: {Time: 3880, Status: 0, Value: (0.015380859375,0.01715087890625,0.7904052734375, 0.61212158203125)}}
0:00:03.984426: {Acceleration: {Time: 3947, Status: 0, Value: (0.0,0.00390625,-0.001953125)},Gyroscope: {Time: 3956, Status: 3, Value: (-0.08203125,-0.19140625,0.03125)},Magnetic: {Time: 3917, Status: 2, Value: (12.0625,-4.0625,-33.75)},Gravity: {Time: 3953, Status: 3, Value: (0.0546875,0.4609375,9.859375)}, Rotation: {Time: 3950, Status: 0, Value: (0.015380859375,0.01708984375,0.79046630859375, 0.612060546875)}}
0:00:04.113630: {Acceleration: {Time: 4079, Status: 0, Value: (-0.001953125,0.00390625,0.0)},Gyroscope: {Time: 4072, Status: 3, Value: (-0.00390625,-0.10546875,-0.046875)},Magnetic: {Time: 4074, Status: 2, Value: (11.5625,-4.625,-34.0625)},Gravity: {Time: 4069, Status: 3, Value: (0.0546875,0.453125,9.859375)}, Rotation: {Time: 4081, Status: 0, Value: (0.01544189453125,0.01708984375,0.79046630859375, 0.61212158203125)}}
