0:00:03.933215 {Acceleration: {Time: 3884, Status: 0, Value: (0.00390625,0.0,-0.001953125)},Gyroscope: {Time: 3856, Status: 3, Value: (-0.00390625,0.00390625,-0.01171875)},Magnetic: {Time: 3871, Status: 2, Value: (8.5625,-18.25,-48.625)},Gravity: {Time: 3854, Status: 3, Value: (-0.2109375,0.046875,9.765625)}, Rotation: {Time: 3887, Status: 2, Value: (-0.01019287109375,0.00421142578125,0.98162841796875, 0.1904296875)}}
0:00:04.058628 {Acceleration: {Time: 4000, Status: 0, Value: (0.0,0.0,0.001953125)},Gyroscope: {Time: 3974, Status: 3, Value: (0.03515625,0.00390625,-0.01171875)},Magnetic: {Time: 3988, Status: 2, Value: (8.625,-18.5625,-50.5625)},Gravity: {Time: 3972, Status: 3, Value: (-0.2109375,0.046875,9.765625)}, Rotation: {Time: 4003, Status: 2, Value: (-0.0101318359375,0.00433349609375,0.98162841796875, 0.19049072265625)}}
0:00:04.167358 {Acceleration: {Time: 4116, Status: 0, Value: (0.001953125,0.0,0.00390625)},Gyroscope: {Time: 4105, Status: 3, Value: (-0.00390625,0.00390625,0.02734375)},Magnetic: {Time: 4108, Status: 2, Value: (8.9375,-19.625,-49.0625)},Gravity: {Time: 4091, Status: 3, Value: (-0.2109375,0.046875,9.765625)}, Rotation: {Time: 4118, Status: 2, Value: (-0.0101318359375,0.00433349609375,0.98162841796875, 0.1904296875)}}
0:00:04.277006 {Acceleration: {Time: 4224, Status: 0, Value: (-0.001953125,0.00390625,-0.001953125)},Gyroscope: {Time: 4203, Status: 3, Value: (-0.00390625,-0.03125,-0.01171875)},Magnetic: {Time: 4218, Status: 2, Value: (7.4375,-18.875,-48.25)},Gravity: {Time: 4200, Status: 3, Value: (-0.2109375,0.046875,9.765625)}, Rotation: {Time: 4197, Status: 2, Value: (-0.0101318359375,0.00433349609375,0.98162841796875, 0.1904296875)}}
0:00:04.387550 {Acceleration: {Time: 4335, Status: 0, Value: (-0.001953125,0.001953125,-0.001953125)},Gyroscope: {Time: 4314, Status: 3, Value: (-0.00390625,0.01171875,-0.01171875)},Magnetic: {Time: 4329, Status: 2, Value: (8.625,-18.9375,-49.8125)},Gravity: {Time: 4310, Status: 3, Value: (-0.2109375,0.0390625,9.765625)}, Rotation: {Time: 4307, Status: 2, Value: (-0.01019287109375,0.0042724609375,0.98162841796875, 0.19036865234375)}}
0:00:04.496033 {Acceleration: {Time: 4451, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4424, Status: 3, Value: (-0.00390625,0.01171875,-0.01171875)},Magnetic: {Time: 4439, Status: 2, Value: (8.1875,-17.875,-48.625)},Gravity: {Time: 4420, Status: 3, Value: (-0.2109375,0.0390625,9.765625)}, Rotation: {Time: 4454, Status: 2, Value: (-0.01019287109375,0.00433349609375,0.981689453125, 0.19024658203125)}}
0:00:04.613240 {Acceleration: {Time: 4555, Status: 0, Value: (-0.00390625,0.0,-0.001953125)},Gyroscope: {Time: 4563, Status: 3, Value: (-0.00390625,0.00390625,0.03515625)},Magnetic: {Time: 4502, Status: 2, Value: (9.625,-19.25,-49.4375)},Gravity: {Time: 4560, Status: 3, Value: (-0.2109375,0.046875,9.7578125)}, Rotation: {Time: 4558, Status: 2, Value: (-0.01019287109375,0.00439453125,0.981689453125, 0.19024658203125)}}
0:00:04.731443 {Acceleration: {Time: 4681, Status: 0, Value: (-0.001953125,0.001953125,-0.00390625)},Gyroscope: {Time: 4649, Status: 3, Value: (-0.00390625,-0.03125,-0.00390625)},Magnetic: {Time: 4653, Status: 2, Value: (8.5625,-17.5,-49.0)},Gravity: {Time: 4647, Status: 3, Value: (-0.2109375,0.046875,9.7578125)}, Rotation: {Time: 4684, Status: 2, Value: (-0.01025390625,0.00439453125,0.981689453125, 0.190185546875)}}
0:00:04.843466 {Acceleration: {Time: 4795, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4789, Status: 3, Value: (-0.00390625,-0.03125,-0.00390625)},Magnetic: {Time: 4792, Status: 2, Value: (8.9375,-18.5,-48.625)},Gravity: {Time: 4785, Status: 3, Value: (-0.2109375,0.046875,9.7578125)}, Rotation: {Time: 4798, Status: 2, Value: (-0.01025390625,0.00439453125,0.981689453125, 0.19012451171875)}}
0:00:04.966576 {Acceleration: {Time: 4914, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4871, Status: 3, Value: (-0.00390625,0.01171875,0.03515625)},Magnetic: {Time: 4875, Status: 2, Value: (8.5625,-18.5,-48.625)},Gravity: {Time: 4857, Status: 3, Value: (-0.2109375,0.0390625,9.7578125)}, Rotation: {Time: 4910, Status: 2, Value: (-0.01025390625,0.00439453125,0.981689453125, 0.1900634765625)}}
0:00:05.073121 {Acceleration: {Time: 5025, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5030, Status: 3, Value: (-0.00390625,0.01171875,-0.00390625)},Magnetic: {Time: 5033, Status: 2, Value: (8.1875,-19.625,-47.4375)},Gravity: {Time: 5027, Status: 3, Value: (-0.2109375,0.0390625,9.7578125)}, Rotation: {Time: 5020, Status: 2, Value: (-0.01025390625,0.00439453125,0.981689453125, 0.1900634765625)}}
0:00:05.200874 {Acceleration: {Time: 5147, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5106, Status: 3, Value: (-0.00390625,0.01171875,-0.00390625)},Magnetic: {Time: 5109, Status: 2, Value: (8.9375,-17.5,-48.25)},Gravity: {Time: 5150, Status: 3, Value: (-0.2109375,0.0390625,9.7578125)}, Rotation: {Time: 5143, Status: 2, Value: (-0.01025390625,0.00439453125,0.98175048828125, 0.18994140625)}}
0:00:05.308608 {Acceleration: {Time: 5264, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5238, Status: 3, Value: (0.03515625,-0.03125,-0.00390625)},Magnetic: {Time: 5252, Status: 2, Value: (8.9375,-19.25,-49.0625)},Gravity: {Time: 5236, Status: 3, Value: (-0.2109375,0.046875,9.7578125)}, Rotation: {Time: 5266, Status: 2, Value: (-0.01025390625,0.00433349609375,0.98175048828125, 0.18994140625)}}
