0:00:03.963192 {Acceleration: {Time: 3920, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3893, Status: 3, Value: (-0.01953125,0.02734375,0.0078125)},Magnetic: {Time: 3907, Status: 2, Value: (-2.75,-26.75,-35.8125)},Gravity: {Time: 3890, Status: 3, Value: (0.453125,0.625,9.84375)}, Rotation: {Time: 3923, Status: 0, Value: (-0.02154541015625,-0.0323486328125,-0.99884033203125, 0.0279541015625)}}
0:00:04.067709 {Acceleration: {Time: 4016, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3984, Status: 3, Value: (0.02734375,-0.01171875,-0.03125)},Magnetic: {Time: 3988, Status: 2, Value: (-3.125,-26.875,-35.8125)},Gravity: {Time: 3981, Status: 3, Value: (0.4453125,0.625,9.84375)}, Rotation: {Time: 4010, Status: 0, Value: (-0.02154541015625,-0.0323486328125,-0.99884033203125, 0.0279541015625)}}
0:00:04.145737 {Acceleration: {Time: 4097, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4105, Status: 3, Value: (0.02734375,-0.01171875,-0.03125)},Magnetic: {Time: 4042, Status: 2, Value: (-3.375,-27.875,-35.125)},Gravity: {Time: 4101, Status: 3, Value: (0.4453125,0.625,9.84375)}, Rotation: {Time: 4099, Status: 0, Value: (-0.02154541015625,-0.0323486328125,-0.99884033203125, 0.0279541015625)}}
0:00:04.245596 {Acceleration: {Time: 4201, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4175, Status: 3, Value: (-0.01171875,-0.01171875,0.0078125)},Magnetic: {Time: 4189, Status: 2, Value: (-4.125,-27.1875,-36.125)},Gravity: {Time: 4172, Status: 3, Value: (0.4453125,0.625,9.84375)}, Rotation: {Time: 4205, Status: 0, Value: (-0.02154541015625,-0.0323486328125,-0.99884033203125, 0.0279541015625)}}
0:00:04.345611 {Acceleration: {Time: 4293, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4279, Status: 3, Value: (-0.01171875,0.02734375,0.0078125)},Magnetic: {Time: 4283, Status: 2, Value: (-2.875,-27.375,-34.125)},Gravity: {Time: 4265, Status: 3, Value: (0.4453125,0.625,9.84375)}, Rotation: {Time: 4289, Status: 0, Value: (-0.02154541015625,-0.0323486328125,-0.99884033203125, 0.0279541015625)}}
0:00:04.444977 {Acceleration: {Time: 4403, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4389, Status: 3, Value: (-0.01171875,-0.01171875,0.0078125)},Magnetic: {Time: 4393, Status: 2, Value: (-2.25,-27.0625,-35.0625)},Gravity: {Time: 4375, Status: 3, Value: (0.4453125,0.625,9.84375)}, Rotation: {Time: 4399, Status: 0, Value: (-0.02154541015625,-0.0323486328125,-0.99884033203125, 0.0279541015625)}}
0:00:04.546341 {Acceleration: {Time: 4496, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4505, Status: 3, Value: (-0.00390625,0.02734375,0.015625)},Magnetic: {Time: 4464, Status: 2, Value: (-3.0,-27.6875,-35.4375)},Gravity: {Time: 4501, Status: 3, Value: (0.4375,0.625,9.8359375)}, Rotation: {Time: 4498, Status: 0, Value: (-0.02154541015625,-0.0323486328125,-0.99884033203125, 0.0279541015625)}}
0:00:04.645522 {Acceleration: {Time: 4594, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4587, Status: 3, Value: (-0.00390625,-0.01171875,-0.0234375)},Magnetic: {Time: 4590, Status: 2, Value: (-3.125,-25.75,-35.25)},Gravity: {Time: 4583, Status: 3, Value: (0.4375,0.625,9.8359375)}, Rotation: {Time: 4597, Status: 0, Value: (-0.02154541015625,-0.0323486328125,-0.99884033203125, 0.0279541015625)}}
0:00:04.746416 {Acceleration: {Time: 4694, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4655, Status: 3, Value: (-0.01171875,-0.05078125,0.0078125)},Magnetic: {Time: 4658, Status: 2, Value: (-3.5,-27.0,-35.4375)},Gravity: {Time: 4652, Status: 3, Value: (0.4453125,0.625,9.84375)}, Rotation: {Time: 4690, Status: 0, Value: (-0.02154541015625,-0.0323486328125,-0.99884033203125, 0.0279541015625)}}
0:00:04.813067 {Acceleration: {Time: 4766, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4751, Status: 3, Value: (-0.01171875,-0.01171875,0.0078125)},Magnetic: {Time: 4755, Status: 2, Value: (-2.4375,-26.625,-35.5)},Gravity: {Time: 4737, Status: 3, Value: (0.4453125,0.625,9.84375)}, Rotation: {Time: 4761, Status: 0, Value: (-0.02154541015625,-0.0323486328125,-0.99884033203125, 0.0279541015625)}}
