0:00:03.383202 {Acceleration: {Time: 3350, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3322, Status: 3, Value: (0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 3336, Status: 1, Value: (-28.3125,28.375,-15.9375)},Gravity: {Time: 3320, Status: 3, Value: (0.1796875,-0.25,9.640625)}, Rotation: {Time: 3352, Status: 0, Value: (-0.0155029296875,-0.00372314453125,-0.37933349609375, 0.92510986328125)}}
0:00:03.467390 {Acceleration: {Time: 3437, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3399, Status: 3, Value: (0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 3403, Status: 1, Value: (-28.0,28.75,-15.1875)},Gravity: {Time: 3396, Status: 3, Value: (0.1796875,-0.25,9.640625)}, Rotation: {Time: 3433, Status: 0, Value: (-0.0155029296875,-0.00372314453125,-0.37933349609375, 0.92510986328125)}}
0:00:03.580934 {Acceleration: {Time: 3550, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3513, Status: 3, Value: (-0.02734375,-0.01953125,-0.02734375)},Magnetic: {Time: 3515, Status: 1, Value: (-28.875,29.1875,-14.625)},Gravity: {Time: 3510, Status: 3, Value: (0.1796875,-0.25,9.640625)}, Rotation: {Time: 3546, Status: 0, Value: (-0.0155029296875,-0.00372314453125,-0.37933349609375, 0.92510986328125)}}
0:00:03.667228 {Acceleration: {Time: 3637, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3601, Status: 3, Value: (0.01171875,0.02734375,0.01171875)},Magnetic: {Time: 3604, Status: 1, Value: (-28.375,29.375,-15.875)},Gravity: {Time: 3598, Status: 3, Value: (0.1796875,-0.2578125,9.640625)}, Rotation: {Time: 3633, Status: 0, Value: (-0.0155029296875,-0.00372314453125,-0.37933349609375, 0.92510986328125)}}
0:00:03.781850 {Acceleration: {Time: 3751, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3739, Status: 3, Value: (0.01171875,-0.01171875,0.00390625)},Magnetic: {Time: 3743, Status: 1, Value: (-28.5625,29.4375,-14.6875)},Gravity: {Time: 3736, Status: 3, Value: (0.1796875,-0.2578125,9.6484375)}, Rotation: {Time: 3745, Status: 0, Value: (-0.01556396484375,-0.00372314453125,-0.37933349609375, 0.92510986328125)}}
0:00:03.881172 {Acceleration: {Time: 3842, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3851, Status: 3, Value: (0.01171875,0.02734375,-0.03515625)},Magnetic: {Time: 3785, Status: 1, Value: (-28.1875,28.6875,-16.625)},Gravity: {Time: 3848, Status: 3, Value: (0.1796875,-0.2578125,9.6484375)}, Rotation: {Time: 3844, Status: 0, Value: (-0.01593017578125,-0.00347900390625,-0.38262939453125, 0.92376708984375)}}
0:00:03.977210 {Acceleration: {Time: 3943, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3947, Status: 3, Value: (0.01171875,0.01953125,-0.03515625)},Magnetic: {Time: 3882, Status: 1, Value: (-27.5,28.6875,-16.0)},Gravity: {Time: 3945, Status: 3, Value: (0.1796875,-0.25,9.6484375)}, Rotation: {Time: 3938, Status: 0, Value: (-0.01593017578125,-0.00347900390625,-0.38262939453125, 0.92376708984375)}}
0:00:04.089879 {Acceleration: {Time: 4060, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4024, Status: 3, Value: (-0.02734375,-0.01953125,0.00390625)},Magnetic: {Time: 4026, Status: 1, Value: (-30.5,30.25,-15.1875)},Gravity: {Time: 4020, Status: 3, Value: (0.1796875,-0.25,9.6484375)}, Rotation: {Time: 4056, Status: 0, Value: (-0.0155029296875,-0.003662109375,-0.38262939453125, 0.92376708984375)}}
0:00:04.187354 {Acceleration: {Time: 4158, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4144, Status: 3, Value: (0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 4148, Status: 1, Value: (-29.3125,29.1875,-14.625)},Gravity: {Time: 4130, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4154, Status: 0, Value: (-0.015380859375,-0.0032958984375,-0.38262939453125, 0.92376708984375)}}
0:00:04.292384 {Acceleration: {Time: 4255, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4263, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 4205, Status: 1, Value: (-30.125,29.875,-14.875)},Gravity: {Time: 4260, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4257, Status: 0, Value: (-0.015380859375,-0.0032958984375,-0.38262939453125, 0.92376708984375)}}
