0:00:03.836678 {Acceleration: {Time: 3820, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3760, Status: 3, Value: (-0.0234375,0.03125,-0.01171875)},Magnetic: {Time: 3774, Status: 2, Value: (18.8125,14.25,40.0)},Gravity: {Time: 3757, Status: 3, Value: (0.328125,-0.4140625,-10.0234375)}, Rotation: {Time: 3814, Status: 2, Value: (-0.4676513671875,-0.88348388671875,0.0106201171875, 0.02490234375)}}
0:00:03.948685 {Acceleration: {Time: 3929, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3914, Status: 3, Value: (-0.0234375,-0.015625,0.0625)},Magnetic: {Time: 3918, Status: 2, Value: (17.6875,14.3125,42.0)},Gravity: {Time: 3900, Status: 3, Value: (0.328125,-0.40625,-10.0234375)}, Rotation: {Time: 3924, Status: 2, Value: (-0.4676513671875,-0.88348388671875,0.0106201171875, 0.02484130859375)}}
0:00:04.052675 {Acceleration: {Time: 4038, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4006, Status: 3, Value: (0.015625,-0.0078125,0.0625)},Magnetic: {Time: 4009, Status: 2, Value: (16.9375,13.9375,40.8125)},Gravity: {Time: 4002, Status: 3, Value: (0.328125,-0.4140625,-10.0234375)}, Rotation: {Time: 4032, Status: 2, Value: (-0.4676513671875,-0.88348388671875,0.0106201171875, 0.02484130859375)}}
0:00:04.172680 {Acceleration: {Time: 4152, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4116, Status: 3, Value: (0.015625,0.03125,0.0234375)},Magnetic: {Time: 4119, Status: 2, Value: (17.75,14.625,42.375)},Gravity: {Time: 4112, Status: 3, Value: (0.328125,-0.4140625,-10.0234375)}, Rotation: {Time: 4154, Status: 2, Value: (-0.4676513671875,-0.88348388671875,0.0106201171875, 0.0247802734375)}}
0:00:04.276694 {Acceleration: {Time: 4267, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4255, Status: 3, Value: (-0.0234375,-0.0078125,-0.01171875)},Magnetic: {Time: 4259, Status: 2, Value: (18.0625,14.3125,41.1875)},Gravity: {Time: 4240, Status: 3, Value: (0.328125,-0.4140625,-10.0234375)}, Rotation: {Time: 4270, Status: 2, Value: (-0.4676513671875,-0.88348388671875,0.0106201171875, 0.0247802734375)}}
0:00:04.403217 {Acceleration: {Time: 4381, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4354, Status: 3, Value: (-0.015625,-0.0078125,-0.01171875)},Magnetic: {Time: 4368, Status: 2, Value: (18.8125,14.9375,42.0)},Gravity: {Time: 4352, Status: 3, Value: (0.3203125,-0.4140625,-10.0234375)}, Rotation: {Time: 4383, Status: 2, Value: (-0.4676513671875,-0.88348388671875,0.0106201171875, 0.02471923828125)}}
0:00:04.512821 {Acceleration: {Time: 4488, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4495, Status: 3, Value: (0.0234375,0.03125,0.0234375)},Magnetic: {Time: 4432, Status: 2, Value: (17.6875,14.5625,40.8125)},Gravity: {Time: 4493, Status: 3, Value: (0.3203125,-0.4140625,-10.0234375)}, Rotation: {Time: 4490, Status: 2, Value: (-0.4676513671875,-0.88348388671875,0.0106201171875, 0.024658203125)}}
0:00:04.615337 {Acceleration: {Time: 4609, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4594, Status: 3, Value: (0.015625,-0.0078125,0.0234375)},Magnetic: {Time: 4597, Status: 2, Value: (18.8125,14.9375,42.0)},Gravity: {Time: 4580, Status: 3, Value: (0.328125,-0.4140625,-10.0234375)}, Rotation: {Time: 4605, Status: 2, Value: (-0.4676513671875,-0.88348388671875,0.0106201171875, 0.024658203125)}}
0:00:04.735352 {Acceleration: {Time: 4725, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4711, Status: 3, Value: (0.015625,0.03125,0.015625)},Magnetic: {Time: 4714, Status: 2, Value: (16.9375,13.9375,40.8125)},Gravity: {Time: 4697, Status: 3, Value: (0.328125,-0.4140625,-10.015625)}, Rotation: {Time: 4722, Status: 2, Value: (-0.46771240234375,-0.88348388671875,0.0106201171875, 0.02459716796875)}}
0:00:04.847355 {Acceleration: {Time: 4834, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4842, Status: 3, Value: (0.015625,-0.0078125,-0.01953125)},Magnetic: {Time: 4775, Status: 2, Value: (17.6875,14.3125,40.8125)},Gravity: {Time: 4839, Status: 3, Value: (0.328125,-0.4140625,-10.015625)}, Rotation: {Time: 4836, Status: 2, Value: (-0.46771240234375,-0.88348388671875,0.0106201171875, 0.02459716796875)}}
