0:00:03.750177: {Acceleration: {Time: 3706, Status: 0, Value: (-0.001953125,0.001953125,0.0)},Gyroscope: {Time: 3710, Status: 3, Value: (-0.02734375,0.01953125,0.00390625)},Magnetic: {Time: 3714, Status: 1, Value: (-29.9375,28.875,-15.75)},Gravity: {Time: 3708, Status: 3, Value: (0.1796875,-0.25,9.6484375)}, Rotation: {Time: 3700, Status: 0, Value: (-0.01531982421875,-0.00323486328125,-0.38458251953125, 0.9229736328125)}}
0:00:03.849337: {Acceleration: {Time: 3804, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 3813, Status: 3, Value: (-0.01953125,-0.01953125,-0.03515625)},Magnetic: {Time: 3772, Status: 1, Value: (-29.0,28.0625,-16.25)},Gravity: {Time: 3810, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 3806, Status: 0, Value: (-0.01544189453125,-0.00323486328125,-0.38458251953125, 0.9229736328125)}}
0:00:03.949749: {Acceleration: {Time: 3910, Status: 0, Value: (-0.001953125,0.001953125,0.001953125)},Gyroscope: {Time: 3884, Status: 3, Value: (-0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 3898, Status: 1, Value: (-28.6875,27.8125,-15.1875)},Gravity: {Time: 3881, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 3913, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38458251953125, 0.9229736328125)}}
0:00:04.060837: {Acceleration: {Time: 4025, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3969, Status: 3, Value: (-0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 3973, Status: 1, Value: (-28.5625,27.75,-15.9375)},Gravity: {Time: 3967, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 4019, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.3892822265625, 0.92095947265625)}}
0:00:04.157242: {Acceleration: {Time: 4119, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4110, Status: 3, Value: (-0.01953125,-0.01171875,-0.02734375)},Magnetic: {Time: 4113, Status: 1, Value: (-29.0,29.6875,-17.25)},Gravity: {Time: 4096, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 4121, Status: 0, Value: (-0.0157470703125,-0.00299072265625,-0.38916015625, 0.9210205078125)}}
0:00:04.240665: {Acceleration: {Time: 4202, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4196, Status: 3, Value: (-0.01953125,-0.01171875,0.01171875)},Magnetic: {Time: 4199, Status: 1, Value: (-29.625,30.125,-15.6875)},Gravity: {Time: 4192, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 4205, Status: 0, Value: (-0.01580810546875,-0.00299072265625,-0.38916015625, 0.9210205078125)}}
0:00:04.354293: {Acceleration: {Time: 4318, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 4264, Status: 3, Value: (0.09765625,-0.01171875,0.3125)},Magnetic: {Time: 4278, Status: 1, Value: (-28.3125,29.0625,-16.25)},Gravity: {Time: 4260, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 4315, Status: 0, Value: (-0.01580810546875,-0.00299072265625,-0.38916015625, 0.9210205078125)}}
0:00:04.449891: {Acceleration: {Time: 4405, Status: 0, Value: (0.001953125,0.001953125,0.0)},Gyroscope: {Time: 4414, Status: 3, Value: (-0.06640625,0.02734375,-0.04296875)},Magnetic: {Time: 4353, Status: 1, Value: (-27.875,29.0,-16.3125)},Gravity: {Time: 4411, Status: 3, Value: (0.1796875,-0.2578125,9.65625)}, Rotation: {Time: 4407, Status: 0, Value: (-0.015869140625,-0.00335693359375,-0.38916015625, 0.9210205078125)}}
0:00:04.546169: {Acceleration: {Time: 4508, Status: 0, Value: (0.0,0.0,-0.00390625)},Gyroscope: {Time: 4469, Status: 3, Value: (-0.02734375,-0.01171875,-0.00390625)},Magnetic: {Time: 4472, Status: 1, Value: (-27.875,28.6875,-16.3125)},Gravity: {Time: 4455, Status: 3, Value: (0.1796875,-0.2578125,9.65625)}, Rotation: {Time: 4510, Status: 0, Value: (-0.01593017578125,-0.00335693359375,-0.38922119140625, 0.9210205078125)}}
0:00:04.661900: {Acceleration: {Time: 4624, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4597, Status: 3, Value: (-0.02734375,0.02734375,0.00390625)},Magnetic: {Time: 4611, Status: 1, Value: (-29.4375,29.375,-16.5)},Gravity: {Time: 4595, Status: 3, Value: (0.1796875,-0.2578125,9.6484375)}, Rotation: {Time: 4626, Status: 0, Value: (-0.01593017578125,-0.0032958984375,-0.38922119140625, 0.9210205078125)}}
0:00:04.747219: {Acceleration: {Time: 4709, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 4683, Status: 3, Value: (-0.02734375,0.07421875,0.00390625)},Magnetic: {Time: 4697, Status: 1, Value: (-28.75,29.4375,-15.5)},Gravity: {Time: 4680, Status: 3, Value: (0.1796875,-0.265625,9.6484375)}, Rotation: {Time: 4712, Status: 0, Value: (-0.01629638671875,-0.00323486328125,-0.3892822265625, 0.92095947265625)}}
