0:00:04.339740: {Acceleration: {Time: 4295, Status: 0, Value: (-0.00390625,-0.001953125,0.001953125)},Gyroscope: {Time: 4300, Status: 3, Value: (-0.01171875,-0.01953125,0.04296875)},Magnetic: {Time: 4303, Status: 1, Value: (-29.125,28.5,-15.25)},Gravity: {Time: 4298, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 4305, Status: 0, Value: (-0.0152587890625,-0.00262451171875,-0.3985595703125, 0.9169921875)}}
0:00:04.431478: {Acceleration: {Time: 4393, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4367, Status: 3, Value: (0.02734375,0.05859375,0.00390625)},Magnetic: {Time: 4381, Status: 1, Value: (-28.875,27.875,-13.8125)},Gravity: {Time: 4364, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 4397, Status: 0, Value: (-0.0152587890625,-0.00262451171875,-0.39849853515625, 0.91705322265625)}}
0:00:04.544354: {Acceleration: {Time: 4507, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4481, Status: 3, Value: (-0.01171875,0.01953125,0.01171875)},Magnetic: {Time: 4495, Status: 1, Value: (-29.0,28.125,-16.0625)},Gravity: {Time: 4479, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 4510, Status: 0, Value: (-0.0152587890625,-0.00262451171875,-0.39849853515625, 0.91705322265625)}}
0:00:04.630107: {Acceleration: {Time: 4595, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4557, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 4560, Status: 1, Value: (-30.1875,29.9375,-14.3125)},Gravity: {Time: 4554, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 4591, Status: 0, Value: (-0.0152587890625,-0.00262451171875,-0.39849853515625, 0.91705322265625)}}
0:00:04.745554: {Acceleration: {Time: 4709, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4656, Status: 3, Value: (-0.01171875,0.01171875,0.00390625)},Magnetic: {Time: 4659, Status: 1, Value: (-29.125,28.8125,-15.5625)},Gravity: {Time: 4653, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 4702, Status: 0, Value: (-0.0152587890625,-0.00262451171875,-0.39849853515625, 0.91705322265625)}}
0:00:04.829886: {Acceleration: {Time: 4788, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4796, Status: 3, Value: (0.02734375,-0.02734375,-0.03515625)},Magnetic: {Time: 4734, Status: 1, Value: (-29.5625,28.8125,-15.5625)},Gravity: {Time: 4793, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 4790, Status: 0, Value: (-0.0152587890625,-0.00262451171875,-0.39849853515625, 0.91705322265625)}}
0:00:04.931381: {Acceleration: {Time: 4894, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4868, Status: 3, Value: (-0.01171875,-0.1015625,-0.0703125)},Magnetic: {Time: 4882, Status: 1, Value: (-30.4375,29.5625,-15.375)},Gravity: {Time: 4866, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 4897, Status: 0, Value: (-0.0152587890625,-0.00262451171875,-0.39849853515625, 0.91705322265625)}}
0:00:05.045388: {Acceleration: {Time: 5007, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5011, Status: 3, Value: (-0.05078125,-0.01953125,-0.02734375)},Magnetic: {Time: 4970, Status: 1, Value: (-29.5,28.5,-15.5625)},Gravity: {Time: 5009, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 5003, Status: 0, Value: (-0.0152587890625,-0.00262451171875,-0.39849853515625, 0.91705322265625)}}
0:00:05.143818: {Acceleration: {Time: 5100, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5110, Status: 3, Value: (-0.05078125,0.01953125,-0.02734375)},Magnetic: {Time: 5046, Status: 1, Value: (-30.25,28.5,-16.25)},Gravity: {Time: 5108, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 5102, Status: 0, Value: (-0.0152587890625,-0.00262451171875,-0.39849853515625, 0.91705322265625)}}
0:00:05.241289: {Acceleration: {Time: 5199, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5208, Status: 3, Value: (0.03515625,0.01171875,-0.0703125)},Magnetic: {Time: 5144, Status: 1, Value: (-29.3125,28.0625,-16.75)},Gravity: {Time: 5204, Status: 3, Value: (0.15625,-0.2421875,9.6484375)}, Rotation: {Time: 5201, Status: 0, Value: (-0.0152587890625,-0.00262451171875,-0.39849853515625, 0.91705322265625)}}
0:00:05.340835: {Acceleration: {Time: 5298, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5307, Status: 3, Value: (0.03515625,0.01171875,-0.02734375)},Magnetic: {Time: 5271, Status: 1, Value: (-30.4375,29.25,-15.4375)},Gravity: {Time: 5304, Status: 3, Value: (0.15625,-0.2421875,9.640625)}, Rotation: {Time: 5300, Status: 0, Value: (-0.01519775390625,-0.00262451171875,-0.39849853515625, 0.91705322265625)}}
0:00:05.433678: {Acceleration: {Time: 5398, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5391, Status: 3, Value: (0.02734375,-0.02734375,-0.02734375)},Magnetic: {Time: 5394, Status: 1, Value: (-30.0625,27.75,-17.4375)},Gravity: {Time: 5388, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 5400, Status: 0, Value: (-0.01519775390625,-0.00262451171875,-0.3985595703125, 0.91705322265625)}}
0:00:05.543657: {Acceleration: {Time: 5499, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5505, Status: 3, Value: (-0.078125,-0.02734375,0.01171875)},Magnetic: {Time: 5508, Status: 1, Value: (-29.0,28.4375,-16.375)},Gravity: {Time: 5502, Status: 3, Value: (0.15625,-0.2421875,9.640625)}, Rotation: {Time: 5510, Status: 0, Value: (-0.01519775390625,-0.00262451171875,-0.3985595703125, 0.91705322265625)}}
0:00:05.651838: {Acceleration: {Time: 5619, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5579, Status: 3, Value: (-0.00390625,-0.02734375,0.05078125)},Magnetic: {Time: 5583, Status: 1, Value: (-29.5625,28.5,-15.125)},Gravity: {Time: 5576, Status: 3, Value: (0.15625,-0.2421875,9.640625)}, Rotation: {Time: 5614, Status: 0, Value: (-0.01519775390625,-0.00262451171875,-0.3985595703125, 0.91705322265625)}}
0:00:05.750558: {Acceleration: {Time: 5708, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5717, Status: 3, Value: (-0.00390625,-0.02734375,0.01171875)},Magnetic: {Time: 5677, Status: 1, Value: (-28.375,28.4375,-14.9375)},Gravity: {Time: 5714, Status: 3, Value: (0.15625,-0.2421875,9.640625)}, Rotation: {Time: 5711, Status: 0, Value: (-0.01519775390625,-0.00262451171875,-0.3985595703125, 0.91705322265625)}}
0:00:05.842674: {Acceleration: {Time: 5807, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5799, Status: 3, Value: (-0.00390625,0.01171875,-0.02734375)},Magnetic: {Time: 5803, Status: 1, Value: (-29.375,27.8125,-16.0)},Gravity: {Time: 5796, Status: 3, Value: (0.15625,-0.2421875,9.640625)}, Rotation: {Time: 5809, Status: 0, Value: (-0.01513671875,-0.00262451171875,-0.3985595703125, 0.91705322265625)}}
