0:00:03.592586: {Acceleration: {Time: 3550, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3518, Status: 3, Value: (0.02734375,-0.02734375,0.01953125)},Magnetic: {Time: 3520, Status: 1, Value: (-30.0,29.1875,-15.5)},Gravity: {Time: 3556, Status: 3, Value: (0.1640625,-0.25,9.6328125)}, Rotation: {Time: 3552, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.38897705078125, 0.92108154296875)}}
0:00:03.688145: {Acceleration: {Time: 3650, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3615, Status: 3, Value: (-0.01953125,-0.01953125,-0.01953125)},Magnetic: {Time: 3591, Status: 1, Value: (-29.5625,29.1875,-15.5)},Gravity: {Time: 3611, Status: 3, Value: (0.171875,-0.25,9.6328125)}, Rotation: {Time: 3652, Status: 0, Value: (-0.01507568359375,-0.0032958984375,-0.38897705078125, 0.92108154296875)}}
0:00:03.802414: {Acceleration: {Time: 3764, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3756, Status: 3, Value: (-0.01953125,-0.01953125,-0.01953125)},Magnetic: {Time: 3759, Status: 1, Value: (-27.625,28.75,-15.0)},Gravity: {Time: 3753, Status: 3, Value: (0.171875,-0.25,9.6328125)}, Rotation: {Time: 3766, Status: 0, Value: (-0.01507568359375,-0.0032958984375,-0.38897705078125, 0.92108154296875)}}
0:00:03.890679: {Acceleration: {Time: 3851, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3825, Status: 3, Value: (0.01953125,-0.01953125,-0.01953125)},Magnetic: {Time: 3839, Status: 1, Value: (-29.0625,27.8125,-15.25)},Gravity: {Time: 3822, Status: 3, Value: (0.171875,-0.25,9.6328125)}, Rotation: {Time: 3855, Status: 0, Value: (-0.01507568359375,-0.0032958984375,-0.38897705078125, 0.92108154296875)}}
0:00:04.003630: {Acceleration: {Time: 3956, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3962, Status: 3, Value: (-0.01953125,0.01953125,0.01953125)},Magnetic: {Time: 3965, Status: 1, Value: (-30.0625,28.25,-14.375)},Gravity: {Time: 3960, Status: 3, Value: (0.171875,-0.25,9.6328125)}, Rotation: {Time: 3968, Status: 0, Value: (-0.01507568359375,-0.0032958984375,-0.38897705078125, 0.92108154296875)}}
0:00:04.118534: {Acceleration: {Time: 4076, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4042, Status: 3, Value: (-0.01953125,0.01953125,-0.01953125)},Magnetic: {Time: 4045, Status: 1, Value: (-31.1875,28.625,-14.9375)},Gravity: {Time: 4083, Status: 3, Value: (0.171875,-0.2421875,9.6328125)}, Rotation: {Time: 4079, Status: 0, Value: (-0.01507568359375,-0.0032958984375,-0.38897705078125, 0.92108154296875)}}
0:00:04.206171: {Acceleration: {Time: 4168, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4157, Status: 3, Value: (-0.01953125,-0.02734375,0.01953125)},Magnetic: {Time: 4160, Status: 1, Value: (-29.1875,29.1875,-15.125)},Gravity: {Time: 4143, Status: 3, Value: (0.171875,-0.2421875,9.6328125)}, Rotation: {Time: 4171, Status: 0, Value: (-0.01507568359375,-0.0032958984375,-0.38897705078125, 0.92108154296875)}}
0:00:04.291739: {Acceleration: {Time: 4254, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4193, Status: 3, Value: (0.05859375,0.01171875,0.01953125)},Magnetic: {Time: 4196, Status: 1, Value: (-29.0,28.125,-16.0)},Gravity: {Time: 4256, Status: 3, Value: (0.171875,-0.2421875,9.6328125)}, Rotation: {Time: 4250, Status: 0, Value: (-0.01507568359375,-0.0032958984375,-0.38897705078125, 0.92108154296875)}}
0:00:04.418994: {Acceleration: {Time: 4381, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4355, Status: 3, Value: (0.01953125,0.01171875,0.01171875)},Magnetic: {Time: 4369, Status: 1, Value: (-29.0625,28.4375,-16.0)},Gravity: {Time: 4352, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 4383, Status: 0, Value: (-0.01507568359375,-0.0032958984375,-0.38897705078125, 0.92108154296875)}}
0:00:04.503315: {Acceleration: {Time: 4460, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4468, Status: 3, Value: (0.01953125,-0.02734375,-0.02734375)},Magnetic: {Time: 4406, Status: 1, Value: (-29.4375,27.8125,-15.625)},Gravity: {Time: 4466, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 4462, Status: 0, Value: (-0.01507568359375,-0.0032958984375,-0.38897705078125, 0.92108154296875)}}
0:00:04.596791: {Acceleration: {Time: 4561, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4525, Status: 3, Value: (-0.01953125,-0.02734375,0.01171875)},Magnetic: {Time: 4528, Status: 1, Value: (-30.0625,29.25,-15.125)},Gravity: {Time: 4522, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 4558, Status: 0, Value: (-0.01507568359375,-0.0032958984375,-0.38897705078125, 0.92108154296875)}}
0:00:04.708808: {Acceleration: {Time: 4674, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4637, Status: 3, Value: (-0.01953125,0.01171875,0.01171875)},Magnetic: {Time: 4639, Status: 1, Value: (-29.9375,27.875,-15.1875)},Gravity: {Time: 4634, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 4670, Status: 0, Value: (-0.01507568359375,-0.0032958984375,-0.38897705078125, 0.92108154296875)}}
0:00:04.804526: {Acceleration: {Time: 4763, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4731, Status: 3, Value: (-0.01953125,-0.02734375,0.01171875)},Magnetic: {Time: 4733, Status: 1, Value: (-28.5625,27.75,-16.1875)},Gravity: {Time: 4769, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 4765, Status: 0, Value: (-0.01507568359375,-0.0032958984375,-0.38897705078125, 0.92108154296875)}}
0:00:04.900016: {Acceleration: {Time: 4862, Status: 0, Value: (-0.00390625,0.0,0.0)},Gyroscope: {Time: 4827, Status: 3, Value: (-0.01953125,-0.02734375,0.01171875)},Magnetic: {Time: 4802, Status: 1, Value: (-30.0,28.875,-15.0625)},Gravity: {Time: 4823, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 4865, Status: 0, Value: (-0.01507568359375,-0.0032958984375,-0.38897705078125, 0.921142578125)}}
0:00:05.014992: {Acceleration: {Time: 4980, Status: 0, Value: (0.00390625,0.0,0.0)},Gyroscope: {Time: 4913, Status: 3, Value: (-0.01953125,-0.02734375,0.01171875)},Magnetic: {Time: 4916, Status: 1, Value: (-29.5625,29.5,-15.875)},Gravity: {Time: 4910, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 4977, Status: 0, Value: (-0.01507568359375,-0.0032958984375,-0.38897705078125, 0.921142578125)}}
0:00:05.112855: {Acceleration: {Time: 5068, Status: 0, Value: (0.0,0.0,0.001953125)},Gyroscope: {Time: 5078, Status: 3, Value: (-0.01953125,0.01171875,0.01171875)},Magnetic: {Time: 5013, Status: 1, Value: (-30.3125,28.5625,-15.8125)},Gravity: {Time: 5076, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 5070, Status: 0, Value: (-0.01507568359375,-0.0032958984375,-0.388916015625, 0.921142578125)}}
0:00:05.208869: {Acceleration: {Time: 5174, Status: 0, Value: (-0.001953125,-0.001953125,-0.001953125)},Gyroscope: {Time: 5165, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 5168, Status: 1, Value: (-30.375,29.5625,-16.1875)},Gravity: {Time: 5162, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 5171, Status: 0, Value: (-0.01513671875,-0.00323486328125,-0.388916015625, 0.921142578125)}}
0:00:05.318146: {Acceleration: {Time: 5284, Status: 0, Value: (0.001953125,0.0,0.001953125)},Gyroscope: {Time: 5270, Status: 3, Value: (-0.01171875,0.01953125,-0.02734375)},Magnetic: {Time: 5274, Status: 1, Value: (-29.0625,27.5,-15.3125)},Gravity: {Time: 5256, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 5280, Status: 0, Value: (-0.01513671875,-0.00323486328125,-0.38897705078125, 0.921142578125)}}
0:00:05.433193: {Acceleration: {Time: 5399, Status: 0, Value: (0.001953125,0.0,0.001953125)},Gyroscope: {Time: 5360, Status: 3, Value: (0.02734375,-0.02734375,0.01953125)},Magnetic: {Time: 5362, Status: 1, Value: (-29.5625,28.1875,-15.1875)},Gravity: {Time: 5357, Status: 3, Value: (0.1640625,-0.2421875,9.6328125)}, Rotation: {Time: 5393, Status: 0, Value: (-0.01513671875,-0.00323486328125,-0.38897705078125, 0.92108154296875)}}
0:00:05.530872: {Acceleration: {Time: 5487, Status: 0, Value: (0.001953125,0.001953125,0.0)},Gyroscope: {Time: 5496, Status: 3, Value: (0.02734375,-0.02734375,0.01171875)},Magnetic: {Time: 5432, Status: 1, Value: (-29.6875,28.0625,-17.125)},Gravity: {Time: 5493, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 5490, Status: 0, Value: (-0.01513671875,-0.003173828125,-0.388916015625, 0.921142578125)}}
0:00:05.623648: {Acceleration: {Time: 5587, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5579, Status: 3, Value: (-0.01171875,-0.02734375,0.01171875)},Magnetic: {Time: 5583, Status: 1, Value: (-29.875,29.5,-16.5625)},Gravity: {Time: 5576, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 5589, Status: 0, Value: (-0.01507568359375,-0.003173828125,-0.388916015625, 0.921142578125)}}
