0:00:03.799004 {Acceleration: {Time: 3751, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3680, Status: 3, Value: (0.02734375,0.01171875,0.01953125)},Magnetic: {Time: 3683, Status: 1, Value: (-30.1875,27.8125,-16.3125)},Gravity: {Time: 3666, Status: 3, Value: (0.1640625,-0.2421875,9.6328125)}, Rotation: {Time: 3748, Status: 0, Value: (-0.0146484375,-0.003173828125,-0.38800048828125, 0.9215087890625)}}
0:00:03.886676 {Acceleration: {Time: 3837, Status: 0, Value: (-0.001953125,0.001953125,0.001953125)},Gyroscope: {Time: 3826, Status: 3, Value: (0.02734375,0.01171875,-0.02734375)},Magnetic: {Time: 3829, Status: 1, Value: (-30.125,29.25,-14.6875)},Gravity: {Time: 3811, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 3839, Status: 0, Value: (-0.0146484375,-0.003173828125,-0.38800048828125, 0.9215087890625)}}
0:00:03.999492 {Acceleration: {Time: 3944, Status: 0, Value: (0.0,-0.001953125,-0.00390625)},Gyroscope: {Time: 3952, Status: 3, Value: (-0.01171875,-0.02734375,0.01171875)},Magnetic: {Time: 3918, Status: 1, Value: (-29.875,27.5625,-15.25)},Gravity: {Time: 3950, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 3946, Status: 0, Value: (-0.0147705078125,-0.003173828125,-0.3880615234375, 0.9215087890625)}}
0:00:04.115496 {Acceleration: {Time: 4059, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 4068, Status: 3, Value: (-0.01953125,0.01953125,-0.03515625)},Magnetic: {Time: 4053, Status: 1, Value: (-30.125,29.3125,-14.3125)},Gravity: {Time: 4066, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 4061, Status: 0, Value: (-0.01483154296875,-0.003173828125,-0.38800048828125, 0.9215087890625)}}
0:00:04.242819 {Acceleration: {Time: 4192, Status: 0, Value: (-0.001953125,0.0,0.001953125)},Gyroscope: {Time: 4166, Status: 3, Value: (-0.01171875,0.01953125,-0.03515625)},Magnetic: {Time: 4180, Status: 1, Value: (-29.125,29.125,-15.5625)},Gravity: {Time: 4162, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 4195, Status: 0, Value: (-0.01483154296875,-0.003173828125,-0.38800048828125, 0.9215087890625)}}
0:00:04.355995 {Acceleration: {Time: 4306, Status: 0, Value: (-0.001953125,0.0,0.001953125)},Gyroscope: {Time: 4299, Status: 3, Value: (-0.01171875,-0.02734375,0.05078125)},Magnetic: {Time: 4301, Status: 1, Value: (-28.75,28.5,-14.875)},Gravity: {Time: 4296, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 4308, Status: 0, Value: (-0.0147705078125,-0.003173828125,-0.38800048828125, 0.9215087890625)}}
0:00:04.465700 {Acceleration: {Time: 4416, Status: 0, Value: (-0.001953125,0.0,0.001953125)},Gyroscope: {Time: 4396, Status: 3, Value: (0.02734375,-0.01953125,0.00390625)},Magnetic: {Time: 4410, Status: 1, Value: (-29.375,28.125,-16.375)},Gravity: {Time: 4392, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 4389, Status: 0, Value: (-0.01483154296875,-0.003173828125,-0.38800048828125, 0.92156982421875)}}
0:00:04.583889 {Acceleration: {Time: 4536, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 4478, Status: 3, Value: (0.02734375,-0.01953125,-0.03515625)},Magnetic: {Time: 4492, Status: 1, Value: (-29.5625,28.5,-15.1875)},Gravity: {Time: 4475, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 4531, Status: 0, Value: (-0.01483154296875,-0.00323486328125,-0.38800048828125, 0.9215087890625)}}
0:00:04.712192 {Acceleration: {Time: 4657, Status: 0, Value: (0.001953125,0.0,0.001953125)},Gyroscope: {Time: 4618, Status: 3, Value: (-0.01171875,-0.01953125,-0.02734375)},Magnetic: {Time: 4621, Status: 1, Value: (-29.4375,27.5,-15.625)},Gravity: {Time: 4614, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 4652, Status: 0, Value: (-0.014892578125,-0.003173828125,-0.38800048828125, 0.9215087890625)}}
0:00:04.803003 {Acceleration: {Time: 4747, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 4756, Status: 3, Value: (-0.01171875,0.01953125,-0.02734375)},Magnetic: {Time: 4690, Status: 1, Value: (-30.4375,29.5625,-15.375)},Gravity: {Time: 4753, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 4749, Status: 0, Value: (-0.014892578125,-0.003173828125,-0.38800048828125, 0.9215087890625)}}
