0:00:03.551882: {Acceleration: {Time: 3513, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3474, Status: 3, Value: (0.00390625,0.00390625,-0.01953125)},Magnetic: {Time: 3477, Status: 1, Value: (-24.625,-21.625,-6.8125)},Gravity: {Time: 3460, Status: 3, Value: (0.109375,-0.1953125,9.6328125)}, Rotation: {Time: 3515, Status: 0, Value: (-0.010009765625,-0.00506591796875,0.00018310546875, 0.99993896484375)}}
0:00:03.641189: {Acceleration: {Time: 3602, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3563, Status: 3, Value: (-0.00390625,0.00390625,0.01953125)},Magnetic: {Time: 3566, Status: 1, Value: (-25.6875,-22.0,-7.8125)},Gravity: {Time: 3605, Status: 3, Value: (0.1171875,-0.1953125,9.6328125)}, Rotation: {Time: 3598, Status: 0, Value: (-0.010009765625,-0.00506591796875,0.00018310546875, 0.99993896484375)}}
0:00:03.757892: {Acceleration: {Time: 3711, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3721, Status: 3, Value: (-0.00390625,0.00390625,-0.01953125)},Magnetic: {Time: 3704, Status: 1, Value: (-24.8125,-21.6875,-8.25)},Gravity: {Time: 3719, Status: 3, Value: (0.1171875,-0.1953125,9.6328125)}, Rotation: {Time: 3714, Status: 0, Value: (-0.010009765625,-0.00506591796875,0.00018310546875, 0.99993896484375)}}
0:00:03.842181: {Acceleration: {Time: 3806, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3768, Status: 3, Value: (-0.0390625,0.04296875,-0.01953125)},Magnetic: {Time: 3772, Status: 1, Value: (-26.3125,-20.5,-6.5625)},Gravity: {Time: 3765, Status: 3, Value: (0.1171875,-0.1953125,9.6328125)}, Rotation: {Time: 3802, Status: 0, Value: (-0.010009765625,-0.005126953125,0.00018310546875, 0.99993896484375)}}
0:00:03.957846: {Acceleration: {Time: 3922, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3883, Status: 3, Value: (-0.00390625,0.00390625,-0.01953125)},Magnetic: {Time: 3885, Status: 1, Value: (-24.9375,-22.0,-7.1875)},Gravity: {Time: 3880, Status: 3, Value: (0.1171875,-0.1953125,9.6328125)}, Rotation: {Time: 3916, Status: 0, Value: (-0.010009765625,-0.005126953125,0.00018310546875, 0.99993896484375)}}
0:00:04.055456: {Acceleration: {Time: 4016, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3979, Status: 3, Value: (-0.0390625,0.00390625,0.01953125)},Magnetic: {Time: 3955, Status: 1, Value: (-25.4375,-20.9375,-7.0625)},Gravity: {Time: 3975, Status: 3, Value: (0.1171875,-0.1953125,9.6328125)}, Rotation: {Time: 4019, Status: 0, Value: (-0.010009765625,-0.005126953125,0.00018310546875, 0.99993896484375)}}
0:00:04.161283: {Acceleration: {Time: 4123, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4102, Status: 3, Value: (-0.00390625,0.00390625,-0.01953125)},Magnetic: {Time: 4116, Status: 1, Value: (-25.3125,-21.625,-7.5)},Gravity: {Time: 4100, Status: 3, Value: (0.1171875,-0.1953125,9.6328125)}, Rotation: {Time: 4097, Status: 0, Value: (-0.010009765625,-0.00518798828125,0.00018310546875, 0.99993896484375)}}
0:00:04.245479: {Acceleration: {Time: 4207, Status: 0, Value: (0.0,0.001953125,-0.001953125)},Gyroscope: {Time: 4200, Status: 3, Value: (-0.00390625,0.00390625,0.01953125)},Magnetic: {Time: 4204, Status: 1, Value: (-25.4375,-21.25,-7.125)},Gravity: {Time: 4197, Status: 3, Value: (0.1171875,-0.1953125,9.6328125)}, Rotation: {Time: 4209, Status: 0, Value: (-0.010009765625,-0.00518798828125,0.0001220703125, 0.99993896484375)}}
0:00:04.358388: {Acceleration: {Time: 4322, Status: 0, Value: (-0.001953125,0.001953125,0.0)},Gyroscope: {Time: 4267, Status: 3, Value: (-0.00390625,-0.03515625,-0.01953125)},Magnetic: {Time: 4280, Status: 1, Value: (-25.0,-21.3125,-7.1875)},Gravity: {Time: 4264, Status: 3, Value: (0.1171875,-0.1953125,9.6328125)}, Rotation: {Time: 4319, Status: 0, Value: (-0.00994873046875,-0.00518798828125,0.00018310546875, 0.99993896484375)}}
0:00:04.456040: {Acceleration: {Time: 4411, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 4420, Status: 3, Value: (-0.00390625,0.04296875,-0.01953125)},Magnetic: {Time: 4356, Status: 1, Value: (-26.125,-21.25,-7.375)},Gravity: {Time: 4417, Status: 3, Value: (0.1171875,-0.1953125,9.6328125)}, Rotation: {Time: 4413, Status: 0, Value: (-0.00994873046875,-0.00518798828125,6.103515625e-05, 0.99993896484375)}}
