0:00:04.454497 {Acceleration: {Time: 4421, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4384, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 4386, Status: 1, Value: (-29.25,26.8125,-16.6875)},Gravity: {Time: 4380, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4417, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.387451171875, 0.9217529296875)}}
0:00:04.568183 {Acceleration: {Time: 4526, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4535, Status: 3, Value: (0.01953125,-0.01953125,-0.02734375)},Magnetic: {Time: 4469, Status: 1, Value: (-29.0,28.125,-15.9375)},Gravity: {Time: 4532, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4529, Status: 0, Value: (-0.01544189453125,-0.00299072265625,-0.39862060546875, 0.9169921875)}}
0:00:04.665354 {Acceleration: {Time: 4632, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4593, Status: 3, Value: (-0.01953125,-0.01953125,-0.02734375)},Magnetic: {Time: 4595, Status: 1, Value: (-27.25,27.625,-16.875)},Gravity: {Time: 4589, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4627, Status: 0, Value: (-0.01544189453125,-0.00299072265625,-0.39837646484375, 0.9171142578125)}}
0:00:04.764782 {Acceleration: {Time: 4732, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4720, Status: 3, Value: (0.01953125,-0.01953125,0.05078125)},Magnetic: {Time: 4723, Status: 1, Value: (-28.5625,29.0625,-17.0)},Gravity: {Time: 4716, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4725, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.3848876953125, 0.92279052734375)}}
0:00:04.862298 {Acceleration: {Time: 4826, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4791, Status: 3, Value: (0.01953125,0.01953125,0.01171875)},Magnetic: {Time: 4765, Status: 1, Value: (-28.4375,28.6875,-17.4375)},Gravity: {Time: 4787, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4829, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.3848876953125, 0.92279052734375)}}
0:00:04.964186 {Acceleration: {Time: 4920, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4925, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 4928, Status: 1, Value: (-28.25,29.3125,-16.6875)},Gravity: {Time: 4923, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4931, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.3848876953125, 0.92279052734375)}}
0:00:05.074181 {Acceleration: {Time: 5041, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4991, Status: 3, Value: (0.01953125,-0.01953125,-0.02734375)},Magnetic: {Time: 5005, Status: 1, Value: (-27.6875,28.625,-17.5625)},Gravity: {Time: 4988, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 5038, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.3848876953125, 0.92279052734375)}}
0:00:05.174651 {Acceleration: {Time: 5133, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5142, Status: 3, Value: (-0.01953125,0.01953125,0.05078125)},Magnetic: {Time: 5099, Status: 1, Value: (-28.1875,29.0,-17.0625)},Gravity: {Time: 5138, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 5135, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.3848876953125, 0.92279052734375)}}
0:00:05.272754 {Acceleration: {Time: 5231, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5240, Status: 3, Value: (0.01953125,0.01953125,-0.02734375)},Magnetic: {Time: 5200, Status: 1, Value: (-28.625,29.6875,-16.625)},Gravity: {Time: 5237, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 5233, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.3848876953125, 0.92279052734375)}}
0:00:05.359140 {Acceleration: {Time: 5318, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5326, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 5256, Status: 1, Value: (-28.625,28.75,-16.3125)},Gravity: {Time: 5324, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 5322, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.3848876953125, 0.92279052734375)}}
