0:00:03.363211: {Acceleration: {Time: 3268, Status: 0, Value: (0.0,0.001953125,0.0)},Gyroscope: {Time: 3277, Status: 3, Value: (0.01171875,-0.02734375,0.0078125)},Magnetic: {Time: 3211, Status: 2, Value: (-2.1875,-25.6875,-35.6875)},Gravity: {Time: 3274, Status: 3, Value: (0.4609375,0.640625,9.84375)}, Rotation: {Time: 3271, Status: 0, Value: (0.0301513671875,0.02716064453125,0.976806640625, 0.21026611328125)}}
0:00:03.445774: {Acceleration: {Time: 3367, Status: 0, Value: (0.001953125,0.001953125,0.0)},Gyroscope: {Time: 3332, Status: 3, Value: (0.01171875,0.01171875,0.0078125)},Magnetic: {Time: 3335, Status: 2, Value: (-3.125,-26.75,-37.0)},Gravity: {Time: 3318, Status: 3, Value: (0.4609375,0.640625,9.84375)}, Rotation: {Time: 3360, Status: 0, Value: (0.03009033203125,0.027099609375,0.976806640625, 0.210205078125)}}
0:00:03.546727: {Acceleration: {Time: 3454, Status: 0, Value: (0.00390625,0.0,0.0)},Gyroscope: {Time: 3441, Status: 3, Value: (0.00390625,0.01171875,0.0078125)},Magnetic: {Time: 3444, Status: 2, Value: (-3.0,-26.5,-34.6875)},Gravity: {Time: 3427, Status: 3, Value: (0.46875,0.640625,9.84375)}, Rotation: {Time: 3451, Status: 0, Value: (0.03009033203125,0.02716064453125,0.976806640625, 0.210205078125)}}
0:00:03.646604: {Acceleration: {Time: 3547, Status: 0, Value: (-0.00390625,-0.00390625,0.0)},Gyroscope: {Time: 3556, Status: 3, Value: (0.046875,-0.02734375,-0.03125)},Magnetic: {Time: 3516, Status: 2, Value: (-3.8125,-28.4375,-34.5625)},Gravity: {Time: 3553, Status: 3, Value: (0.4609375,0.640625,9.84375)}, Rotation: {Time: 3550, Status: 0, Value: (0.03009033203125,0.027099609375,0.976806640625, 0.21026611328125)}}
0:00:03.729968: {Acceleration: {Time: 3646, Status: 0, Value: (-0.0078125,-0.00390625,0.0)},Gyroscope: {Time: 3639, Status: 3, Value: (0.00390625,0.01171875,0.015625)},Magnetic: {Time: 3642, Status: 2, Value: (-2.0625,-25.25,-36.375)},Gravity: {Time: 3635, Status: 3, Value: (0.46875,0.640625,9.8359375)}, Rotation: {Time: 3649, Status: 0, Value: (0.03009033203125,0.027099609375,0.976806640625, 0.210205078125)}}
0:00:03.837957: {Acceleration: {Time: 3749, Status: 0, Value: (0.00390625,-0.001953125,0.001953125)},Gyroscope: {Time: 3721, Status: 3, Value: (0.00390625,-0.02734375,-0.0234375)},Magnetic: {Time: 3723, Status: 2, Value: (-2.5,-24.625,-35.75)},Gravity: {Time: 3757, Status: 3, Value: (0.4765625,0.6484375,9.84375)}, Rotation: {Time: 3751, Status: 0, Value: (0.03009033203125,0.02716064453125,0.976806640625, 0.210205078125)}}
0:00:03.903076: {Acceleration: {Time: 3826, Status: 0, Value: (0.005859375,0.00390625,0.0)},Gyroscope: {Time: 3784, Status: 3, Value: (-0.00390625,0.00390625,0.0078125)},Magnetic: {Time: 3790, Status: 2, Value: (-2.875,-24.6875,-36.4375)},Gravity: {Time: 3757, Status: 3, Value: (0.4765625,0.6484375,9.84375)}, Rotation: {Time: 3822, Status: 0, Value: (0.0301513671875,0.02703857421875,0.976806640625, 0.210205078125)}}
0:00:04.003606: {Acceleration: {Time: 3918, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 3927, Status: 3, Value: (0.0390625,-0.06640625,0.0078125)},Magnetic: {Time: 3886, Status: 2, Value: (-2.3125,-26.125,-36.0)},Gravity: {Time: 3923, Status: 3, Value: (0.46875,0.640625,9.84375)}, Rotation: {Time: 3920, Status: 0, Value: (0.0301513671875,0.02703857421875,0.976806640625, 0.210205078125)}}
0:00:04.113030: {Acceleration: {Time: 4027, Status: 0, Value: (-0.005859375,-0.00390625,0.001953125)},Gyroscope: {Time: 4000, Status: 3, Value: (0.01171875,0.05078125,-0.0234375)},Magnetic: {Time: 4014, Status: 2, Value: (-2.4375,-25.4375,-35.6875)},Gravity: {Time: 3997, Status: 3, Value: (0.4609375,0.640625,9.8359375)}, Rotation: {Time: 4029, Status: 0, Value: (0.0301513671875,0.02703857421875,0.976806640625, 0.21026611328125)}}
0:00:04.218498: {Acceleration: {Time: 4118, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4127, Status: 3, Value: (0.01171875,0.05859375,0.015625)},Magnetic: {Time: 4063, Status: 2, Value: (-2.875,-26.0,-35.375)},Gravity: {Time: 4123, Status: 3, Value: (0.4609375,0.6328125,9.8359375)}, Rotation: {Time: 4120, Status: 0, Value: (0.03009033203125,0.0269775390625,0.976806640625, 0.21026611328125)}}
