0:00:03.281833: {Acceleration: {Time: 3220, Status: 0, Value: (-0.0078125,-0.00390625,0.0)},Gyroscope: {Time: 3181, Status: 3, Value: (-0.01953125,-0.00390625,0.05859375)},Magnetic: {Time: 3184, Status: 2, Value: (-4.6875,-26.9375,-36.8125)},Gravity: {Time: 3167, Status: 3, Value: (0.4140625,-0.03125,9.8671875)}, Rotation: {Time: 3223, Status: 0, Value: (-0.021240234375,0.00067138671875,-0.998291015625, 0.05487060546875)}}
0:00:03.398604: {Acceleration: {Time: 3332, Status: 0, Value: (0.0,-0.00390625,0.0)},Gyroscope: {Time: 3325, Status: 3, Value: (-0.10546875,0.109375,-0.0078125)},Magnetic: {Time: 3329, Status: 2, Value: (-2.5625,-24.4375,-38.25)},Gravity: {Time: 3322, Status: 3, Value: (0.421875,-0.03125,9.859375)}, Rotation: {Time: 3335, Status: 0, Value: (-0.021240234375,0.000732421875,-0.998291015625, 0.05487060546875)}}
0:00:03.481716: {Acceleration: {Time: 3421, Status: 0, Value: (0.01171875,0.015625,-0.001953125)},Gyroscope: {Time: 3410, Status: 3, Value: (0.125,-0.1875,-0.0546875)},Magnetic: {Time: 3414, Status: 2, Value: (-3.625,-25.1875,-38.5625)},Gravity: {Time: 3396, Status: 3, Value: (0.421875,-0.0390625,9.8671875)}, Rotation: {Time: 3424, Status: 0, Value: (-0.02178955078125,0.0013427734375,-0.99822998046875, 0.0548095703125)}}
0:00:03.565056: {Acceleration: {Time: 3503, Status: 0, Value: (-0.029296875,-0.0234375,0.001953125)},Gyroscope: {Time: 3497, Status: 3, Value: (-0.10546875,0.1640625,-0.015625)},Magnetic: {Time: 3500, Status: 2, Value: (-3.625,-24.125,-37.3125)},Gravity: {Time: 3493, Status: 3, Value: (0.421875,-0.046875,9.8671875)}, Rotation: {Time: 3506, Status: 0, Value: (-0.0218505859375,0.00146484375,-0.99822998046875, 0.0548095703125)}}
0:00:03.681508: {Acceleration: {Time: 3619, Status: 0, Value: (0.015625,0.01171875,0.0)},Gyroscope: {Time: 3566, Status: 3, Value: (0.109375,-0.13671875,-0.0546875)},Magnetic: {Time: 3580, Status: 2, Value: (-3.6875,-26.5,-37.5)},Gravity: {Time: 3563, Status: 3, Value: (0.4375,-0.0546875,9.8671875)}, Rotation: {Time: 3613, Status: 0, Value: (-0.02276611328125,0.00244140625,-0.99822998046875, 0.0548095703125)}}
0:00:03.798293: {Acceleration: {Time: 3744, Status: 0, Value: (-0.009765625,-0.0078125,0.0)},Gyroscope: {Time: 3718, Status: 3, Value: (-0.01171875,-0.00390625,-0.0078125)},Magnetic: {Time: 3732, Status: 2, Value: (-3.875,-26.125,-38.1875)},Gravity: {Time: 3715, Status: 3, Value: (0.4453125,-0.0703125,9.859375)}, Rotation: {Time: 3748, Status: 0, Value: (-0.02264404296875,0.0023193359375,-0.99822998046875, 0.0548095703125)}}
0:00:03.898187: {Acceleration: {Time: 3838, Status: 0, Value: (0.005859375,0.00390625,0.0)},Gyroscope: {Time: 3847, Status: 3, Value: (-0.01953125,0.04296875,-0.015625)},Magnetic: {Time: 3782, Status: 2, Value: (-5.5625,-28.875,-36.6875)},Gravity: {Time: 3844, Status: 3, Value: (0.453125,-0.078125,9.8671875)}, Rotation: {Time: 3840, Status: 0, Value: (-0.0224609375,0.002197265625,-0.99822998046875, 0.05487060546875)}}
0:00:03.998265: {Acceleration: {Time: 3938, Status: 0, Value: (-0.00390625,-0.005859375,0.001953125)},Gyroscope: {Time: 3930, Status: 3, Value: (0.0625,0.00390625,-0.0078125)},Magnetic: {Time: 3933, Status: 2, Value: (-3.5,-25.5625,-38.5)},Gravity: {Time: 3926, Status: 3, Value: (0.4453125,-0.078125,9.859375)}, Rotation: {Time: 3941, Status: 0, Value: (-0.02264404296875,0.0023193359375,-0.99822998046875, 0.05487060546875)}}
0:00:04.097691: {Acceleration: {Time: 4039, Status: 0, Value: (0.00390625,0.001953125,0.0)},Gyroscope: {Time: 4009, Status: 3, Value: (-0.02734375,0.01171875,0.0390625)},Magnetic: {Time: 4023, Status: 2, Value: (-4.25,-25.125,-36.9375)},Gravity: {Time: 4007, Status: 3, Value: (0.4609375,-0.0859375,9.8515625)}, Rotation: {Time: 4034, Status: 0, Value: (-0.0225830078125,0.00225830078125,-0.99822998046875, 0.05487060546875)}}
0:00:04.167166: {Acceleration: {Time: 4110, Status: 0, Value: (-0.005859375,0.0,-0.00390625)},Gyroscope: {Time: 4098, Status: 3, Value: (-0.01171875,0.00390625,-0.0078125)},Magnetic: {Time: 4072, Status: 2, Value: (-4.25,-24.9375,-39.1875)},Gravity: {Time: 4094, Status: 3, Value: (0.4453125,-0.078125,9.859375)}, Rotation: {Time: 4104, Status: 0, Value: (-0.022705078125,0.00238037109375,-0.99822998046875, 0.05487060546875)}}
