0:00:03.424150: {Acceleration: {Time: 3407, Status: 0, Value: (0.001953125,0.0,0.001953125)},Gyroscope: {Time: 3394, Status: 3, Value: (0.02734375,-0.01171875,0.04296875)},Magnetic: {Time: 3397, Status: 1, Value: (-30.375,28.875,-15.5)},Gravity: {Time: 3380, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 3404, Status: 0, Value: (-0.0155029296875,-0.00250244140625,-0.39697265625, 0.917724609375)}}
0:00:03.505837: {Acceleration: {Time: 3481, Status: 0, Value: (0.0,-0.00390625,0.001953125)},Gyroscope: {Time: 3453, Status: 3, Value: (-0.01171875,-0.01171875,0.05078125)},Magnetic: {Time: 3455, Status: 1, Value: (-29.5625,29.4375,-16.0)},Gravity: {Time: 3489, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 3483, Status: 0, Value: (-0.0155029296875,-0.00250244140625,-0.39697265625, 0.91766357421875)}}
0:00:03.627430: {Acceleration: {Time: 3608, Status: 0, Value: (-0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 3601, Status: 3, Value: (0.02734375,0.02734375,0.01171875)},Magnetic: {Time: 3604, Status: 1, Value: (-30.375,28.5625,-15.1875)},Gravity: {Time: 3598, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 3610, Status: 0, Value: (-0.0155029296875,-0.0025634765625,-0.39691162109375, 0.917724609375)}}
0:00:03.713684: {Acceleration: {Time: 3695, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 3669, Status: 3, Value: (-0.01171875,-0.01171875,-0.02734375)},Magnetic: {Time: 3683, Status: 1, Value: (-30.4375,30.1875,-15.8125)},Gravity: {Time: 3665, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 3697, Status: 0, Value: (-0.01556396484375,-0.0025634765625,-0.39691162109375, 0.917724609375)}}
0:00:03.827273: {Acceleration: {Time: 3807, Status: 0, Value: (-0.00390625,0.001953125,0.0)},Gyroscope: {Time: 3782, Status: 3, Value: (-0.01171875,-0.01953125,-0.02734375)},Magnetic: {Time: 3796, Status: 1, Value: (-30.375,29.5,-15.875)},Gravity: {Time: 3780, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 3811, Status: 0, Value: (-0.0155029296875,-0.00250244140625,-0.39691162109375, 0.917724609375)}}
0:00:03.912553: {Acceleration: {Time: 3887, Status: 0, Value: (-0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 3896, Status: 3, Value: (0.01953125,-0.0546875,-0.02734375)},Magnetic: {Time: 3858, Status: 1, Value: (-30.0625,30.8125,-16.1875)},Gravity: {Time: 3894, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 3890, Status: 0, Value: (-0.0155029296875,-0.0025634765625,-0.39697265625, 0.917724609375)}}
0:00:04.028094: {Acceleration: {Time: 4012, Status: 0, Value: (0.0,0.0,0.001953125)},Gyroscope: {Time: 4001, Status: 3, Value: (-0.01953125,0.02734375,-0.02734375)},Magnetic: {Time: 4004, Status: 1, Value: (-31.8125,29.25,-16.875)},Gravity: {Time: 3997, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 4006, Status: 0, Value: (-0.0155029296875,-0.0025634765625,-0.39697265625, 0.917724609375)}}
0:00:04.126833: {Acceleration: {Time: 4101, Status: 0, Value: (-0.00390625,0.00390625,0.001953125)},Gyroscope: {Time: 4111, Status: 3, Value: (-0.01171875,0.01953125,-0.02734375)},Magnetic: {Time: 4044, Status: 1, Value: (-31.125,29.875,-16.125)},Gravity: {Time: 4107, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 4104, Status: 0, Value: (-0.01544189453125,-0.0025634765625,-0.39691162109375, 0.917724609375)}}
0:00:04.225930: {Acceleration: {Time: 4201, Status: 0, Value: (0.00390625,0.0,0.0)},Gyroscope: {Time: 4210, Status: 3, Value: (-0.01171875,0.01953125,0.01171875)},Magnetic: {Time: 4174, Status: 1, Value: (-30.9375,29.1875,-17.375)},Gravity: {Time: 4206, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 4203, Status: 0, Value: (-0.0155029296875,-0.0025634765625,-0.3968505859375, 0.917724609375)}}
0:00:04.316220: {Acceleration: {Time: 4292, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 4297, Status: 3, Value: (-0.01171875,-0.02734375,0.01171875)},Magnetic: {Time: 4300, Status: 1, Value: (-29.3125,29.625,-17.875)},Gravity: {Time: 4294, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 4286, Status: 0, Value: (-0.0155029296875,-0.0025634765625,-0.3968505859375, 0.917724609375)}}
