0:00:03.374555: {Acceleration: {Time: 3350, Status: 0, Value: (-0.05078125,-0.033203125,0.005859375)},Gyroscope: {Time: 3294, Status: 3, Value: (0.046875,-0.109375,0.2265625)},Magnetic: {Time: 3308, Status: 1, Value: (-4.8125,-17.8125,-20.0625)},Gravity: {Time: 3290, Status: 3, Value: (0.3359375,0.0703125,9.6171875)}, Rotation: {Time: 3347, Status: 0, Value: (-0.0147705078125,-0.0086669921875,-0.99578857421875, 0.09039306640625)}}
0:00:03.459801: {Acceleration: {Time: 3433, Status: 0, Value: (-0.001953125,-0.001953125,-0.00390625)},Gyroscope: {Time: 3427, Status: 3, Value: (0.0625,-0.1328125,-0.1171875)},Magnetic: {Time: 3429, Status: 1, Value: (-3.5,-18.25,-20.625)},Gravity: {Time: 3423, Status: 3, Value: (0.3203125,0.09375,9.6171875)}, Rotation: {Time: 3436, Status: 0, Value: (-0.01605224609375,-0.00714111328125,-0.9957275390625, 0.09039306640625)}}
0:00:03.566199: {Acceleration: {Time: 3530, Status: 0, Value: (0.009765625,0.0078125,0.005859375)},Gyroscope: {Time: 3537, Status: 3, Value: (0.015625,0.03515625,-0.15625)},Magnetic: {Time: 3539, Status: 1, Value: (-4.5,-18.125,-19.0)},Gravity: {Time: 3534, Status: 3, Value: (0.328125,0.078125,9.6171875)}, Rotation: {Time: 3542, Status: 0, Value: (-0.01641845703125,-0.0067138671875,-0.9957275390625, 0.09033203125)}}
0:00:03.678449: {Acceleration: {Time: 3651, Status: 0, Value: (0.017578125,0.01171875,0.001953125)},Gyroscope: {Time: 3646, Status: 3, Value: (0.015625,-0.0078125,-0.00390625)},Magnetic: {Time: 3648, Status: 1, Value: (-3.5,-18.25,-20.625)},Gravity: {Time: 3642, Status: 3, Value: (0.328125,0.0859375,9.6171875)}, Rotation: {Time: 3655, Status: 0, Value: (-0.0162353515625,-0.00677490234375,-0.9957275390625, 0.09039306640625)}}
0:00:03.765897: {Acceleration: {Time: 3740, Status: 0, Value: (-0.013671875,-0.005859375,0.00390625)},Gyroscope: {Time: 3714, Status: 3, Value: (-0.05078125,0.01953125,-0.00390625)},Magnetic: {Time: 3728, Status: 1, Value: (-3.25,-17.5625,-19.875)},Gravity: {Time: 3710, Status: 3, Value: (0.3203125,0.09375,9.6171875)}, Rotation: {Time: 3742, Status: 0, Value: (-0.01617431640625,-0.0069580078125,-0.9957275390625, 0.09033203125)}}
0:00:03.880340: {Acceleration: {Time: 3854, Status: 0, Value: (-0.0078125,-0.005859375,0.0)},Gyroscope: {Time: 3826, Status: 3, Value: (0.015625,-0.015625,-0.078125)},Magnetic: {Time: 3840, Status: 1, Value: (-3.8125,-17.1875,-19.0)},Gravity: {Time: 3824, Status: 3, Value: (0.328125,0.09375,9.6171875)}, Rotation: {Time: 3857, Status: 0, Value: (-0.01605224609375,-0.007080078125,-0.9957275390625, 0.09039306640625)}}
0:00:03.975560: {Acceleration: {Time: 3944, Status: 0, Value: (0.037109375,0.044921875,0.013671875)},Gyroscope: {Time: 3952, Status: 3, Value: (0.0625,-0.33203125,0.44921875)},Magnetic: {Time: 3889, Status: 1, Value: (-3.5625,-17.9375,-20.5625)},Gravity: {Time: 3949, Status: 3, Value: (0.3203125,0.1015625,9.625)}, Rotation: {Time: 3946, Status: 0, Value: (-0.0157470703125,-0.00732421875,-0.9957275390625, 0.0904541015625)}}
0:00:04.087072: {Acceleration: {Time: 4054, Status: 0, Value: (0.07421875,0.0625,0.0078125)},Gyroscope: {Time: 4063, Status: 3, Value: (-0.0234375,0.0078125,0.2265625)},Magnetic: {Time: 4023, Status: 1, Value: (-3.3125,-18.1875,-19.125)},Gravity: {Time: 4060, Status: 3, Value: (0.3671875,0.03125,9.6171875)}, Rotation: {Time: 4057, Status: 0, Value: (-0.0184326171875,-0.00433349609375,-0.99566650390625, 0.0908203125)}}
0:00:04.167966: {Acceleration: {Time: 4136, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 4144, Status: 3, Value: (0.03125,0.04296875,0.02734375)},Magnetic: {Time: 4080, Status: 1, Value: (-4.125,-16.875,-20.125)},Gravity: {Time: 4141, Status: 3, Value: (0.3515625,0.0703125,9.625)}, Rotation: {Time: 4139, Status: 0, Value: (-0.0174560546875,-0.0054931640625,-0.99566650390625, 0.09112548828125)}}
0:00:04.268274: {Acceleration: {Time: 4236, Status: 0, Value: (-0.087890625,-0.052734375,0.001953125)},Gyroscope: {Time: 4245, Status: 3, Value: (0.0390625,-0.0390625,0.03515625)},Magnetic: {Time: 4208, Status: 1, Value: (-3.1875,-18.25,-19.9375)},Gravity: {Time: 4241, Status: 3, Value: (0.34375,0.078125,9.6171875)}, Rotation: {Time: 4238, Status: 0, Value: (-0.01715087890625,-0.00579833984375,-0.99566650390625, 0.09112548828125)}}
