0:00:04.337174 {Acceleration: {Time: 4307, Status: 0, Value: (0.001953125,0.0,0.001953125)},Gyroscope: {Time: 4278, Status: 3, Value: (-0.01953125,-0.01171875,-0.01953125)},Magnetic: {Time: 4280, Status: 1, Value: (-29.75,27.1875,-16.0625)},Gravity: {Time: 4275, Status: 3, Value: (0.171875,-0.2578125,9.6328125)}, Rotation: {Time: 4301, Status: 0, Value: (-0.01556396484375,-0.0028076171875,-0.39605712890625, 0.9180908203125)}}
0:00:04.448961 {Acceleration: {Time: 4419, Status: 0, Value: (0.0,-0.001953125,0.0)},Gyroscope: {Time: 4381, Status: 3, Value: (-0.01953125,0.02734375,0.01953125)},Magnetic: {Time: 4384, Status: 1, Value: (-30.625,29.5,-16.5625)},Gravity: {Time: 4367, Status: 3, Value: (0.171875,-0.2578125,9.6328125)}, Rotation: {Time: 4421, Status: 0, Value: (-0.0155029296875,-0.00286865234375,-0.39605712890625, 0.9180908203125)}}
0:00:04.563278 {Acceleration: {Time: 4527, Status: 0, Value: (0.001953125,0.001953125,0.001953125)},Gyroscope: {Time: 4536, Status: 3, Value: (0.01953125,0.01953125,0.01171875)},Magnetic: {Time: 4496, Status: 1, Value: (-29.5625,28.8125,-15.625)},Gravity: {Time: 4533, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4529, Status: 0, Value: (-0.0155029296875,-0.00286865234375,-0.39599609375, 0.9180908203125)}}
0:00:04.660608 {Acceleration: {Time: 4631, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 4596, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 4599, Status: 1, Value: (-30.375,27.75,-17.4375)},Gravity: {Time: 4593, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4633, Status: 0, Value: (-0.0155029296875,-0.00286865234375,-0.39599609375, 0.9180908203125)}}
0:00:04.742015 {Acceleration: {Time: 4708, Status: 0, Value: (-0.00390625,0.0,-0.001953125)},Gyroscope: {Time: 4715, Status: 3, Value: (-0.01953125,0.01953125,0.01171875)},Magnetic: {Time: 4659, Status: 1, Value: (-30.1875,28.125,-16.6875)},Gravity: {Time: 4712, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4710, Status: 0, Value: (-0.01544189453125,-0.0028076171875,-0.39599609375, 0.9180908203125)}}
0:00:04.859516 {Acceleration: {Time: 4823, Status: 0, Value: (-0.001953125,-0.001953125,0.001953125)},Gyroscope: {Time: 4833, Status: 3, Value: (-0.01171875,0.01953125,0.01171875)},Magnetic: {Time: 4815, Status: 1, Value: (-29.875,27.8125,-15.625)},Gravity: {Time: 4830, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 4826, Status: 0, Value: (-0.01544189453125,-0.0028076171875,-0.39599609375, 0.9180908203125)}}
0:00:04.954780 {Acceleration: {Time: 4919, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4928, Status: 3, Value: (-0.01171875,0.01953125,-0.03515625)},Magnetic: {Time: 4891, Status: 1, Value: (-30.8125,29.5625,-15.0625)},Gravity: {Time: 4925, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 4921, Status: 0, Value: (-0.01544189453125,-0.0030517578125,-0.39556884765625, 0.91827392578125)}}
0:00:05.065278 {Acceleration: {Time: 5033, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5003, Status: 3, Value: (-0.01171875,0.01953125,0.00390625)},Magnetic: {Time: 5005, Status: 1, Value: (-29.8125,28.5,-16.3125)},Gravity: {Time: 5038, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 5035, Status: 0, Value: (-0.0152587890625,-0.002685546875,-0.39556884765625, 0.91827392578125)}}
0:00:05.152571 {Acceleration: {Time: 5123, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5117, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 5120, Status: 1, Value: (-29.9375,28.5,-15.5625)},Gravity: {Time: 5113, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 5126, Status: 0, Value: (-0.0152587890625,-0.002685546875,-0.39556884765625, 0.91827392578125)}}
0:00:05.267054 {Acceleration: {Time: 5231, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5240, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 5225, Status: 1, Value: (-29.375,28.4375,-16.8125)},Gravity: {Time: 5238, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 5234, Status: 0, Value: (-0.01544189453125,-0.0030517578125,-0.39556884765625, 0.91827392578125)}}
0:00:05.364188 {Acceleration: {Time: 5329, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5338, Status: 3, Value: (-0.01953125,0.01953125,0.01171875)},Magnetic: {Time: 5273, Status: 1, Value: (-30.125,27.5,-16.75)},Gravity: {Time: 5334, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 5331, Status: 0, Value: (-0.01544189453125,-0.0030517578125,-0.39556884765625, 0.91827392578125)}}
0:00:05.449203 {Acceleration: {Time: 5423, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5388, Status: 3, Value: (-0.01953125,0.01953125,0.01171875)},Magnetic: {Time: 5390, Status: 1, Value: (-30.125,28.75,-17.4375)},Gravity: {Time: 5384, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 5420, Status: 0, Value: (-0.01544189453125,-0.0030517578125,-0.39556884765625, 0.91827392578125)}}
0:00:05.544109 {Acceleration: {Time: 5514, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5476, Status: 3, Value: (-0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 5479, Status: 1, Value: (-29.75,28.75,-17.125)},Gravity: {Time: 5462, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 5518, Status: 0, Value: (-0.01544189453125,-0.0030517578125,-0.39556884765625, 0.91827392578125)}}
0:00:05.657857 {Acceleration: {Time: 5632, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5565, Status: 3, Value: (-0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 5568, Status: 1, Value: (-30.625,29.5,-16.5625)},Gravity: {Time: 5562, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 5628, Status: 0, Value: (-0.01544189453125,-0.0030517578125,-0.39556884765625, 0.91827392578125)}}
0:00:05.755317 {Acceleration: {Time: 5720, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5729, Status: 3, Value: (0.01953125,0.01953125,0.00390625)},Magnetic: {Time: 5665, Status: 1, Value: (-30.625,28.5625,-16.25)},Gravity: {Time: 5727, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 5723, Status: 0, Value: (-0.01544189453125,-0.0030517578125,-0.39556884765625, 0.91827392578125)}}
0:00:05.854381 {Acceleration: {Time: 5825, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5799, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 5813, Status: 1, Value: (-29.5625,29.1875,-15.5625)},Gravity: {Time: 5796, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 5828, Status: 0, Value: (-0.01544189453125,-0.0030517578125,-0.39556884765625, 0.91827392578125)}}
0:00:05.970877 {Acceleration: {Time: 5943, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5915, Status: 3, Value: (-0.01953125,0.01953125,0.00390625)},Magnetic: {Time: 5930, Status: 1, Value: (-30.375,27.5,-17.5)},Gravity: {Time: 5912, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 5945, Status: 0, Value: (-0.01544189453125,-0.0030517578125,-0.39556884765625, 0.91827392578125)}}
