0:00:04.781387 {Acceleration: {Time: 4730, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4667, Status: 3, Value: (0.0,-0.01953125,0.0)},Magnetic: {Time: 4670, Status: 2, Value: (0.375,-23.25,-35.6875)},Gravity: {Time: 4732, Status: 3, Value: (0.1953125,0.59375,9.84375)}, Rotation: {Time: 4726, Status: 0, Value: (-0.01025390625,-0.03009033203125,-0.99951171875, 0.002685546875)}}
0:00:04.864908 {Acceleration: {Time: 4817, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4749, Status: 3, Value: (0.0078125,-0.01953125,0.0078125)},Magnetic: {Time: 4752, Status: 2, Value: (0.375,-24.0625,-35.625)},Gravity: {Time: 4819, Status: 3, Value: (0.203125,0.5859375,9.84375)}, Rotation: {Time: 4813, Status: 0, Value: (-0.01025390625,-0.03009033203125,-0.99951171875, 0.002685546875)}}
0:00:04.963883 {Acceleration: {Time: 4912, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4876, Status: 3, Value: (-0.0390625,-0.01171875,0.046875)},Magnetic: {Time: 4853, Status: 2, Value: (0.75,-22.5,-38.0625)},Gravity: {Time: 4872, Status: 3, Value: (0.203125,0.5859375,9.84375)}, Rotation: {Time: 4915, Status: 0, Value: (-0.01025390625,-0.03009033203125,-0.99951171875, 0.002685546875)}}
0:00:05.055046 {Acceleration: {Time: 5005, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5014, Status: 3, Value: (0.0078125,-0.01171875,0.0)},Magnetic: {Time: 4949, Status: 2, Value: (1.0,-21.875,-35.4375)},Gravity: {Time: 5011, Status: 3, Value: (0.1953125,0.5859375,9.8515625)}, Rotation: {Time: 5008, Status: 0, Value: (-0.01019287109375,-0.03009033203125,-0.99951171875, 0.002685546875)}}
0:00:05.149969 {Acceleration: {Time: 5105, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5070, Status: 3, Value: (0.0,-0.01171875,0.0078125)},Magnetic: {Time: 5073, Status: 2, Value: (1.375,-21.625,-36.8125)},Gravity: {Time: 5056, Status: 3, Value: (0.203125,0.5859375,9.84375)}, Rotation: {Time: 5098, Status: 0, Value: (-0.01019287109375,-0.03009033203125,-0.99951171875, 0.002685546875)}}
0:00:05.230727 {Acceleration: {Time: 5193, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5179, Status: 3, Value: (0.0,0.02734375,0.0078125)},Magnetic: {Time: 5183, Status: 2, Value: (0.25,-24.5,-35.9375)},Gravity: {Time: 5165, Status: 3, Value: (0.203125,0.5859375,9.84375)}, Rotation: {Time: 5189, Status: 0, Value: (-0.01019287109375,-0.030029296875,-0.99951171875, 0.002685546875)}}
0:00:05.348701 {Acceleration: {Time: 5286, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5295, Status: 3, Value: (-0.046875,0.01953125,0.046875)},Magnetic: {Time: 5254, Status: 2, Value: (0.25,-22.375,-37.125)},Gravity: {Time: 5291, Status: 3, Value: (0.2109375,0.59375,9.84375)}, Rotation: {Time: 5288, Status: 0, Value: (-0.01025390625,-0.030029296875,-0.99951171875, 0.002685546875)}}
0:00:05.439622 {Acceleration: {Time: 5392, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5366, Status: 3, Value: (0.0390625,-0.01953125,0.0078125)},Magnetic: {Time: 5380, Status: 2, Value: (-0.5,-25.0625,-36.9375)},Gravity: {Time: 5362, Status: 3, Value: (0.203125,0.59375,9.84375)}, Rotation: {Time: 5395, Status: 0, Value: (-0.01025390625,-0.030029296875,-0.99951171875, 0.002685546875)}}
0:00:05.515234 {Acceleration: {Time: 5470, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5418, Status: 3, Value: (-0.0078125,-0.0546875,0.0)},Magnetic: {Time: 5420, Status: 2, Value: (0.0,-23.375,-35.6875)},Gravity: {Time: 5415, Status: 3, Value: (0.2109375,0.59375,9.8515625)}, Rotation: {Time: 5464, Status: 0, Value: (-0.01025390625,-0.030029296875,-0.99951171875, 0.002685546875)}}
0:00:05.639764 {Acceleration: {Time: 5584, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5578, Status: 3, Value: (-0.0390625,0.01953125,0.0)},Magnetic: {Time: 5581, Status: 2, Value: (-0.75,-24.8125,-36.3125)},Gravity: {Time: 5574, Status: 3, Value: (0.203125,0.59375,9.8515625)}, Rotation: {Time: 5587, Status: 0, Value: (-0.01025390625,-0.030029296875,-0.99951171875, 0.002685546875)}}
