0:00:03.993845: {Acceleration: {Time: 3374, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3337, Status: 3, Value: (0.015625,0.03125,0.0234375)},Magnetic: {Time: 3340, Status: 2, Value: (-0.5,-17.4375,37.9375)},Gravity: {Time: 3334, Status: 3, Value: (0.0234375,-0.4921875,-10.0234375)}, Rotation: {Time: 3371, Status: 2, Value: (-0.99969482421875,-0.00616455078125,-0.00042724609375, 0.0244140625)}}
0:00:04.089138: {Acceleration: {Time: 3463, Status: 0, Value: (0.0,0.005859375,0.0)},Gyroscope: {Time: 3467, Status: 3, Value: (0.0546875,0.03125,0.015625)},Magnetic: {Time: 3470, Status: 2, Value: (0.5,-18.125,38.75)},Gravity: {Time: 3465, Status: 3, Value: (0.0234375,-0.4921875,-10.015625)}, Rotation: {Time: 3458, Status: 2, Value: (-0.99969482421875,-0.00616455078125,-0.0003662109375, 0.0244140625)}}
0:00:04.215690: {Acceleration: {Time: 3590, Status: 0, Value: (-0.001953125,0.001953125,0.001953125)},Gyroscope: {Time: 3598, Status: 3, Value: (0.0078125,0.0234375,-0.05859375)},Magnetic: {Time: 3558, Status: 2, Value: (0.1875,-17.4375,37.4375)},Gravity: {Time: 3595, Status: 3, Value: (0.03125,-0.484375,-10.015625)}, Rotation: {Time: 3592, Status: 2, Value: (-0.99969482421875,-0.0062255859375,-0.0003662109375, 0.02435302734375)}}
0:00:04.308080: {Acceleration: {Time: 3687, Status: 0, Value: (-0.001953125,-0.00390625,0.00390625)},Gyroscope: {Time: 3696, Status: 3, Value: (0.015625,0.0234375,-0.05859375)},Magnetic: {Time: 3656, Status: 2, Value: (-0.9375,-18.8125,38.8125)},Gravity: {Time: 3693, Status: 3, Value: (0.0234375,-0.484375,-10.015625)}, Rotation: {Time: 3690, Status: 2, Value: (-0.99969482421875,-0.0062255859375,-0.0003662109375, 0.02435302734375)}}
0:00:04.434291: {Acceleration: {Time: 3804, Status: 0, Value: (-0.025390625,0.025390625,-0.123046875)},Gyroscope: {Time: 3811, Status: 3, Value: (-0.046875,0.0234375,-0.359375)},Magnetic: {Time: 3813, Status: 2, Value: (1.3125,-16.8125,37.8125)},Gravity: {Time: 3808, Status: 3, Value: (0.046875,-0.484375,-10.0234375)}, Rotation: {Time: 3817, Status: 2, Value: (-0.99969482421875,-0.00787353515625,-6.103515625e-05, 0.0242919921875)}}
0:00:04.530440: {Acceleration: {Time: 3918, Status: 0, Value: (0.158203125,0.068359375,-0.044921875)},Gyroscope: {Time: 3878, Status: 3, Value: (-0.34765625,-0.31640625,0.9921875)},Magnetic: {Time: 3852, Status: 2, Value: (-1.625,-18.8125,38.875)},Gravity: {Time: 3920, Status: 3, Value: (0.34375,-0.09375,-10.03125)}, Rotation: {Time: 3912, Status: 2, Value: (-0.99969482421875,-0.01861572265625,-0.01434326171875, 0.0050048828125)}}
0:00:04.656031: {Acceleration: {Time: 4038, Status: 0, Value: (-0.015625,0.14453125,0.02734375)},Gyroscope: {Time: 4017, Status: 3, Value: (0.71875,-1.20703125,-3.421875)},Magnetic: {Time: 4032, Status: 2, Value: (1.25,-18.125,38.6875)},Gravity: {Time: 4014, Status: 3, Value: (0.125,-0.515625,-10.0234375)}, Rotation: {Time: 4010, Status: 2, Value: (-0.99957275390625,-0.0123291015625,-0.00286865234375, 0.02587890625)}}
0:00:04.753025: {Acceleration: {Time: 4129, Status: 0, Value: (-0.01171875,0.009765625,0.001953125)},Gyroscope: {Time: 4138, Status: 3, Value: (-0.1328125,0.00390625,-0.12890625)},Magnetic: {Time: 4074, Status: 2, Value: (-0.5625,-17.4375,38.8125)},Gravity: {Time: 4134, Status: 3, Value: (0.1328125,-0.5390625,-10.0234375)}, Rotation: {Time: 4131, Status: 2, Value: (-0.99957275390625,-0.010986328125,-0.0032958984375, 0.0264892578125)}}
0:00:04.879014: {Acceleration: {Time: 4255, Status: 0, Value: (0.0,0.029296875,0.0)},Gyroscope: {Time: 4264, Status: 3, Value: (-0.109375,0.0703125,0.0625)},Magnetic: {Time: 4249, Status: 2, Value: (-0.1875,-17.4375,38.75)},Gravity: {Time: 4261, Status: 3, Value: (0.1484375,-0.53125,-10.0234375)}, Rotation: {Time: 4257, Status: 2, Value: (-0.99957275390625,-0.01116943359375,-0.00408935546875, 0.02642822265625)}}
0:00:04.943010: {Acceleration: {Time: 4332, Status: 0, Value: (0.001953125,0.01171875,-0.001953125)},Gyroscope: {Time: 4295, Status: 3, Value: (-0.109375,0.03515625,-0.01171875)},Magnetic: {Time: 4298, Status: 2, Value: (-2.0,-16.8125,38.875)},Gravity: {Time: 4261, Status: 3, Value: (0.1484375,-0.53125,-10.0234375)}, Rotation: {Time: 4328, Status: 2, Value: (-0.99957275390625,-0.01129150390625,-0.0040283203125, 0.02642822265625)}}
0:00:05.134984: {Acceleration: {Time: 4519, Status: 0, Value: (-0.001953125,-0.001953125,-0.001953125)},Gyroscope: {Time: 4528, Status: 3, Value: (-0.109375,0.03515625,0.0234375)},Magnetic: {Time: 4466, Status: 2, Value: (-0.5,-17.75,38.375)},Gravity: {Time: 4525, Status: 3, Value: (0.1484375,-0.53125,-10.0234375)}, Rotation: {Time: 4522, Status: 2, Value: (-0.99957275390625,-0.01153564453125,-0.004150390625, 0.0263671875)}}
0:00:05.230978: {Acceleration: {Time: 4618, Status: 0, Value: (0.0,0.001953125,-0.001953125)},Gyroscope: {Time: 4611, Status: 3, Value: (-0.109375,0.0703125,0.03125)},Magnetic: {Time: 4614, Status: 2, Value: (-0.0625,-17.75,37.0625)},Gravity: {Time: 4607, Status: 3, Value: (0.1484375,-0.53125,-10.03125)}, Rotation: {Time: 4621, Status: 2, Value: (-0.99957275390625,-0.01165771484375,-0.0042724609375, 0.02642822265625)}}
0:00:05.356504: {Acceleration: {Time: 4739, Status: 0, Value: (0.001953125,0.005859375,0.0)},Gyroscope: {Time: 4746, Status: 3, Value: (-0.1484375,0.109375,-0.00390625)},Magnetic: {Time: 4683, Status: 2, Value: (0.9375,-17.0625,37.875)},Gravity: {Time: 4744, Status: 3, Value: (0.1484375,-0.53125,-10.03125)}, Rotation: {Time: 4741, Status: 2, Value: (-0.99957275390625,-0.01171875,-0.00439453125, 0.02642822265625)}}
