0:00:03.435824: {Acceleration: {Time: 3387, Status: 0, Value: (-0.00390625,0.00390625,0.001953125)},Gyroscope: {Time: 3396, Status: 3, Value: (0.02734375,-0.00390625,-0.03515625)},Magnetic: {Time: 3335, Status: 1, Value: (-29.9375,29.1875,-16.0625)},Gravity: {Time: 3393, Status: 3, Value: (0.1640625,-0.265625,9.6484375)}, Rotation: {Time: 3390, Status: 0, Value: (-0.015625,-0.00274658203125,-0.3807373046875, 0.924560546875)}}
0:00:03.534252: {Acceleration: {Time: 3487, Status: 0, Value: (-0.001953125,0.001953125,0.0)},Gyroscope: {Time: 3495, Status: 3, Value: (0.01953125,0.03515625,-0.03515625)},Magnetic: {Time: 3460, Status: 1, Value: (-29.0,28.4375,-16.1875)},Gravity: {Time: 3492, Status: 3, Value: (0.171875,-0.265625,9.6484375)}, Rotation: {Time: 3489, Status: 0, Value: (-0.01611328125,-0.00299072265625,-0.3807373046875, 0.924560546875)}}
0:00:03.632688: {Acceleration: {Time: 3591, Status: 0, Value: (0.001953125,0.001953125,0.0)},Gyroscope: {Time: 3561, Status: 3, Value: (0.01953125,-0.01171875,0.00390625)},Magnetic: {Time: 3564, Status: 1, Value: (-29.25,29.1875,-14.9375)},Gravity: {Time: 3559, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 3593, Status: 0, Value: (-0.0157470703125,-0.003173828125,-0.3807373046875, 0.924560546875)}}
0:00:03.738458: {Acceleration: {Time: 3697, Status: 0, Value: (0.00390625,0.0,0.0)},Gyroscope: {Time: 3689, Status: 3, Value: (0.01953125,-0.01171875,-0.03515625)},Magnetic: {Time: 3691, Status: 1, Value: (-29.0625,28.125,-15.4375)},Gravity: {Time: 3686, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 3699, Status: 0, Value: (-0.0157470703125,-0.00311279296875,-0.3807373046875, 0.924560546875)}}
0:00:03.852119: {Acceleration: {Time: 3813, Status: 0, Value: (0.001953125,0.001953125,-0.001953125)},Gyroscope: {Time: 3756, Status: 3, Value: (0.01953125,0.02734375,0.00390625)},Magnetic: {Time: 3770, Status: 1, Value: (-28.375,29.6875,-16.1875)},Gravity: {Time: 3753, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 3810, Status: 0, Value: (-0.0157470703125,-0.003173828125,-0.38067626953125, 0.924560546875)}}
0:00:03.936362: {Acceleration: {Time: 3895, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 3888, Status: 3, Value: (-0.01953125,0.02734375,0.00390625)},Magnetic: {Time: 3892, Status: 1, Value: (-28.375,28.0,-17.4375)},Gravity: {Time: 3885, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 3897, Status: 0, Value: (-0.0157470703125,-0.00311279296875,-0.3807373046875, 0.924560546875)}}
0:00:04.050926: {Acceleration: {Time: 4010, Status: 0, Value: (-0.001953125,-0.001953125,-0.001953125)},Gyroscope: {Time: 4004, Status: 3, Value: (0.01953125,0.02734375,-0.00390625)},Magnetic: {Time: 4006, Status: 1, Value: (-28.75,28.5,-15.125)},Gravity: {Time: 4001, Status: 3, Value: (0.171875,-0.2578125,9.65625)}, Rotation: {Time: 4012, Status: 0, Value: (-0.0157470703125,-0.003173828125,-0.3807373046875, 0.924560546875)}}
0:00:04.139260: {Acceleration: {Time: 4098, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 4070, Status: 3, Value: (0.01953125,-0.01953125,-0.00390625)},Magnetic: {Time: 4072, Status: 1, Value: (-29.125,28.5,-15.4375)},Gravity: {Time: 4067, Status: 3, Value: (0.171875,-0.25,9.65625)}, Rotation: {Time: 4100, Status: 0, Value: (-0.015380859375,-0.0032958984375,-0.3807373046875, 0.924560546875)}}
0:00:04.253789: {Acceleration: {Time: 4213, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 4183, Status: 3, Value: (-0.01953125,-0.01953125,-0.04296875)},Magnetic: {Time: 4186, Status: 1, Value: (-27.875,28.0625,-15.625)},Gravity: {Time: 4181, Status: 3, Value: (0.171875,-0.25,9.65625)}, Rotation: {Time: 4215, Status: 0, Value: (-0.015380859375,-0.0032958984375,-0.3807373046875, 0.924560546875)}}
0:00:04.340208: {Acceleration: {Time: 4299, Status: 0, Value: (0.00390625,-0.001953125,-0.001953125)},Gyroscope: {Time: 4235, Status: 3, Value: (-0.01953125,-0.01953125,-0.04296875)},Magnetic: {Time: 4238, Status: 1, Value: (-28.1875,27.0625,-16.0625)},Gravity: {Time: 4301, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 4295, Status: 0, Value: (-0.01531982421875,-0.00323486328125,-0.38348388671875, 0.92340087890625)}}
