0:00:03.798819 {Acceleration: {Time: 3758, Status: 0, Value: (0.00390625,-0.001953125,-0.001953125)},Gyroscope: {Time: 3732, Status: 3, Value: (0.02734375,-0.046875,0.05859375)},Magnetic: {Time: 3746, Status: 1, Value: (-30.375,29.5625,-16.1875)},Gravity: {Time: 3729, Status: 3, Value: (0.1640625,-0.2578125,9.6328125)}, Rotation: {Time: 3762, Status: 0, Value: (-0.01513671875,-0.00274658203125,-0.38934326171875, 0.92095947265625)}}
0:00:03.882260 {Acceleration: {Time: 3837, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 3845, Status: 3, Value: (-0.01171875,-0.046875,-0.01953125)},Magnetic: {Time: 3787, Status: 1, Value: (-28.75,27.8125,-14.5)},Gravity: {Time: 3843, Status: 3, Value: (0.1640625,-0.2578125,9.6328125)}, Rotation: {Time: 3840, Status: 0, Value: (-0.01519775390625,-0.00274658203125,-0.38934326171875, 0.92095947265625)}}
0:00:04.005067 {Acceleration: {Time: 3960, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3968, Status: 3, Value: (-0.01953125,-0.01953125,-0.02734375)},Magnetic: {Time: 3906, Status: 1, Value: (-27.9375,27.75,-15.0)},Gravity: {Time: 3966, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 3963, Status: 0, Value: (-0.0152587890625,-0.00274658203125,-0.38934326171875, 0.92095947265625)}}
0:00:04.089490 {Acceleration: {Time: 4053, Status: 0, Value: (0.001953125,0.001953125,0.0)},Gyroscope: {Time: 4020, Status: 3, Value: (0.01953125,-0.01953125,-0.02734375)},Magnetic: {Time: 4023, Status: 1, Value: (-28.5,28.6875,-17.1875)},Gravity: {Time: 4017, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4049, Status: 0, Value: (-0.0152587890625,-0.00274658203125,-0.389404296875, 0.92095947265625)}}
0:00:04.186188 {Acceleration: {Time: 4149, Status: 0, Value: (0.001953125,0.0,0.001953125)},Gyroscope: {Time: 4136, Status: 3, Value: (0.01953125,0.01953125,0.01171875)},Magnetic: {Time: 4139, Status: 1, Value: (-29.75,29.25,-14.3125)},Gravity: {Time: 4122, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4146, Status: 0, Value: (-0.0152587890625,-0.00274658203125,-0.38934326171875, 0.92095947265625)}}
0:00:04.300195 {Acceleration: {Time: 4263, Status: 0, Value: (0.001953125,0.0,0.001953125)},Gyroscope: {Time: 4228, Status: 3, Value: (0.02734375,-0.01953125,0.01171875)},Magnetic: {Time: 4232, Status: 1, Value: (-30.1875,29.875,-14.625)},Gravity: {Time: 4226, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 4258, Status: 0, Value: (-0.01531982421875,-0.00274658203125,-0.38934326171875, 0.92095947265625)}}
0:00:04.398842 {Acceleration: {Time: 4353, Status: 0, Value: (-0.001953125,0.001953125,-0.001953125)},Gyroscope: {Time: 4362, Status: 3, Value: (0.02734375,0.01953125,0.05078125)},Magnetic: {Time: 4322, Status: 1, Value: (-29.0625,30.0625,-16.625)},Gravity: {Time: 4359, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 4355, Status: 0, Value: (-0.0152587890625,-0.00274658203125,-0.38934326171875, 0.92095947265625)}}
0:00:04.519363 {Acceleration: {Time: 4483, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 4444, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 4448, Status: 1, Value: (-29.625,28.875,-15.125)},Gravity: {Time: 4441, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4478, Status: 0, Value: (-0.0152587890625,-0.00274658203125,-0.38934326171875, 0.92095947265625)}}
0:00:04.619185 {Acceleration: {Time: 4574, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 4583, Status: 3, Value: (-0.01953125,0.01171875,-0.03515625)},Magnetic: {Time: 4542, Status: 1, Value: (-28.6875,28.125,-15.25)},Gravity: {Time: 4579, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 4576, Status: 0, Value: (-0.01519775390625,-0.0028076171875,-0.3892822265625, 0.92095947265625)}}
0:00:04.711014 {Acceleration: {Time: 4672, Status: 0, Value: (0.0,0.001953125,-0.001953125)},Gyroscope: {Time: 4665, Status: 3, Value: (-0.01953125,-0.02734375,-0.02734375)},Magnetic: {Time: 4668, Status: 1, Value: (-29.4375,27.1875,-15.25)},Gravity: {Time: 4661, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 4675, Status: 0, Value: (-0.01519775390625,-0.0028076171875,-0.3892822265625, 0.92095947265625)}}
0:00:04.796620 {Acceleration: {Time: 4758, Status: 0, Value: (-0.00390625,0.0,-0.001953125)},Gyroscope: {Time: 4731, Status: 3, Value: (0.01953125,0.05859375,0.01171875)},Magnetic: {Time: 4745, Status: 1, Value: (-30.75,28.9375,-15.375)},Gravity: {Time: 4729, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4760, Status: 0, Value: (-0.01519775390625,-0.0028076171875,-0.3892822265625, 0.92095947265625)}}
0:00:04.907642 {Acceleration: {Time: 4869, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 4843, Status: 3, Value: (0.02734375,0.01953125,-0.02734375)},Magnetic: {Time: 4857, Status: 1, Value: (-29.9375,27.875,-15.125)},Gravity: {Time: 4841, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 4871, Status: 0, Value: (-0.01519775390625,-0.0028076171875,-0.3892822265625, 0.9210205078125)}}
