0:00:10.285346: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -9.682972388484486e-43, Phase: 51188.34765625
0:00:10.368054: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -8.898245248462588e-43, Phase: 51188.8671875
0:00:10.481790: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -7.931349308078465e-43, Phase: 51189.57421875
0:00:10.581482: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -7.174648137343064e-43, Phase: 51190.203125
0:00:10.695115: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -6.389920997321166e-43, Phase: 51190.91796875
0:00:10.792095: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -5.7873626576614945e-43, Phase: 51191.52734375
0:00:10.891847: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -5.226843271931568e-43, Phase: 51192.15625
0:00:10.991966: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -4.7223758247746335e-43, Phase: 51192.78125
0:00:11.077239: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -4.330012254763685e-43, Phase: 51193.3125
0:00:11.190980: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -3.853570776893247e-43, Phase: 51194.02734375
0:00:11.291800: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -3.4752201915255463e-43, Phase: 51194.66015625
0:00:11.390263: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -3.1389085600875902e-43, Phase: 51195.28515625
0:00:11.491824: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -2.8306228979361305e-43, Phase: 51195.91796875
0:00:11.607459: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -2.5223372357846707e-43, Phase: 51196.64453125
0:00:11.692856: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -2.312142466135948e-43, Phase: 51197.18359375
0:00:11.805531: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -2.059908742557481e-43, Phase: 51197.88671875
0:00:11.891869: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.877739942195255e-43, Phase: 51198.4296875
0:00:12.007643: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.6675451725465323e-43, Phase: 51199.15234375
0:00:12.090990: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.5414283107572988e-43, Phase: 51199.671875
0:00:12.184815: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.401298464324817e-43, Phase: 51200.26171875
0:00:12.302660: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.233142648605839e-43, Phase: 51201.00390625
0:00:12.391042: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.1210387714598537e-43, Phase: 51201.5625
0:00:12.502067: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.0089348943138683e-43, Phase: 51202.2578125
0:00:12.595717: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -9.248569864543793e-44, Phase: 51202.84375
0:00:12.703815: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -8.267660939516421e-44, Phase: 51203.52734375
0:00:12.793197: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -7.42688186092153e-44, Phase: 51204.0859375
0:00:12.903332: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -6.726232628759122e-44, Phase: 51204.77734375
0:00:13.000847: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -6.165713243029195e-44, Phase: 51205.39453125
0:00:13.118609: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -5.605193857299268e-44, Phase: 51206.1328125
0:00:13.199211: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -5.184804318001823e-44, Phase: 51206.640625
0:00:13.305335: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -4.624284932271896e-44, Phase: 51207.3046875
0:00:13.401861: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -4.203895392974451e-44, Phase: 51207.90625
0:00:13.517697: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -3.6433760072445244e-44, Phase: 51208.6328125
0:00:13.604094: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -3.2229864679470793e-44, Phase: 51209.1796875
0:00:13.715711: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -2.6624670822171524e-44, Phase: 51209.8828125
0:00:13.800980: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -2.382207389352189e-44, Phase: 51210.4140625
0:00:13.927003: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -2.2420775429197073e-44, Phase: 51211.20703125
0:00:14.018115: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -2.1019476964872256e-44, Phase: 51211.77734375
0:00:14.102531: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -2.1019476964872256e-44, Phase: 51212.30859375
0:00:14.216366: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -2.1019476964872256e-44, Phase: 51213.02734375
0:00:14.329948: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -2.1019476964872256e-44, Phase: 51213.73828125
0:00:14.415350: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -2.1019476964872256e-44, Phase: 51214.27734375
