0:00:04.166911: {Acceleration: {Time: 4121, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 4130, Status: 3, Value: (0.01953125,0.01171875,0.01171875)},Magnetic: {Time: 4071, Status: 1, Value: (-29.3125,28.0625,-16.75)},Gravity: {Time: 4128, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 4124, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.39068603515625, 0.92041015625)}}
0:00:04.248877: {Acceleration: {Time: 4210, Status: 0, Value: (-0.00390625,0.001953125,-0.00390625)},Gyroscope: {Time: 4130, Status: 3, Value: (0.01953125,0.01171875,0.01171875)},Magnetic: {Time: 4147, Status: 1, Value: (-28.125,28.375,-16.5)},Gravity: {Time: 4128, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 4203, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.39068603515625, 0.92041015625)}}
0:00:04.362857: {Acceleration: {Time: 4316, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 4326, Status: 3, Value: (-0.01171875,-0.02734375,0.01171875)},Magnetic: {Time: 4310, Status: 1, Value: (-28.625,27.75,-15.6875)},Gravity: {Time: 4324, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 4318, Status: 0, Value: (-0.01483154296875,-0.0029296875,-0.39068603515625, 0.92041015625)}}
0:00:04.461262: {Acceleration: {Time: 4415, Status: 0, Value: (0.0,-0.001953125,0.0)},Gyroscope: {Time: 4424, Status: 3, Value: (0.02734375,-0.02734375,-0.02734375)},Magnetic: {Time: 4358, Status: 1, Value: (-29.0,28.125,-16.0)},Gravity: {Time: 4421, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 4418, Status: 0, Value: (-0.014892578125,-0.0029296875,-0.39068603515625, 0.92041015625)}}
0:00:04.560875: {Acceleration: {Time: 4515, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 4524, Status: 3, Value: (-0.01953125,-0.02734375,0.01171875)},Magnetic: {Time: 4488, Status: 1, Value: (-29.5,28.5,-15.5625)},Gravity: {Time: 4521, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 4518, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.39178466796875, 0.919921875)}}
0:00:04.654005: {Acceleration: {Time: 4615, Status: 0, Value: (-0.001953125,0.001953125,-0.001953125)},Gyroscope: {Time: 4607, Status: 3, Value: (0.01953125,0.01953125,-0.02734375)},Magnetic: {Time: 4611, Status: 1, Value: (-29.9375,28.1875,-15.125)},Gravity: {Time: 4604, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4617, Status: 0, Value: (-0.01544189453125,-0.00311279296875,-0.39178466796875, 0.919921875)}}
0:00:04.763344: {Acceleration: {Time: 4727, Status: 0, Value: (0.00390625,0.0,0.0)},Gyroscope: {Time: 4687, Status: 3, Value: (-0.01953125,0.01953125,0.01171875)},Magnetic: {Time: 4691, Status: 1, Value: (-30.4375,28.9375,-15.0)},Gravity: {Time: 4684, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4722, Status: 0, Value: (-0.01544189453125,-0.00311279296875,-0.39178466796875, 0.919921875)}}
0:00:04.862427: {Acceleration: {Time: 4817, Status: 0, Value: (0.001953125,-0.001953125,-0.001953125)},Gyroscope: {Time: 4826, Status: 3, Value: (-0.01953125,0.01171875,0.01171875)},Magnetic: {Time: 4760, Status: 1, Value: (-29.0625,29.125,-16.3125)},Gravity: {Time: 4823, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 4819, Status: 0, Value: (-0.01507568359375,-0.0032958984375,-0.39178466796875, 0.919921875)}}
0:00:04.954061: {Acceleration: {Time: 4916, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4907, Status: 3, Value: (-0.01953125,0.01171875,0.01171875)},Magnetic: {Time: 4910, Status: 1, Value: (-30.0625,28.5625,-14.75)},Gravity: {Time: 4904, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 4918, Status: 0, Value: (-0.01507568359375,-0.0032958984375,-0.39178466796875, 0.919921875)}}
0:00:05.061479: {Acceleration: {Time: 5025, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4975, Status: 3, Value: (0.01953125,0.01171875,-0.03515625)},Magnetic: {Time: 4989, Status: 1, Value: (-29.6875,29.8125,-15.0625)},Gravity: {Time: 4972, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 5021, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.39178466796875, 0.919921875)}}
0:00:05.187731: {Acceleration: {Time: 5149, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5123, Status: 3, Value: (-0.01171875,0.01171875,-0.03515625)},Magnetic: {Time: 5137, Status: 1, Value: (-29.1875,28.1875,-14.5)},Gravity: {Time: 5121, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 5152, Status: 0, Value: (-0.014892578125,-0.0029296875,-0.39178466796875, 0.919921875)}}
0:00:05.274362: {Acceleration: {Time: 5236, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5210, Status: 3, Value: (-0.01171875,-0.02734375,-0.03515625)},Magnetic: {Time: 5224, Status: 1, Value: (-30.0,28.25,-14.75)},Gravity: {Time: 5208, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 5238, Status: 0, Value: (-0.014892578125,-0.0029296875,-0.39178466796875, 0.919921875)}}
0:00:05.361926: {Acceleration: {Time: 5323, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5286, Status: 3, Value: (-0.01953125,0.01953125,-0.03515625)},Magnetic: {Time: 5262, Status: 1, Value: (-30.4375,28.9375,-15.0625)},Gravity: {Time: 5282, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 5326, Status: 0, Value: (-0.014892578125,-0.0029296875,-0.39178466796875, 0.919921875)}}
0:00:05.473994: {Acceleration: {Time: 5436, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5428, Status: 3, Value: (0.01953125,0.01953125,0.01171875)},Magnetic: {Time: 5430, Status: 1, Value: (-27.875,27.75,-15.4375)},Gravity: {Time: 5425, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 5438, Status: 0, Value: (-0.014892578125,-0.0029296875,-0.39178466796875, 0.919921875)}}
0:00:05.583103: {Acceleration: {Time: 5545, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5538, Status: 3, Value: (0.01953125,-0.01953125,-0.03515625)},Magnetic: {Time: 5541, Status: 1, Value: (-29.4375,28.8125,-16.3125)},Gravity: {Time: 5534, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 5548, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.384033203125, 0.92315673828125)}}
0:00:05.671870: {Acceleration: {Time: 5633, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5607, Status: 3, Value: (0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 5621, Status: 1, Value: (-28.75,28.8125,-15.25)},Gravity: {Time: 5604, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 5636, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.384033203125, 0.92315673828125)}}
0:00:05.781086: {Acceleration: {Time: 5742, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5736, Status: 3, Value: (-0.01953125,-0.01953125,0.04296875)},Magnetic: {Time: 5739, Status: 1, Value: (-28.8125,29.125,-15.1875)},Gravity: {Time: 5732, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 5746, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.384033203125, 0.92315673828125)}}
0:00:05.869755: {Acceleration: {Time: 5832, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5803, Status: 3, Value: (-0.01953125,0.01953125,0.00390625)},Magnetic: {Time: 5805, Status: 1, Value: (-29.125,29.75,-16.3125)},Gravity: {Time: 5800, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 5834, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.384033203125, 0.92315673828125)}}
0:00:05.982477: {Acceleration: {Time: 5944, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5917, Status: 3, Value: (-0.05859375,0.01953125,0.00390625)},Magnetic: {Time: 5931, Status: 1, Value: (-30.5,28.625,-14.3125)},Gravity: {Time: 5914, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 5947, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.384033203125, 0.92315673828125)}}
