0:00:03.664010: {Acceleration: {Time: 3637, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3573, Status: 3, Value: (-0.00390625,0.01953125,0.00390625)},Magnetic: {Time: 3576, Status: 1, Value: (-30.0,27.125,-17.375)},Gravity: {Time: 3639, Status: 3, Value: (0.15625,-0.25,9.6484375)}, Rotation: {Time: 3632, Status: 0, Value: (-0.01519775390625,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
0:00:03.758569: {Acceleration: {Time: 3732, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3697, Status: 3, Value: (-0.00390625,-0.01953125,0.00390625)},Magnetic: {Time: 3673, Status: 1, Value: (-29.625,28.0625,-17.6875)},Gravity: {Time: 3693, Status: 3, Value: (0.15625,-0.25,9.6484375)}, Rotation: {Time: 3734, Status: 0, Value: (-0.01519775390625,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
0:00:03.872153: {Acceleration: {Time: 3844, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3818, Status: 3, Value: (-0.00390625,-0.01953125,0.00390625)},Magnetic: {Time: 3832, Status: 1, Value: (-30.4375,27.1875,-16.5625)},Gravity: {Time: 3816, Status: 3, Value: (0.15625,-0.25,9.6484375)}, Rotation: {Time: 3848, Status: 0, Value: (-0.01519775390625,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
0:00:03.957373: {Acceleration: {Time: 3925, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3933, Status: 3, Value: (-0.00390625,-0.01953125,0.00390625)},Magnetic: {Time: 3895, Status: 1, Value: (-29.625,29.5,-15.375)},Gravity: {Time: 3931, Status: 3, Value: (0.15625,-0.25,9.6484375)}, Rotation: {Time: 3928, Status: 0, Value: (-0.01519775390625,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
0:00:04.072010: {Acceleration: {Time: 4044, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4033, Status: 3, Value: (-0.00390625,0.01953125,-0.03515625)},Magnetic: {Time: 4037, Status: 1, Value: (-29.9375,29.1875,-16.125)},Gravity: {Time: 4019, Status: 3, Value: (0.15625,-0.25,9.6484375)}, Rotation: {Time: 4048, Status: 0, Value: (-0.01519775390625,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
0:00:04.182985: {Acceleration: {Time: 4152, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4121, Status: 3, Value: (-0.00390625,0.01953125,0.00390625)},Magnetic: {Time: 4123, Status: 1, Value: (-30.3125,29.4375,-16.4375)},Gravity: {Time: 4159, Status: 3, Value: (0.15625,-0.25,9.6484375)}, Rotation: {Time: 4155, Status: 0, Value: (-0.01519775390625,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
0:00:04.281290: {Acceleration: {Time: 4248, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4257, Status: 3, Value: (0.03515625,0.01953125,-0.03515625)},Magnetic: {Time: 4191, Status: 1, Value: (-30.5,28.5,-17.1875)},Gravity: {Time: 4254, Status: 3, Value: (0.15625,-0.25,9.6484375)}, Rotation: {Time: 4251, Status: 0, Value: (-0.01519775390625,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
0:00:04.381499: {Acceleration: {Time: 4347, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4353, Status: 3, Value: (-0.01171875,0.01171875,-0.02734375)},Magnetic: {Time: 4355, Status: 1, Value: (-29.375,28.0625,-16.625)},Gravity: {Time: 4351, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 4358, Status: 0, Value: (-0.01519775390625,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
0:00:04.462243: {Acceleration: {Time: 4436, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4428, Status: 3, Value: (-0.01171875,0.01953125,0.01171875)},Magnetic: {Time: 4432, Status: 1, Value: (-31.4375,28.5625,-16.375)},Gravity: {Time: 4425, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 4438, Status: 0, Value: (-0.01519775390625,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
0:00:04.580814: {Acceleration: {Time: 4557, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4498, Status: 3, Value: (-0.00390625,-0.01953125,0.01171875)},Magnetic: {Time: 4512, Status: 1, Value: (-31.1875,29.875,-15.875)},Gravity: {Time: 4496, Status: 3, Value: (0.15625,-0.25,9.640625)}, Rotation: {Time: 4553, Status: 0, Value: (-0.01519775390625,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
