0:00:04.676645: {Acceleration: {Time: 4650, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4659, Status: 3, Value: (-0.01171875,-0.01171875,0.01171875)},Magnetic: {Time: 4595, Status: 1, Value: (-31.25,29.625,-14.9375)},Gravity: {Time: 4656, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 4653, Status: 0, Value: (-0.01531982421875,-0.00244140625,-0.39739990234375, 0.91748046875)}}
0:00:04.757257: {Acceleration: {Time: 4732, Status: 0, Value: (0.0,0.001953125,-0.001953125)},Gyroscope: {Time: 4740, Status: 3, Value: (-0.01171875,0.02734375,0.00390625)},Magnetic: {Time: 4676, Status: 1, Value: (-30.6875,30.1875,-16.5)},Gravity: {Time: 4737, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 4734, Status: 0, Value: (-0.01531982421875,-0.00250244140625,-0.39739990234375, 0.91754150390625)}}
0:00:04.876952: {Acceleration: {Time: 4860, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 4822, Status: 3, Value: (0.02734375,-0.01953125,-0.03515625)},Magnetic: {Time: 4825, Status: 1, Value: (-31.75,28.5625,-17.1875)},Gravity: {Time: 4818, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 4856, Status: 0, Value: (-0.01531982421875,-0.00250244140625,-0.3974609375, 0.91748046875)}}
0:00:04.980385: {Acceleration: {Time: 4961, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4920, Status: 3, Value: (-0.01171875,-0.01953125,-0.03515625)},Magnetic: {Time: 4923, Status: 1, Value: (-29.75,28.75,-17.0625)},Gravity: {Time: 4963, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 4955, Status: 0, Value: (-0.01531982421875,-0.00250244140625,-0.3974609375, 0.91748046875)}}
0:00:05.075834: {Acceleration: {Time: 5056, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 5021, Status: 3, Value: (-0.01171875,0.01953125,0.00390625)},Magnetic: {Time: 4997, Status: 1, Value: (-31.5625,30.25,-16.375)},Gravity: {Time: 5017, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 5059, Status: 0, Value: (-0.01531982421875,-0.00250244140625,-0.39752197265625, 0.91748046875)}}
0:00:05.186487: {Acceleration: {Time: 5167, Status: 0, Value: (0.00390625,0.0,0.001953125)},Gyroscope: {Time: 5157, Status: 3, Value: (-0.01171875,-0.01953125,-0.03515625)},Magnetic: {Time: 5161, Status: 1, Value: (-31.0625,29.8125,-16.875)},Gravity: {Time: 5143, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 5170, Status: 0, Value: (-0.01531982421875,-0.00250244140625,-0.3974609375, 0.91748046875)}}
0:00:05.269059: {Acceleration: {Time: 5250, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5230, Status: 3, Value: (-0.01171875,0.01953125,-0.02734375)},Magnetic: {Time: 5244, Status: 1, Value: (-31.6875,30.3125,-15.25)},Gravity: {Time: 5226, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 5224, Status: 0, Value: (-0.01531982421875,-0.00250244140625,-0.3974609375, 0.91748046875)}}
0:00:05.384628: {Acceleration: {Time: 5366, Status: 0, Value: (-0.001953125,0.00390625,0.0)},Gyroscope: {Time: 5355, Status: 3, Value: (-0.01171875,-0.01953125,-0.02734375)},Magnetic: {Time: 5358, Status: 1, Value: (-31.25,28.8125,-17.625)},Gravity: {Time: 5341, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 5368, Status: 0, Value: (-0.01531982421875,-0.00250244140625,-0.39752197265625, 0.91748046875)}}
0:00:05.470100: {Acceleration: {Time: 5451, Status: 0, Value: (0.0,-0.001953125,0.0)},Gyroscope: {Time: 5425, Status: 3, Value: (0.02734375,-0.01953125,0.01171875)},Magnetic: {Time: 5439, Status: 1, Value: (-31.1875,29.5625,-15.75)},Gravity: {Time: 5423, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 5453, Status: 0, Value: (-0.0152587890625,-0.00250244140625,-0.39752197265625, 0.91748046875)}}
0:00:05.571580: {Acceleration: {Time: 5555, Status: 0, Value: (0.0,0.001953125,0.001953125)},Gyroscope: {Time: 5523, Status: 3, Value: (-0.01171875,0.01953125,0.01171875)},Magnetic: {Time: 5526, Status: 1, Value: (-31.0,29.1875,-16.875)},Gravity: {Time: 5521, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 5552, Status: 0, Value: (-0.0152587890625,-0.0025634765625,-0.39752197265625, 0.91748046875)}}
