0:00:04.106179: {Acceleration: {Time: 4061, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4070, Status: 3, Value: (0.01953125,-0.0546875,0.00390625)},Magnetic: {Time: 4008, Status: 1, Value: (-28.6875,29.125,-15.875)},Gravity: {Time: 4067, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 4063, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.38665771484375, 0.92205810546875)}}
0:00:04.203589: {Acceleration: {Time: 4167, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4139, Status: 3, Value: (0.01953125,-0.01953125,-0.03515625)},Magnetic: {Time: 4153, Status: 1, Value: (-28.9375,29.5,-14.25)},Gravity: {Time: 4137, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 4164, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.38665771484375, 0.92205810546875)}}
0:00:04.317109: {Acceleration: {Time: 4272, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4281, Status: 3, Value: (-0.02734375,0.01953125,0.01171875)},Magnetic: {Time: 4245, Status: 1, Value: (-28.375,28.4375,-15.1875)},Gravity: {Time: 4278, Status: 3, Value: (0.1796875,-0.25,9.640625)}, Rotation: {Time: 4275, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38665771484375, 0.92205810546875)}}
0:00:04.408917: {Acceleration: {Time: 4371, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4363, Status: 3, Value: (-0.02734375,-0.01953125,0.00390625)},Magnetic: {Time: 4366, Status: 1, Value: (-28.75,27.625,-17.8125)},Gravity: {Time: 4360, Status: 3, Value: (0.1796875,-0.25,9.6484375)}, Rotation: {Time: 4373, Status: 0, Value: (-0.01556396484375,-0.00360107421875,-0.38665771484375, 0.92205810546875)}}
0:00:04.523408: {Acceleration: {Time: 4488, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4431, Status: 3, Value: (-0.01953125,0.01171875,0.00390625)},Magnetic: {Time: 4445, Status: 1, Value: (-28.5625,28.6875,-16.625)},Gravity: {Time: 4428, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 4484, Status: 0, Value: (-0.0150146484375,-0.00335693359375,-0.38665771484375, 0.92205810546875)}}
0:00:04.610661: {Acceleration: {Time: 4573, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4565, Status: 3, Value: (-0.01953125,0.01953125,-0.03515625)},Magnetic: {Time: 4567, Status: 1, Value: (-28.3125,28.4375,-15.5)},Gravity: {Time: 4562, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 4575, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.38665771484375, 0.92205810546875)}}
0:00:04.724174: {Acceleration: {Time: 4686, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4659, Status: 3, Value: (0.01953125,0.01953125,0.00390625)},Magnetic: {Time: 4673, Status: 1, Value: (-27.625,29.375,-15.1875)},Gravity: {Time: 4657, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 4689, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38629150390625, 0.9222412109375)}}
0:00:04.837810: {Acceleration: {Time: 4793, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4802, Status: 3, Value: (-0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 4761, Status: 1, Value: (-28.4375,29.125,-15.125)},Gravity: {Time: 4799, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 4796, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38629150390625, 0.9222412109375)}}
0:00:04.932147: {Acceleration: {Time: 4895, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4862, Status: 3, Value: (-0.01953125,0.01953125,0.00390625)},Magnetic: {Time: 4866, Status: 1, Value: (-29.4375,28.8125,-16.125)},Gravity: {Time: 4859, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 4888, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38629150390625, 0.9222412109375)}}
0:00:05.017182: {Acceleration: {Time: 4974, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4982, Status: 3, Value: (-0.01171875,-0.01953125,-0.03515625)},Magnetic: {Time: 4920, Status: 1, Value: (-26.9375,27.625,-16.125)},Gravity: {Time: 4979, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 4977, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38629150390625, 0.9222412109375)}}
