0:00:03.658531 {Acceleration: {Time: 3615, Status: 0, Value: (-0.001953125,-0.037109375,-0.00390625)},Gyroscope: {Time: 3604, Status: 3, Value: (0.34765625,-0.25,-0.2109375)},Magnetic: {Time: 3607, Status: 0, Value: (-39.8125,-68.125,-68.75)},Gravity: {Time: 3601, Status: 3, Value: (0.609375,-0.1328125,9.7109375)}, Rotation: {Time: 3610, Status: 0, Value: (-0.00640869140625,-0.02984619140625,0.0045166015625, 0.99951171875)}}
0:00:03.768169 {Acceleration: {Time: 3705, Status: 0, Value: (-0.00390625,-0.03515625,0.0)},Gyroscope: {Time: 3714, Status: 3, Value: (0.45703125,-0.25,0.05859375)},Magnetic: {Time: 3648, Status: 0, Value: (-37.5,-67.3125,-66.0)},Gravity: {Time: 3711, Status: 3, Value: (0.6171875,-0.1328125,9.7109375)}, Rotation: {Time: 3708, Status: 0, Value: (-0.00628662109375,-0.030029296875,0.00445556640625, 0.99951171875)}}
0:00:03.862481 {Acceleration: {Time: 3809, Status: 0, Value: (-0.00390625,0.013671875,0.001953125)},Gyroscope: {Time: 3769, Status: 3, Value: (0.03515625,-0.13671875,0.171875)},Magnetic: {Time: 3773, Status: 0, Value: (-38.1875,-67.4375,-66.875)},Gravity: {Time: 3811, Status: 3, Value: (0.625,-0.1328125,9.71875)}, Rotation: {Time: 3804, Status: 0, Value: (-0.00628662109375,-0.03021240234375,0.00439453125, 0.99951171875)}}
0:00:03.924856 {Acceleration: {Time: 3878, Status: 0, Value: (-0.0078125,-0.001953125,0.0)},Gyroscope: {Time: 3871, Status: 3, Value: (-0.81640625,0.33203125,-0.1796875)},Magnetic: {Time: 3875, Status: 0, Value: (-39.125,-66.75,-65.6875)},Gravity: {Time: 3868, Status: 3, Value: (0.625,-0.140625,9.71875)}, Rotation: {Time: 3880, Status: 0, Value: (-0.00640869140625,-0.03033447265625,0.00445556640625, 0.99951171875)}}
0:00:04.035056 {Acceleration: {Time: 3980, Status: 0, Value: (0.00390625,0.025390625,0.0)},Gyroscope: {Time: 3939, Status: 3, Value: (0.37109375,0.02734375,0.1640625)},Magnetic: {Time: 3943, Status: 0, Value: (-39.375,-67.625,-67.8125)},Gravity: {Time: 3925, Status: 3, Value: (0.625,-0.140625,9.71875)}, Rotation: {Time: 3983, Status: 0, Value: (-0.00653076171875,-0.0303955078125,0.00445556640625, 0.99951171875)}}
0:00:04.130197 {Acceleration: {Time: 4078, Status: 0, Value: (-0.005859375,-0.037109375,-0.001953125)},Gyroscope: {Time: 4068, Status: 3, Value: (0.25,-0.05078125,0.1640625)},Magnetic: {Time: 4072, Status: 0, Value: (-38.4375,-68.9375,-67.8125)},Gravity: {Time: 4054, Status: 3, Value: (0.6328125,-0.140625,9.71875)}, Rotation: {Time: 4081, Status: 0, Value: (-0.00653076171875,-0.03045654296875,0.00445556640625, 0.99951171875)}}
0:00:04.223945 {Acceleration: {Time: 4178, Status: 0, Value: (0.0078125,0.0390625,0.001953125)},Gyroscope: {Time: 4139, Status: 3, Value: (0.140625,-0.05078125,0.125)},Magnetic: {Time: 4142, Status: 0, Value: (-39.3125,-68.25,-66.625)},Gravity: {Time: 4125, Status: 3, Value: (0.625,-0.140625,9.71875)}, Rotation: {Time: 4181, Status: 0, Value: (-0.006591796875,-0.03045654296875,0.00439453125, 0.99951171875)}}
0:00:04.333197 {Acceleration: {Time: 4279, Status: 0, Value: (0.005859375,0.029296875,0.001953125)},Gyroscope: {Time: 4251, Status: 3, Value: (-0.01171875,-0.12890625,0.203125)},Magnetic: {Time: 4266, Status: 0, Value: (-38.3125,-69.5,-65.875)},Gravity: {Time: 4249, Status: 3, Value: (0.625,-0.140625,9.71875)}, Rotation: {Time: 4282, Status: 0, Value: (-0.0064697265625,-0.030517578125,0.00439453125, 0.99951171875)}}
0:00:04.396034 {Acceleration: {Time: 4352, Status: 0, Value: (0.0,-0.017578125,-0.001953125)},Gyroscope: {Time: 4251, Status: 3, Value: (-0.01171875,-0.12890625,0.203125)},Magnetic: {Time: 4318, Status: 0, Value: (-38.1875,-67.8125,-66.5)},Gravity: {Time: 4311, Status: 3, Value: (0.6328125,-0.140625,9.71875)}, Rotation: {Time: 4349, Status: 0, Value: (-0.0064697265625,-0.0306396484375,0.00439453125, 0.99951171875)}}
0:00:04.505840 {Acceleration: {Time: 4440, Status: 0, Value: (-0.005859375,-0.009765625,0.00390625)},Gyroscope: {Time: 4411, Status: 3, Value: (0.46875,-0.12890625,0.1953125)},Magnetic: {Time: 4413, Status: 0, Value: (-38.375,-68.5625,-67.375)},Gravity: {Time: 4447, Status: 3, Value: (0.640625,-0.140625,9.7265625)}, Rotation: {Time: 4443, Status: 0, Value: (-0.00653076171875,-0.03076171875,0.00445556640625, 0.99951171875)}}
0:00:04.584645 {Acceleration: {Time: 4541, Status: 0, Value: (-0.005859375,-0.025390625,-0.001953125)},Gyroscope: {Time: 4505, Status: 3, Value: (-0.44921875,-0.01171875,0.1953125)},Magnetic: {Time: 4508, Status: 0, Value: (-38.1875,-70.3125,-67.125)},Gravity: {Time: 4501, Status: 3, Value: (0.640625,-0.140625,9.7265625)}, Rotation: {Time: 4538, Status: 0, Value: (-0.0067138671875,-0.0308837890625,0.00445556640625, 0.99951171875)}}
0:00:04.695582 {Acceleration: {Time: 4637, Status: 0, Value: (0.0078125,0.0390625,0.005859375)},Gyroscope: {Time: 4600, Status: 3, Value: (-0.44921875,0.140625,-0.37890625)},Magnetic: {Time: 4602, Status: 0, Value: (-38.625,-68.875,-66.1875)},Gravity: {Time: 4597, Status: 3, Value: (0.640625,-0.140625,9.7265625)}, Rotation: {Time: 4633, Status: 0, Value: (-0.00665283203125,-0.0308837890625,0.00445556640625, 0.99951171875)}}
0:00:04.789744 {Acceleration: {Time: 4726, Status: 0, Value: (0.005859375,0.03515625,-0.001953125)},Gyroscope: {Time: 4695, Status: 3, Value: (0.40234375,0.0625,0.234375)},Magnetic: {Time: 4698, Status: 0, Value: (-39.375,-68.3125,-67.0625)},Gravity: {Time: 4733, Status: 3, Value: (0.6328125,-0.140625,9.7265625)}, Rotation: {Time: 4729, Status: 0, Value: (-0.00653076171875,-0.03070068359375,0.0045166015625, 0.99951171875)}}
0:00:04.883512 {Acceleration: {Time: 4828, Status: 0, Value: (0.0,0.025390625,0.001953125)},Gyroscope: {Time: 4792, Status: 3, Value: (-0.171875,-0.08984375,0.15625)},Magnetic: {Time: 4796, Status: 0, Value: (-38.6875,-68.9375,-67.0625)},Gravity: {Time: 4789, Status: 3, Value: (0.6328125,-0.140625,9.7265625)}, Rotation: {Time: 4824, Status: 0, Value: (-0.0064697265625,-0.03082275390625,0.0045166015625, 0.99951171875)}}
0:00:04.977250 {Acceleration: {Time: 4916, Status: 0, Value: (0.001953125,-0.009765625,0.001953125)},Gyroscope: {Time: 4926, Status: 3, Value: (0.42578125,-0.05078125,0.2734375)},Magnetic: {Time: 4861, Status: 0, Value: (-39.4375,-68.375,-67.875)},Gravity: {Time: 4923, Status: 3, Value: (0.6484375,-0.140625,9.7265625)}, Rotation: {Time: 4919, Status: 0, Value: (-0.006591796875,-0.031005859375,0.0045166015625, 0.99951171875)}}
0:00:05.056859 {Acceleration: {Time: 5022, Status: 0, Value: (0.001953125,0.01953125,0.001953125)},Gyroscope: {Time: 4996, Status: 3, Value: (0.30859375,-0.2421875,-0.2265625)},Magnetic: {Time: 5010, Status: 0, Value: (-40.5625,-68.875,-68.4375)},Gravity: {Time: 4992, Status: 3, Value: (0.6484375,-0.140625,9.7265625)}, Rotation: {Time: 5025, Status: 0, Value: (-0.00665283203125,-0.0311279296875,0.00457763671875, 0.99951171875)}}
0:00:05.166950 {Acceleration: {Time: 5122, Status: 0, Value: (0.0078125,0.03515625,0.001953125)},Gyroscope: {Time: 5096, Status: 3, Value: (0.43359375,0.0625,0.234375)},Magnetic: {Time: 5110, Status: 0, Value: (-39.6875,-67.625,-67.4375)},Gravity: {Time: 5092, Status: 3, Value: (0.640625,-0.140625,9.7265625)}, Rotation: {Time: 5124, Status: 0, Value: (-0.0067138671875,-0.03118896484375,0.004638671875, 0.99945068359375)}}
0:00:05.276839 {Acceleration: {Time: 5216, Status: 0, Value: (-0.005859375,-0.04296875,-0.001953125)},Gyroscope: {Time: 5225, Status: 3, Value: (-0.75390625,0.29296875,-0.07421875)},Magnetic: {Time: 5186, Status: 0, Value: (-39.9375,-69.5,-68.4375)},Gravity: {Time: 5222, Status: 3, Value: (0.640625,-0.140625,9.7265625)}, Rotation: {Time: 5219, Status: 0, Value: (-0.0067138671875,-0.0311279296875,0.00457763671875, 0.99951171875)}}
0:00:05.339330 {Acceleration: {Time: 5290, Status: 0, Value: (0.0078125,0.041015625,0.001953125)},Gyroscope: {Time: 5284, Status: 3, Value: (-0.1796875,-0.09765625,0.1953125)},Magnetic: {Time: 5287, Status: 0, Value: (-38.5,-67.4375,-66.0625)},Gravity: {Time: 5280, Status: 3, Value: (0.640625,-0.1328125,9.7265625)}, Rotation: {Time: 5293, Status: 0, Value: (-0.006591796875,-0.03118896484375,0.0045166015625, 0.99951171875)}}
0:00:05.448707 {Acceleration: {Time: 5392, Status: 0, Value: (0.001953125,-0.0234375,-0.001953125)},Gyroscope: {Time: 5352, Status: 3, Value: (0.46875,-0.14453125,0.265625)},Magnetic: {Time: 5355, Status: 0, Value: (-39.0,-68.5625,-66.6875)},Gravity: {Time: 5338, Status: 3, Value: (0.640625,-0.125,9.734375)}, Rotation: {Time: 5396, Status: 0, Value: (-0.0064697265625,-0.03131103515625,0.0045166015625, 0.99945068359375)}}
