0:00:04.031594: {Acceleration: {Time: 3995, Status: 0, Value: (-0.001953125,0.0,0.001953125)},Gyroscope: {Time: 3962, Status: 3, Value: (-0.01953125,-0.02734375,0.01953125)},Magnetic: {Time: 3965, Status: 1, Value: (-29.125,28.8125,-15.5625)},Gravity: {Time: 3959, Status: 3, Value: (0.171875,-0.2421875,9.6328125)}, Rotation: {Time: 3991, Status: 0, Value: (-0.0150146484375,-0.00341796875,-0.38226318359375, 0.9239501953125)}}
0:00:04.128733: {Acceleration: {Time: 4092, Status: 0, Value: (0.001953125,-0.001953125,0.001953125)},Gyroscope: {Time: 4083, Status: 3, Value: (-0.01953125,-0.02734375,0.01953125)},Magnetic: {Time: 4086, Status: 1, Value: (-29.4375,28.8125,-16.3125)},Gravity: {Time: 4080, Status: 3, Value: (0.171875,-0.2421875,9.6328125)}, Rotation: {Time: 4089, Status: 0, Value: (-0.0150146484375,-0.00341796875,-0.38232421875, 0.92388916015625)}}
0:00:04.233450: {Acceleration: {Time: 4194, Status: 0, Value: (-0.00390625,0.0,-0.001953125)},Gyroscope: {Time: 4165, Status: 3, Value: (-0.01953125,0.02734375,0.01171875)},Magnetic: {Time: 4169, Status: 1, Value: (-30.4375,28.625,-14.6875)},Gravity: {Time: 4151, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 4188, Status: 0, Value: (-0.0157470703125,-0.00311279296875,-0.38232421875, 0.92388916015625)}}
0:00:04.345328: {Acceleration: {Time: 4307, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 4280, Status: 3, Value: (0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 4295, Status: 1, Value: (-29.0,29.25,-13.6875)},Gravity: {Time: 4278, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4309, Status: 0, Value: (-0.015380859375,-0.0032958984375,-0.38226318359375, 0.92388916015625)}}
0:00:04.432905: {Acceleration: {Time: 4396, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 4385, Status: 3, Value: (-0.01953125,0.01171875,0.00390625)},Magnetic: {Time: 4389, Status: 1, Value: (-30.4375,29.25,-15.4375)},Gravity: {Time: 4382, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 4391, Status: 0, Value: (-0.015380859375,-0.0032958984375,-0.38232421875, 0.92388916015625)}}
0:00:04.560665: {Acceleration: {Time: 4521, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4495, Status: 3, Value: (-0.01953125,-0.02734375,-0.03515625)},Magnetic: {Time: 4509, Status: 1, Value: (-29.25,29.5,-15.125)},Gravity: {Time: 4491, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 4524, Status: 0, Value: (-0.01531982421875,-0.0032958984375,-0.38226318359375, 0.92388916015625)}}
0:00:04.648156: {Acceleration: {Time: 4609, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 4580, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 4582, Status: 1, Value: (-28.6875,27.8125,-15.3125)},Gravity: {Time: 4578, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4612, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.38232421875, 0.92388916015625)}}
0:00:04.761214: {Acceleration: {Time: 4722, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 4695, Status: 3, Value: (-0.01953125,-0.01953125,-0.02734375)},Magnetic: {Time: 4710, Status: 1, Value: (-28.1875,28.0625,-16.125)},Gravity: {Time: 4693, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4725, Status: 0, Value: (-0.0152587890625,-0.00323486328125,-0.38232421875, 0.92388916015625)}}
0:00:04.846588: {Acceleration: {Time: 4802, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 4811, Status: 3, Value: (-0.01953125,0.01171875,0.00390625)},Magnetic: {Time: 4748, Status: 1, Value: (-29.75,28.9375,-14.0)},Gravity: {Time: 4808, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 4805, Status: 0, Value: (-0.0152587890625,-0.00323486328125,-0.38232421875, 0.92388916015625)}}
0:00:04.943027: {Acceleration: {Time: 4907, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4867, Status: 3, Value: (-0.01953125,0.01171875,-0.03515625)},Magnetic: {Time: 4869, Status: 1, Value: (-29.75,29.25,-14.375)},Gravity: {Time: 4863, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 4902, Status: 0, Value: (-0.01519775390625,-0.00323486328125,-0.38226318359375, 0.92388916015625)}}
0:00:05.040760: {Acceleration: {Time: 4996, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5005, Status: 3, Value: (-0.01953125,0.01953125,0.01171875)},Magnetic: {Time: 4939, Status: 1, Value: (-29.875,27.5625,-15.5625)},Gravity: {Time: 5002, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4998, Status: 0, Value: (-0.0152587890625,-0.00323486328125,-0.38226318359375, 0.92388916015625)}}
0:00:05.162222: {Acceleration: {Time: 5126, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5087, Status: 3, Value: (0.02734375,0.01953125,0.01171875)},Magnetic: {Time: 5090, Status: 1, Value: (-29.6875,28.5625,-14.375)},Gravity: {Time: 5084, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 5122, Status: 0, Value: (-0.0152587890625,-0.00323486328125,-0.38226318359375, 0.92388916015625)}}
0:00:05.260864: {Acceleration: {Time: 5216, Status: 0, Value: (-0.00390625,0.001953125,-0.001953125)},Gyroscope: {Time: 5225, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 5185, Status: 1, Value: (-28.1875,28.0625,-16.125)},Gravity: {Time: 5222, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 5219, Status: 0, Value: (-0.0152587890625,-0.00323486328125,-0.38226318359375, 0.92388916015625)}}
0:00:05.361740: {Acceleration: {Time: 5323, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 5297, Status: 3, Value: (0.02734375,-0.01953125,-0.02734375)},Magnetic: {Time: 5311, Status: 1, Value: (-28.75,28.5,-14.875)},Gravity: {Time: 5293, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 5326, Status: 0, Value: (-0.0152587890625,-0.003173828125,-0.38226318359375, 0.92388916015625)}}
0:00:05.472079: {Acceleration: {Time: 5437, Status: 0, Value: (0.0,0.001953125,0.0)},Gyroscope: {Time: 5385, Status: 3, Value: (-0.01171875,-0.01953125,-0.02734375)},Magnetic: {Time: 5399, Status: 1, Value: (-28.75,28.8125,-15.25)},Gravity: {Time: 5382, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 5432, Status: 0, Value: (-0.01519775390625,-0.003173828125,-0.38232421875, 0.92388916015625)}}
