0:00:03.387289 {Acceleration: {Time: 3364, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 3338, Status: 3, Value: (-0.01953125,-0.01171875,-0.03515625)},Magnetic: {Time: 3352, Status: 1, Value: (-28.375,28.4375,-15.125)},Gravity: {Time: 3334, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 3367, Status: 0, Value: (-0.0157470703125,-0.0030517578125,-0.3873291015625, 0.92181396484375)}}
0:00:03.502867 {Acceleration: {Time: 3480, Status: 0, Value: (0.001953125,0.00390625,0.0)},Gyroscope: {Time: 3469, Status: 3, Value: (-0.01953125,-0.01171875,0.04296875)},Magnetic: {Time: 3473, Status: 1, Value: (-28.5,28.5,-14.375)},Gravity: {Time: 3454, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 3483, Status: 0, Value: (-0.0157470703125,-0.0030517578125,-0.3873291015625, 0.92181396484375)}}
0:00:03.594209 {Acceleration: {Time: 3572, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3529, Status: 3, Value: (0.01953125,-0.01171875,0.00390625)},Magnetic: {Time: 3533, Status: 1, Value: (-28.4375,28.8125,-15.0625)},Gravity: {Time: 3515, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 3574, Status: 0, Value: (-0.0157470703125,-0.0030517578125,-0.3873291015625, 0.92181396484375)}}
0:00:03.707708 {Acceleration: {Time: 3679, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3688, Status: 3, Value: (0.01953125,-0.01171875,-0.03515625)},Magnetic: {Time: 3647, Status: 1, Value: (-28.0625,29.125,-14.75)},Gravity: {Time: 3684, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 3681, Status: 0, Value: (-0.0157470703125,-0.0030517578125,-0.3873291015625, 0.92181396484375)}}
0:00:03.798017 {Acceleration: {Time: 3770, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3775, Status: 3, Value: (-0.01953125,-0.01171875,0.00390625)},Magnetic: {Time: 3778, Status: 1, Value: (-29.125,28.8125,-15.75)},Gravity: {Time: 3772, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 3764, Status: 0, Value: (-0.0157470703125,-0.0030517578125,-0.3873291015625, 0.92181396484375)}}
0:00:03.899447 {Acceleration: {Time: 3870, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3879, Status: 3, Value: (-0.01953125,-0.01171875,-0.03515625)},Magnetic: {Time: 3841, Status: 1, Value: (-27.9375,28.75,-15.5625)},Gravity: {Time: 3876, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 3873, Status: 0, Value: (-0.0157470703125,-0.0030517578125,-0.3873291015625, 0.92181396484375)}}
0:00:04.017179 {Acceleration: {Time: 3994, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3986, Status: 3, Value: (0.02734375,0.02734375,-0.03515625)},Magnetic: {Time: 3990, Status: 1, Value: (-29.0625,28.4375,-15.8125)},Gravity: {Time: 3983, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 3997, Status: 0, Value: (-0.015625,-0.00274658203125,-0.3839111328125, 0.9232177734375)}}
0:00:04.100384 {Acceleration: {Time: 4073, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4081, Status: 3, Value: (0.01953125,0.02734375,-0.03515625)},Magnetic: {Time: 4020, Status: 1, Value: (-28.625,29.1875,-13.9375)},Gravity: {Time: 4078, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 4075, Status: 0, Value: (-0.015625,-0.00274658203125,-0.3839111328125, 0.9232177734375)}}
0:00:04.213888 {Acceleration: {Time: 4185, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4194, Status: 3, Value: (0.01953125,-0.01171875,-0.03515625)},Magnetic: {Time: 4132, Status: 1, Value: (-29.5625,29.1875,-15.6875)},Gravity: {Time: 4192, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 4189, Status: 0, Value: (-0.0157470703125,-0.00311279296875,-0.3839111328125, 0.9232177734375)}}
0:00:04.310146 {Acceleration: {Time: 4290, Status: 0, Value: (0.0,-0.001953125,0.001953125)},Gyroscope: {Time: 4261, Status: 3, Value: (0.01953125,-0.01171875,0.00390625)},Magnetic: {Time: 4275, Status: 1, Value: (-29.875,28.8125,-16.125)},Gravity: {Time: 4259, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 4285, Status: 0, Value: (-0.0157470703125,-0.00311279296875,-0.3839111328125, 0.9232177734375)}}
