0:00:03.165134 {Acceleration: {Time: 3127, Status: 0, Value: (0.181640625,0.08984375,-0.068359375)},Gyroscope: {Time: 3101, Status: 3, Value: (-0.1953125,0.05078125,-0.6875)},Magnetic: {Time: 3115, Status: 2, Value: (28.0,-3.9375,-12.0625)},Gravity: {Time: 3097, Status: 3, Value: (-9.3828125,1.7890625,-0.8046875)}, Rotation: {Time: 3130, Status: 1, Value: (0.52081298828125,0.519287109375,-0.3861083984375, 0.55682373046875)}}
0:00:03.259392 {Acceleration: {Time: 3221, Status: 0, Value: (-0.048828125,0.146484375,-0.072265625)},Gyroscope: {Time: 3230, Status: 3, Value: (-0.39453125,0.25,0.19140625)},Magnetic: {Time: 3166, Status: 2, Value: (28.6875,-4.625,-10.625)},Gravity: {Time: 3226, Status: 3, Value: (-9.375,1.7421875,-0.8828125)}, Rotation: {Time: 3223, Status: 1, Value: (0.52191162109375,0.520751953125,-0.38568115234375, 0.5546875)}}
0:00:03.353145 {Acceleration: {Time: 3317, Status: 0, Value: (-0.08984375,0.125,-0.060546875)},Gyroscope: {Time: 3311, Status: 3, Value: (-0.31640625,-0.1875,-0.2578125)},Magnetic: {Time: 3313, Status: 2, Value: (28.4375,-2.0625,-9.9375)},Gravity: {Time: 3308, Status: 3, Value: (-9.375,1.71875,-0.9296875)}, Rotation: {Time: 3320, Status: 1, Value: (0.52020263671875,0.52520751953125,-0.38323974609375, 0.5538330078125)}}
0:00:03.446896 {Acceleration: {Time: 3416, Status: 0, Value: (0.0703125,-0.154296875,0.03125)},Gyroscope: {Time: 3376, Status: 3, Value: (0.71875,-0.1875,-0.28125)},Magnetic: {Time: 3379, Status: 2, Value: (29.5625,-2.4375,-11.4375)},Gravity: {Time: 3362, Status: 3, Value: (-9.375,1.6796875,-0.984375)}, Rotation: {Time: 3419, Status: 1, Value: (0.521728515625,0.5235595703125,-0.38568115234375, 0.55224609375)}}
0:00:03.556453 {Acceleration: {Time: 3517, Status: 0, Value: (0.7265625,0.03515625,-0.154296875)},Gyroscope: {Time: 3475, Status: 3, Value: (-0.35546875,0.671875,0.61328125)},Magnetic: {Time: 3479, Status: 2, Value: (28.75,-2.6875,-11.75)},Gravity: {Time: 3520, Status: 3, Value: (-9.3828125,1.625,-0.9453125)}, Rotation: {Time: 3512, Status: 1, Value: (0.5262451171875,0.51904296875,-0.3939208984375, 0.54632568359375)}}
0:00:03.650021 {Acceleration: {Time: 3616, Status: 0, Value: (-0.13671875,0.060546875,-0.1953125)},Gyroscope: {Time: 3575, Status: 3, Value: (-0.1484375,-0.51171875,-0.6015625)},Magnetic: {Time: 3578, Status: 2, Value: (29.3125,-4.375,-11.8125)},Gravity: {Time: 3561, Status: 3, Value: (-9.390625,1.546875,-1.0078125)}, Rotation: {Time: 3618, Status: 1, Value: (0.51910400390625,0.53192138671875,-0.39404296875, 0.54071044921875)}}
0:00:03.743757 {Acceleration: {Time: 3712, Status: 0, Value: (-0.033203125,-0.021484375,0.138671875)},Gyroscope: {Time: 3575, Status: 3, Value: (-0.1484375,-0.51171875,-0.6015625)},Magnetic: {Time: 3653, Status: 2, Value: (29.0,-1.4375,-11.0625)},Gravity: {Time: 3714, Status: 3, Value: (-9.4140625,1.4609375,-0.9453125)}, Rotation: {Time: 3709, Status: 1, Value: (0.5155029296875,0.52972412109375,-0.39361572265625, 0.54656982421875)}}
0:00:03.837523 {Acceleration: {Time: 3808, Status: 0, Value: (-0.162109375,-0.267578125,0.15625)},Gyroscope: {Time: 3771, Status: 3, Value: (-0.0546875,0.0859375,0.28515625)},Magnetic: {Time: 3747, Status: 2, Value: (27.625,-1.375,-10.5)},Gravity: {Time: 3811, Status: 3, Value: (-9.4140625,1.5234375,-0.8671875)}, Rotation: {Time: 3803, Status: 1, Value: (0.51495361328125,0.52679443359375,-0.39202880859375, 0.551025390625)}}
0:00:03.915766 {Acceleration: {Time: 3881, Status: 0, Value: (0.09375,0.185546875,-0.322265625)},Gyroscope: {Time: 3866, Status: 3, Value: (-0.28515625,0.375,-0.3671875)},Magnetic: {Time: 3869, Status: 2, Value: (30.1875,-2.75,-12.6875)},Gravity: {Time: 3852, Status: 3, Value: (-9.40625,1.578125,-0.78125)}, Rotation: {Time: 3877, Status: 1, Value: (0.51165771484375,0.52520751953125,-0.3902587890625, 0.556884765625)}}
0:00:04.009397 {Acceleration: {Time: 3977, Status: 0, Value: (1.130859375,0.19140625,-0.0390625)},Gyroscope: {Time: 3936, Status: 3, Value: (0.07421875,0.9140625,1.5859375)},Magnetic: {Time: 3940, Status: 2, Value: (29.5625,-2.4375,-11.4375)},Gravity: {Time: 3922, Status: 3, Value: (-9.421875,1.421875,-0.859375)}, Rotation: {Time: 3979, Status: 1, Value: (0.5184326171875,0.52874755859375,-0.4130859375, 0.53009033203125)}}
