0:00:04.453404: {Acceleration: {Time: 4439, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4412, Status: 3, Value: (0.02734375,0.01953125,0.05078125)},Magnetic: {Time: 4426, Status: 1, Value: (-30.1875,29.375,-17.4375)},Gravity: {Time: 4410, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 4441, Status: 0, Value: (-0.01556396484375,-0.0025634765625,-0.39959716796875, 0.91656494140625)}}
0:00:04.539718: {Acceleration: {Time: 4528, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4512, Status: 3, Value: (-0.01171875,0.01953125,0.01171875)},Magnetic: {Time: 4516, Status: 1, Value: (-30.375,29.0625,-18.1875)},Gravity: {Time: 4498, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 4523, Status: 0, Value: (-0.01556396484375,-0.0025634765625,-0.39959716796875, 0.91656494140625)}}
0:00:04.632701: {Acceleration: {Time: 4621, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4582, Status: 3, Value: (-0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 4586, Status: 1, Value: (-31.6875,30.625,-15.6875)},Gravity: {Time: 4569, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 4617, Status: 0, Value: (-0.01556396484375,-0.0025634765625,-0.39959716796875, 0.91656494140625)}}
0:00:04.729228: {Acceleration: {Time: 4714, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4678, Status: 3, Value: (0.02734375,0.01171875,-0.02734375)},Magnetic: {Time: 4654, Status: 1, Value: (-29.8125,30.0625,-17.375)},Gravity: {Time: 4675, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 4717, Status: 0, Value: (-0.0155029296875,-0.0025634765625,-0.39959716796875, 0.91656494140625)}}
0:00:04.841760: {Acceleration: {Time: 4828, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4821, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 4823, Status: 1, Value: (-30.625,29.1875,-16.625)},Gravity: {Time: 4818, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 4830, Status: 0, Value: (-0.0155029296875,-0.0025634765625,-0.39959716796875, 0.91656494140625)}}
0:00:04.959324: {Acceleration: {Time: 4944, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4917, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 4931, Status: 1, Value: (-31.1875,29.875,-15.75)},Gravity: {Time: 4914, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 4948, Status: 0, Value: (-0.0155029296875,-0.0025634765625,-0.39959716796875, 0.91656494140625)}}
0:00:05.040860: {Acceleration: {Time: 5027, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5003, Status: 3, Value: (0.02734375,0.01953125,-0.02734375)},Magnetic: {Time: 5007, Status: 1, Value: (-32.0,29.0,-15.375)},Gravity: {Time: 5001, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 5021, Status: 0, Value: (-0.0155029296875,-0.0025634765625,-0.39959716796875, 0.91656494140625)}}
0:00:05.130204: {Acceleration: {Time: 5109, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5119, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 5081, Status: 1, Value: (-31.1875,29.5625,-15.4375)},Gravity: {Time: 5115, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 5111, Status: 0, Value: (-0.0155029296875,-0.0025634765625,-0.39959716796875, 0.91656494140625)}}
0:00:05.256598: {Acceleration: {Time: 5245, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5208, Status: 3, Value: (0.01953125,-0.01953125,-0.03515625)},Magnetic: {Time: 5211, Status: 1, Value: (-30.3125,30.125,-17.0)},Gravity: {Time: 5205, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 5242, Status: 0, Value: (-0.0155029296875,-0.0025634765625,-0.39959716796875, 0.91656494140625)}}
0:00:05.340841: {Acceleration: {Time: 5330, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5298, Status: 3, Value: (-0.01953125,-0.01171875,0.00390625)},Magnetic: {Time: 5300, Status: 1, Value: (-30.4375,28.4375,-17.4375)},Gravity: {Time: 5294, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 5325, Status: 0, Value: (-0.0155029296875,-0.0025634765625,-0.39959716796875, 0.91656494140625)}}
