0:00:03.936416: {Acceleration: {Time: 3900, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3874, Status: 3, Value: (-0.01171875,0.01953125,-0.00390625)},Magnetic: {Time: 3888, Status: 1, Value: (-29.875,27.875,-15.5625)},Gravity: {Time: 3871, Status: 3, Value: (0.1640625,-0.25,9.65625)}, Rotation: {Time: 3904, Status: 0, Value: (-0.01519775390625,-0.0028076171875,-0.38812255859375, 0.9215087890625)}}
0:00:04.043712: {Acceleration: {Time: 4011, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3974, Status: 3, Value: (-0.01171875,-0.01953125,0.03515625)},Magnetic: {Time: 3977, Status: 1, Value: (-28.8125,27.5625,-14.25)},Gravity: {Time: 3970, Status: 3, Value: (0.1640625,-0.25,9.65625)}, Rotation: {Time: 4008, Status: 0, Value: (-0.01519775390625,-0.0028076171875,-0.38812255859375, 0.9215087890625)}}
0:00:04.150191: {Acceleration: {Time: 4115, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4062, Status: 3, Value: (0.01953125,0.01953125,-0.00390625)},Magnetic: {Time: 4065, Status: 1, Value: (-30.0,29.5625,-15.4375)},Gravity: {Time: 4059, Status: 3, Value: (0.171875,-0.25,9.65625)}, Rotation: {Time: 4109, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.38812255859375, 0.9215087890625)}}
0:00:04.236695: {Acceleration: {Time: 4196, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4204, Status: 3, Value: (0.01953125,0.01171875,-0.00390625)},Magnetic: {Time: 4141, Status: 1, Value: (-29.5,27.8125,-15.25)},Gravity: {Time: 4201, Status: 3, Value: (0.171875,-0.2421875,9.65625)}, Rotation: {Time: 4199, Status: 0, Value: (-0.0150146484375,-0.00335693359375,-0.38812255859375, 0.9215087890625)}}
0:00:04.340403: {Acceleration: {Time: 4306, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4265, Status: 3, Value: (0.01953125,-0.02734375,-0.00390625)},Magnetic: {Time: 4268, Status: 1, Value: (-29.3125,27.5,-16.4375)},Gravity: {Time: 4308, Status: 3, Value: (0.171875,-0.25,9.65625)}, Rotation: {Time: 4299, Status: 0, Value: (-0.0150146484375,-0.00335693359375,-0.38812255859375, 0.9215087890625)}}
0:00:04.436114: {Acceleration: {Time: 4401, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4365, Status: 3, Value: (-0.01953125,-0.01953125,-0.00390625)},Magnetic: {Time: 4341, Status: 1, Value: (-28.75,29.125,-15.625)},Gravity: {Time: 4362, Status: 3, Value: (0.171875,-0.25,9.65625)}, Rotation: {Time: 4404, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.38812255859375, 0.9215087890625)}}
0:00:04.548037: {Acceleration: {Time: 4514, Status: 0, Value: (-0.00390625,0.0,-0.001953125)},Gyroscope: {Time: 4489, Status: 3, Value: (0.01953125,0.01953125,0.00390625)},Magnetic: {Time: 4503, Status: 1, Value: (-30.375,28.25,-15.0625)},Gravity: {Time: 4486, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 4516, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.38812255859375, 0.92144775390625)}}
0:00:04.662031: {Acceleration: {Time: 4628, Status: 0, Value: (0.001953125,-0.001953125,0.00390625)},Gyroscope: {Time: 4588, Status: 3, Value: (-0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 4592, Status: 1, Value: (-28.6875,29.4375,-15.9375)},Gravity: {Time: 4630, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 4623, Status: 0, Value: (-0.01544189453125,-0.00311279296875,-0.38818359375, 0.92144775390625)}}
0:00:04.754755: {Acceleration: {Time: 4723, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 4690, Status: 3, Value: (0.02734375,0.01953125,0.00390625)},Magnetic: {Time: 4692, Status: 1, Value: (-29.625,29.1875,-15.125)},Gravity: {Time: 4687, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 4719, Status: 0, Value: (-0.01544189453125,-0.00311279296875,-0.38812255859375, 0.92144775390625)}}
0:00:04.837713: {Acceleration: {Time: 4806, Status: 0, Value: (0.00390625,0.001953125,0.001953125)},Gyroscope: {Time: 4755, Status: 3, Value: (-0.01171875,-0.01953125,-0.03515625)},Magnetic: {Time: 4769, Status: 1, Value: (-29.875,28.1875,-15.5625)},Gravity: {Time: 4751, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 4802, Status: 0, Value: (-0.01544189453125,-0.00311279296875,-0.38818359375, 0.92144775390625)}}
