0:00:03.247868 {Acceleration: {Time: 3181, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3175, Status: 3, Value: (0.03125,-0.0390625,0.01171875)},Magnetic: {Time: 3178, Status: 1, Value: (-34.8125,23.9375,-11.75)},Gravity: {Time: 3172, Status: 3, Value: (0.1484375,0.078125,9.7109375)}, Rotation: {Time: 3184, Status: 0, Value: (0.00030517578125,-0.0086669921875,-0.45880126953125, 0.88848876953125)}}
0:00:03.341970 {Acceleration: {Time: 3275, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3284, Status: 3, Value: (0.03125,0.0,0.01171875)},Magnetic: {Time: 3243, Status: 1, Value: (-35.125,24.5,-12.5625)},Gravity: {Time: 3281, Status: 3, Value: (0.1484375,0.078125,9.7109375)}, Rotation: {Time: 3277, Status: 0, Value: (0.00030517578125,-0.0086669921875,-0.45880126953125, 0.88848876953125)}}
0:00:03.436430 {Acceleration: {Time: 3371, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3365, Status: 3, Value: (0.03125,0.0,0.01171875)},Magnetic: {Time: 3368, Status: 1, Value: (-33.6875,22.9375,-13.0625)},Gravity: {Time: 3362, Status: 3, Value: (0.1484375,0.078125,9.7109375)}, Rotation: {Time: 3374, Status: 0, Value: (0.00030517578125,-0.0086669921875,-0.45880126953125, 0.88848876953125)}}
0:00:03.530708 {Acceleration: {Time: 3465, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3474, Status: 3, Value: (0.03125,-0.0390625,-0.02734375)},Magnetic: {Time: 3434, Status: 1, Value: (-34.6875,23.9375,-13.0)},Gravity: {Time: 3471, Status: 3, Value: (0.1484375,0.078125,9.7109375)}, Rotation: {Time: 3468, Status: 0, Value: (0.00030517578125,-0.0086669921875,-0.45880126953125, 0.88848876953125)}}
0:00:03.624774 {Acceleration: {Time: 3563, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3556, Status: 3, Value: (-0.0078125,0.0390625,-0.02734375)},Magnetic: {Time: 3559, Status: 1, Value: (-34.25,22.625,-12.625)},Gravity: {Time: 3553, Status: 3, Value: (0.1484375,0.078125,9.7109375)}, Rotation: {Time: 3565, Status: 0, Value: (0.00030517578125,-0.0086669921875,-0.45880126953125, 0.88848876953125)}}
0:00:03.719420 {Acceleration: {Time: 3662, Status: 0, Value: (0.001953125,-0.001953125,-0.001953125)},Gyroscope: {Time: 3625, Status: 3, Value: (-0.046875,0.0,0.01171875)},Magnetic: {Time: 3628, Status: 1, Value: (-34.25,24.6875,-13.875)},Gravity: {Time: 3621, Status: 3, Value: (0.1484375,0.078125,9.7109375)}, Rotation: {Time: 3659, Status: 0, Value: (0.000244140625,-0.0086669921875,-0.4588623046875, 0.88848876953125)}}
0:00:03.797535 {Acceleration: {Time: 3725, Status: 0, Value: (-0.001953125,0.0,0.00390625)},Gyroscope: {Time: 3730, Status: 3, Value: (-0.0078125,-0.0078125,-0.02734375)},Magnetic: {Time: 3732, Status: 1, Value: (-35.125,24.5,-12.5625)},Gravity: {Time: 3728, Status: 3, Value: (0.1484375,0.0859375,9.7109375)}, Rotation: {Time: 3720, Status: 0, Value: (0.000244140625,-0.0086669921875,-0.4588623046875, 0.88848876953125)}}
0:00:03.892136 {Acceleration: {Time: 3822, Status: 0, Value: (-0.00390625,-0.001953125,0.001953125)},Gyroscope: {Time: 3830, Status: 3, Value: (-0.0078125,0.0,0.01171875)},Magnetic: {Time: 3769, Status: 1, Value: (-35.25,24.125,-13.75)},Gravity: {Time: 3828, Status: 3, Value: (0.1484375,0.078125,9.7109375)}, Rotation: {Time: 3826, Status: 0, Value: (0.000244140625,-0.0086669921875,-0.45880126953125, 0.88848876953125)}}
0:00:03.986262 {Acceleration: {Time: 3923, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 3916, Status: 3, Value: (0.03125,0.0,0.01171875)},Magnetic: {Time: 3919, Status: 1, Value: (-34.875,23.25,-12.5625)},Gravity: {Time: 3913, Status: 3, Value: (0.1484375,0.078125,9.7109375)}, Rotation: {Time: 3925, Status: 0, Value: (0.00018310546875,-0.0086669921875,-0.4588623046875, 0.88848876953125)}}
0:00:04.080559 {Acceleration: {Time: 4004, Status: 0, Value: (0.0,-0.001953125,0.0)},Gyroscope: {Time: 4010, Status: 3, Value: (0.0234375,-0.046875,-0.02734375)},Magnetic: {Time: 4012, Status: 1, Value: (-35.0625,25.6875,-12.625)},Gravity: {Time: 4008, Status: 3, Value: (0.15625,0.0859375,9.7109375)}, Rotation: {Time: 4015, Status: 0, Value: (0.000244140625,-0.00872802734375,-0.4588623046875, 0.88848876953125)}}
