0:00:04.347888: {Acceleration: {Time: 4311, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4296, Status: 3, Value: (-0.05078125,-0.01953125,0.01171875)},Magnetic: {Time: 4300, Status: 1, Value: (-29.5,28.5,-15.5625)},Gravity: {Time: 4282, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 4306, Status: 0, Value: (-0.01495361328125,-0.00286865234375,-0.397216796875, 0.9176025390625)}}
0:00:04.466408: {Acceleration: {Time: 4429, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4392, Status: 3, Value: (-0.01171875,0.01953125,0.01171875)},Magnetic: {Time: 4394, Status: 1, Value: (-28.9375,28.375,-16.75)},Gravity: {Time: 4388, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 4425, Status: 0, Value: (-0.01495361328125,-0.00286865234375,-0.397216796875, 0.9176025390625)}}
0:00:04.567314: {Acceleration: {Time: 4521, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4530, Status: 3, Value: (-0.01171875,0.01953125,0.01171875)},Magnetic: {Time: 4490, Status: 1, Value: (-29.4375,28.5,-15.9375)},Gravity: {Time: 4527, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 4524, Status: 0, Value: (-0.01495361328125,-0.00286865234375,-0.397216796875, 0.9176025390625)}}
0:00:04.667770: {Acceleration: {Time: 4627, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4601, Status: 3, Value: (-0.01953125,0.01953125,0.01171875)},Magnetic: {Time: 4615, Status: 1, Value: (-29.25,28.375,-17.5)},Gravity: {Time: 4598, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4631, Status: 0, Value: (-0.01495361328125,-0.00286865234375,-0.397216796875, 0.9176025390625)}}
0:00:04.771371: {Acceleration: {Time: 4735, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4601, Status: 3, Value: (-0.01953125,0.01953125,0.01171875)},Magnetic: {Time: 4690, Status: 1, Value: (-29.5,28.1875,-15.5625)},Gravity: {Time: 4662, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 4731, Status: 0, Value: (-0.01495361328125,-0.00286865234375,-0.397216796875, 0.9176025390625)}}
0:00:04.868906: {Acceleration: {Time: 4832, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4817, Status: 3, Value: (-0.01171875,-0.03515625,0.00390625)},Magnetic: {Time: 4820, Status: 1, Value: (-29.0,27.5,-15.6875)},Gravity: {Time: 4803, Status: 3, Value: (0.1640625,-0.234375,9.6484375)}, Rotation: {Time: 4827, Status: 0, Value: (-0.01446533203125,-0.00311279296875,-0.38726806640625, 0.92181396484375)}}
0:00:04.967638: {Acceleration: {Time: 4928, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4891, Status: 3, Value: (0.02734375,-0.03515625,0.00390625)},Magnetic: {Time: 4864, Status: 1, Value: (-29.0625,29.4375,-16.3125)},Gravity: {Time: 4887, Status: 3, Value: (0.1640625,-0.234375,9.6484375)}, Rotation: {Time: 4931, Status: 0, Value: (-0.01446533203125,-0.00311279296875,-0.38739013671875, 0.92181396484375)}}
0:00:05.077506: {Acceleration: {Time: 5039, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5032, Status: 3, Value: (-0.01171875,0.00390625,0.00390625)},Magnetic: {Time: 5035, Status: 1, Value: (-29.0,27.8125,-15.6875)},Gravity: {Time: 5029, Status: 3, Value: (0.1640625,-0.234375,9.6484375)}, Rotation: {Time: 5041, Status: 0, Value: (-0.01446533203125,-0.00311279296875,-0.38739013671875, 0.92181396484375)}}
0:00:05.163055: {Acceleration: {Time: 5124, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5098, Status: 3, Value: (0.02734375,0.01171875,0.05078125)},Magnetic: {Time: 5112, Status: 1, Value: (-29.0625,28.4375,-15.625)},Gravity: {Time: 5096, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 5127, Status: 0, Value: (-0.014892578125,-0.00299072265625,-0.38739013671875, 0.92181396484375)}}
0:00:05.277904: {Acceleration: {Time: 5238, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5232, Status: 3, Value: (-0.01171875,0.01171875,-0.0703125)},Magnetic: {Time: 5235, Status: 1, Value: (-29.5625,28.8125,-15.5625)},Gravity: {Time: 5228, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 5242, Status: 0, Value: (-0.01483154296875,-0.00299072265625,-0.38739013671875, 0.92181396484375)}}
