0:00:09.417042: Frequency: 0.20000000298023224, Amplitude: 68.8809814453125, Offset: 90.34796142578125, Phase Shift: 1.5414283107572988e-44, Phase: 127945.1015625
0:00:09.534061: Frequency: 0.25, Amplitude: 68.89437866210938, Offset: 90.32799530029297, Phase Shift: 1.5414283107572988e-44, Phase: 127945.8359375
0:00:09.615915: Frequency: 0.25, Amplitude: 68.90275573730469, Offset: 90.3148422241211, Phase Shift: 1.5414283107572988e-44, Phase: 127946.34375
0:00:09.735319: Frequency: 0.25, Amplitude: 68.91397094726562, Offset: 90.29633331298828, Phase Shift: 1.5414283107572988e-44, Phase: 127947.09375
0:00:09.817578: Frequency: 0.44999998807907104, Amplitude: 68.9208755493164, Offset: 90.28430938720703, Phase Shift: 1.5414283107572988e-44, Phase: 127947.609375
0:00:09.904367: Frequency: 0.699999988079071, Amplitude: 68.9276123046875, Offset: 90.2720718383789, Phase Shift: 1.401298464324817e-44, Phase: 127948.15625
0:00:10.027484: Frequency: 0.75, Amplitude: 68.93621826171875, Offset: 90.25555419921875, Phase Shift: 1.401298464324817e-44, Phase: 127948.9375
0:00:10.111250: Frequency: 0.8999999761581421, Amplitude: 68.94139862060547, Offset: 90.24506378173828, Phase Shift: 1.401298464324817e-44, Phase: 127949.4609375
0:00:10.236062: Frequency: 1.0, Amplitude: 68.94842529296875, Offset: 90.23006439208984, Phase Shift: 1.401298464324817e-44, Phase: 127950.2421875
0:00:10.316456: Frequency: 1.0499999523162842, Amplitude: 68.9525146484375, Offset: 90.22084045410156, Phase Shift: 1.401298464324817e-44, Phase: 127950.75
0:00:10.429344: Frequency: 1.0499999523162842, Amplitude: 68.95767974853516, Offset: 90.2085952758789, Phase Shift: 1.401298464324817e-44, Phase: 127951.4609375
0:00:10.514796: Frequency: 1.0499999523162842, Amplitude: 68.9612045288086, Offset: 90.19982147216797, Phase Shift: 1.401298464324817e-44, Phase: 127951.9921875
0:00:10.639225: Frequency: 1.0499999523162842, Amplitude: 68.96585845947266, Offset: 90.18759155273438, Phase Shift: 1.401298464324817e-44, Phase: 127952.78125
0:00:10.726156: Frequency: 1.0499999523162842, Amplitude: 68.96876525878906, Offset: 90.17951965332031, Phase Shift: 1.401298464324817e-44, Phase: 127953.328125
0:00:10.849583: Frequency: 1.0499999523162842, Amplitude: 68.97245025634766, Offset: 90.168701171875, Phase Shift: 1.401298464324817e-44, Phase: 127954.1015625
0:00:10.936103: Frequency: 1.0499999523162842, Amplitude: 68.97480010986328, Offset: 90.16144561767578, Phase Shift: 1.401298464324817e-44, Phase: 127954.6484375
0:00:11.016682: Frequency: 1.0499999523162842, Amplitude: 68.97679901123047, Offset: 90.15497589111328, Phase Shift: 1.401298464324817e-44, Phase: 127955.15625
0:00:11.137859: Frequency: 1.0499999523162842, Amplitude: 68.97949981689453, Offset: 90.14579010009766, Phase Shift: 1.401298464324817e-44, Phase: 127955.9140625
0:00:11.219358: Frequency: 1.0499999523162842, Amplitude: 68.98112487792969, Offset: 90.13994598388672, Phase Shift: 1.401298464324817e-44, Phase: 127956.421875
0:00:11.345950: Frequency: 1.0499999523162842, Amplitude: 68.9834213256836, Offset: 90.1312484741211, Phase Shift: 1.401298464324817e-44, Phase: 127957.21875
0:00:11.426110: Frequency: 1.0499999523162842, Amplitude: 68.9847183227539, Offset: 90.12604522705078, Phase Shift: 1.401298464324817e-44, Phase: 127957.71875
0:00:11.550700: Frequency: 1.0499999523162842, Amplitude: 68.9865493774414, Offset: 90.11832427978516, Phase Shift: 1.401298464324817e-44, Phase: 127958.5078125
0:00:11.636766: Frequency: 1.0499999523162842, Amplitude: 68.98767852783203, Offset: 90.11328887939453, Phase Shift: 1.401298464324817e-44, Phase: 127959.046875
0:00:11.759406: Frequency: 1.0499999523162842, Amplitude: 68.98912811279297, Offset: 90.1064682006836, Phase Shift: 1.401298464324817e-44, Phase: 127959.8203125
0:00:11.845874: Frequency: 1.0499999523162842, Amplitude: 68.99005126953125, Offset: 90.10189056396484, Phase Shift: 1.401298464324817e-44, Phase: 127960.3671875
0:00:11.928387: Frequency: 1.0499999523162842, Amplitude: 68.9908447265625, Offset: 90.0977554321289, Phase Shift: 1.401298464324817e-44, Phase: 127960.8828125
0:00:12.040135: Frequency: 1.0499999523162842, Amplitude: 68.99182891845703, Offset: 90.0923843383789, Phase Shift: 1.401298464324817e-44, Phase: 127961.5859375
0:00:12.126611: Frequency: 1.0499999523162842, Amplitude: 68.99252319335938, Offset: 90.0884017944336, Phase Shift: 1.401298464324817e-44, Phase: 127962.1328125
0:00:12.251817: Frequency: 1.0499999523162842, Amplitude: 68.99341583251953, Offset: 90.08299255371094, Phase Shift: 1.401298464324817e-44, Phase: 127962.921875
0:00:12.336608: Frequency: 1.0499999523162842, Amplitude: 68.99396514892578, Offset: 90.07950592041016, Phase Shift: 1.401298464324817e-44, Phase: 127963.453125
0:00:12.458183: Frequency: 1.0499999523162842, Amplitude: 68.99466705322266, Offset: 90.07475280761719, Phase Shift: 1.401298464324817e-44, Phase: 127964.21875
0:00:12.540363: Frequency: 1.0499999523162842, Amplitude: 68.9950942993164, Offset: 90.07171630859375, Phase Shift: 1.401298464324817e-44, Phase: 127964.734375
0:00:12.666065: Frequency: 1.0499999523162842, Amplitude: 68.99568176269531, Offset: 90.0672836303711, Phase Shift: 1.401298464324817e-44, Phase: 127965.5234375
0:00:12.747510: Frequency: 1.0499999523162842, Amplitude: 68.99602508544922, Offset: 90.18485260009766, Phase Shift: 1.401298464324817e-44, Phase: 127966.03125
0:00:12.870391: Frequency: 1.0499999523162842, Amplitude: 68.99649810791016, Offset: 90.47496032714844, Phase Shift: 1.401298464324817e-44, Phase: 127966.8046875
0:00:12.957123: Frequency: 1.0499999523162842, Amplitude: 68.99679565429688, Offset: 91.1429672241211, Phase Shift: 1.401298464324817e-44, Phase: 127967.3515625
0:00:13.037680: Frequency: 1.0499999523162842, Amplitude: 68.99705505371094, Offset: 91.81877136230469, Phase Shift: 1.401298464324817e-44, Phase: 127967.859375
0:00:13.159475: Frequency: 1.0499999523162842, Amplitude: 68.99739837646484, Offset: 93.43030548095703, Phase Shift: 1.401298464324817e-44, Phase: 127968.6171875
0:00:13.242847: Frequency: 1.0499999523162842, Amplitude: 68.99761199951172, Offset: 94.57608032226562, Phase Shift: 1.401298464324817e-44, Phase: 127969.1484375
0:00:13.367353: Frequency: 1.0499999523162842, Amplitude: 68.9979019165039, Offset: 96.43827056884766, Phase Shift: 1.401298464324817e-44, Phase: 127969.9296875
0:00:13.449923: Frequency: 1.0499999523162842, Amplitude: 68.9980697631836, Offset: 97.80020141601562, Phase Shift: 1.401298464324817e-44, Phase: 127970.4453125
0:00:13.577002: Frequency: 1.0499999523162842, Amplitude: 68.99830627441406, Offset: 99.8800048828125, Phase Shift: 1.401298464324817e-44, Phase: 127971.25
0:00:13.657676: Frequency: 1.0499999523162842, Amplitude: 68.99844360351562, Offset: 101.34996795654297, Phase Shift: 1.401298464324817e-44, Phase: 127971.75
0:00:13.786714: Frequency: 1.0499999523162842, Amplitude: 68.9986343383789, Offset: 103.91606140136719, Phase Shift: 1.401298464324817e-44, Phase: 127972.5625
0:00:13.868510: Frequency: 1.0499999523162842, Amplitude: 68.99874114990234, Offset: 105.58324432373047, Phase Shift: 1.401298464324817e-44, Phase: 127973.078125
0:00:13.949930: Frequency: 1.0499999523162842, Amplitude: 68.99884796142578, Offset: 107.22335815429688, Phase Shift: 1.401298464324817e-44, Phase: 127973.59375
0:00:14.077692: Frequency: 1.0499999523162842, Amplitude: 68.99899291992188, Offset: 109.652587890625, Phase Shift: 1.401298464324817e-44, Phase: 127974.3984375
0:00:14.160148: Frequency: 1.0499999523162842, Amplitude: 68.99906921386719, Offset: 111.12755584716797, Phase Shift: 1.401298464324817e-44, Phase: 127974.9140625
0:00:14.287555: Frequency: 1.0499999523162842, Amplitude: 68.99918365478516, Offset: 113.31214141845703, Phase Shift: 1.401298464324817e-44, Phase: 127975.71875
0:00:14.369460: Frequency: 1.0499999523162842, Amplitude: 68.9992446899414, Offset: 114.71977233886719, Phase Shift: 1.401298464324817e-44, Phase: 127976.234375
0:00:14.452158: Frequency: 1.0499999523162842, Amplitude: 68.99930572509766, Offset: 116.16871643066406, Phase Shift: 1.401298464324817e-44, Phase: 127976.7578125
0:00:14.578588: Frequency: 1.0499999523162842, Amplitude: 68.9993896484375, Offset: 118.25566101074219, Phase Shift: 1.401298464324817e-44, Phase: 127977.546875
0:00:14.658429: Frequency: 1.0499999523162842, Amplitude: 68.99943542480469, Offset: 119.51274108886719, Phase Shift: 1.401298464324817e-44, Phase: 127978.046875
0:00:14.781067: Frequency: 1.0499999523162842, Amplitude: 68.99950408935547, Offset: 121.34954071044922, Phase Shift: 1.401298464324817e-44, Phase: 127978.8203125
0:00:14.867032: Frequency: 1.0499999523162842, Amplitude: 68.99954986572266, Offset: 122.22796630859375, Phase Shift: 1.401298464324817e-44, Phase: 127979.3671875
0:00:14.992295: Frequency: 1.0499999523162842, Amplitude: 68.99959564208984, Offset: 122.27521514892578, Phase Shift: 1.401298464324817e-44, Phase: 127980.15625
0:00:15.075710: Frequency: 1.0499999523162842, Amplitude: 68.99962615966797, Offset: 121.39102935791016, Phase Shift: 1.401298464324817e-44, Phase: 127980.6875
0:00:15.158156: Frequency: 1.0499999523162842, Amplitude: 68.9996566772461, Offset: 120.56356811523438, Phase Shift: 1.401298464324817e-44, Phase: 127981.203125
0:00:15.279957: Frequency: 1.0499999523162842, Amplitude: 68.99970245361328, Offset: 119.39427947998047, Phase Shift: 1.401298464324817e-44, Phase: 127981.96875
0:00:15.359270: Frequency: 1.0499999523162842, Amplitude: 68.99972534179688, Offset: 118.66586303710938, Phase Shift: 1.401298464324817e-44, Phase: 127982.46875
