0:00:04.233373: {Acceleration: {Time: 4216, Status: 0, Value: (0.001953125,0.001953125,-0.00390625)},Gyroscope: {Time: 4205, Status: 3, Value: (0.01953125,-0.01953125,-0.02734375)},Magnetic: {Time: 4208, Status: 1, Value: (-27.5625,28.0625,-14.875)},Gravity: {Time: 4191, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4218, Status: 0, Value: (-0.015380859375,-0.0032958984375,-0.37908935546875, 0.92523193359375)}}
0:00:04.346987: {Acceleration: {Time: 4325, Status: 0, Value: (0.001953125,0.0,0.001953125)},Gyroscope: {Time: 4289, Status: 3, Value: (0.01171875,0.01953125,0.01171875)},Magnetic: {Time: 4293, Status: 1, Value: (-27.5625,29.0625,-15.5625)},Gravity: {Time: 4332, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4327, Status: 0, Value: (-0.01556396484375,-0.00372314453125,-0.37896728515625, 0.92529296875)}}
0:00:04.446270: {Acceleration: {Time: 4428, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 4402, Status: 3, Value: (-0.01953125,-0.01171875,-0.02734375)},Magnetic: {Time: 4416, Status: 1, Value: (-27.5625,28.375,-15.25)},Gravity: {Time: 4399, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 4432, Status: 0, Value: (-0.0157470703125,-0.003173828125,-0.37896728515625, 0.92529296875)}}
0:00:04.533541: {Acceleration: {Time: 4517, Status: 0, Value: (0.001953125,0.0,0.001953125)},Gyroscope: {Time: 4487, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 4491, Status: 1, Value: (-27.75,28.625,-17.125)},Gravity: {Time: 4485, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4519, Status: 0, Value: (-0.015380859375,-0.0032958984375,-0.38165283203125, 0.9241943359375)}}
0:00:04.644131: {Acceleration: {Time: 4627, Status: 0, Value: (-0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 4601, Status: 3, Value: (-0.01953125,-0.01171875,-0.02734375)},Magnetic: {Time: 4615, Status: 1, Value: (-27.75,28.3125,-16.6875)},Gravity: {Time: 4599, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 4630, Status: 0, Value: (-0.01580810546875,-0.00311279296875,-0.38153076171875, 0.9241943359375)}}
0:00:04.731398: {Acceleration: {Time: 4715, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4649, Status: 3, Value: (-0.01953125,0.02734375,0.01171875)},Magnetic: {Time: 4653, Status: 1, Value: (-27.9375,28.75,-15.5625)},Gravity: {Time: 4646, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 4717, Status: 0, Value: (-0.0157470703125,-0.003173828125,-0.38134765625, 0.92425537109375)}}
0:00:04.839270: {Acceleration: {Time: 4823, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4802, Status: 3, Value: (0.01953125,-0.01171875,0.00390625)},Magnetic: {Time: 4816, Status: 1, Value: (-28.5,27.6875,-16.3125)},Gravity: {Time: 4799, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 4797, Status: 0, Value: (-0.0157470703125,-0.00311279296875,-0.38134765625, 0.92425537109375)}}
0:00:04.949273: {Acceleration: {Time: 4933, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4912, Status: 3, Value: (-0.01953125,-0.01171875,-0.03515625)},Magnetic: {Time: 4926, Status: 1, Value: (-28.8125,29.1875,-15.0)},Gravity: {Time: 4909, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 4906, Status: 0, Value: (-0.0157470703125,-0.00311279296875,-0.38134765625, 0.92425537109375)}}
0:00:05.035452: {Acceleration: {Time: 5012, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5021, Status: 3, Value: (0.01953125,-0.01171875,0.00390625)},Magnetic: {Time: 4982, Status: 1, Value: (-28.625,28.0625,-15.875)},Gravity: {Time: 5018, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 5015, Status: 0, Value: (-0.0157470703125,-0.00311279296875,-0.38134765625, 0.92425537109375)}}
0:00:05.135840: {Acceleration: {Time: 5113, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5122, Status: 3, Value: (-0.02734375,0.02734375,-0.02734375)},Magnetic: {Time: 5081, Status: 1, Value: (-27.1875,27.875,-17.5625)},Gravity: {Time: 5118, Status: 3, Value: (0.1796875,-0.2578125,9.640625)}, Rotation: {Time: 5115, Status: 0, Value: (-0.01593017578125,-0.00341796875,-0.3878173828125, 0.92156982421875)}}
