0:00:04.355461: {Acceleration: {Time: 4330, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4304, Status: 3, Value: (-0.01953125,0.01171875,-0.02734375)},Magnetic: {Time: 4318, Status: 1, Value: (-29.25,28.5625,-14.5)},Gravity: {Time: 4301, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 4332, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.3892822265625, 0.92095947265625)}}
0:00:04.463801: {Acceleration: {Time: 4438, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4418, Status: 3, Value: (-0.01953125,-0.02734375,-0.02734375)},Magnetic: {Time: 4432, Status: 1, Value: (-30.25,29.1875,-16.5625)},Gravity: {Time: 4415, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 4412, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.3892822265625, 0.92095947265625)}}
0:00:04.582777: {Acceleration: {Time: 4556, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4530, Status: 3, Value: (-0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 4544, Status: 1, Value: (-29.0,27.75,-16.0625)},Gravity: {Time: 4528, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 4560, Status: 0, Value: (-0.0150146484375,-0.0032958984375,-0.3892822265625, 0.92095947265625)}}
0:00:04.660712: {Acceleration: {Time: 4635, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4630, Status: 3, Value: (-0.01953125,0.01953125,0.00390625)},Magnetic: {Time: 4632, Status: 1, Value: (-29.1875,28.1875,-14.5)},Gravity: {Time: 4626, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 4638, Status: 0, Value: (-0.01507568359375,-0.0032958984375,-0.3892822265625, 0.92095947265625)}}
0:00:04.775631: {Acceleration: {Time: 4748, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4753, Status: 3, Value: (-0.01953125,0.01953125,-0.03515625)},Magnetic: {Time: 4710, Status: 1, Value: (-28.8125,29.5,-15.1875)},Gravity: {Time: 4750, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 4744, Status: 0, Value: (-0.01507568359375,-0.0032958984375,-0.3892822265625, 0.92095947265625)}}
0:00:04.872107: {Acceleration: {Time: 4840, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4849, Status: 3, Value: (-0.01953125,0.01953125,0.00390625)},Magnetic: {Time: 4787, Status: 1, Value: (-29.5625,28.5,-15.1875)},Gravity: {Time: 4846, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 4843, Status: 0, Value: (-0.01507568359375,-0.0032958984375,-0.3892822265625, 0.92095947265625)}}
0:00:04.972613: {Acceleration: {Time: 4947, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4920, Status: 3, Value: (-0.01953125,0.01953125,0.00390625)},Magnetic: {Time: 4934, Status: 1, Value: (-29.9375,28.875,-15.5)},Gravity: {Time: 4916, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 4950, Status: 0, Value: (-0.01507568359375,-0.0032958984375,-0.3892822265625, 0.92095947265625)}}
0:00:05.061225: {Acceleration: {Time: 5035, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5006, Status: 3, Value: (-0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 5009, Status: 1, Value: (-28.9375,27.75,-16.4375)},Gravity: {Time: 5004, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 5039, Status: 0, Value: (-0.01507568359375,-0.0032958984375,-0.3892822265625, 0.92095947265625)}}
0:00:05.174323: {Acceleration: {Time: 5149, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5123, Status: 3, Value: (-0.01953125,-0.02734375,0.01171875)},Magnetic: {Time: 5137, Status: 1, Value: (-29.5,28.8125,-15.9375)},Gravity: {Time: 5121, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 5152, Status: 0, Value: (-0.01507568359375,-0.0032958984375,-0.3892822265625, 0.92095947265625)}}
0:00:05.289303: {Acceleration: {Time: 5265, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5254, Status: 3, Value: (0.01953125,0.01171875,-0.02734375)},Magnetic: {Time: 5257, Status: 1, Value: (-29.25,29.8125,-15.1875)},Gravity: {Time: 5240, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 5267, Status: 0, Value: (-0.01507568359375,-0.0032958984375,-0.3892822265625, 0.92095947265625)}}
0:00:05.368220: {Acceleration: {Time: 5344, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5287, Status: 3, Value: (0.01953125,-0.02734375,0.01171875)},Magnetic: {Time: 5290, Status: 1, Value: (-28.25,28.75,-15.6875)},Gravity: {Time: 5283, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 5337, Status: 0, Value: (-0.01507568359375,-0.0032958984375,-0.3892822265625, 0.92095947265625)}}
0:00:05.482103: {Acceleration: {Time: 5457, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5430, Status: 3, Value: (-0.01953125,0.01171875,-0.02734375)},Magnetic: {Time: 5444, Status: 1, Value: (-29.0625,27.8125,-15.3125)},Gravity: {Time: 5426, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 5460, Status: 0, Value: (-0.01507568359375,-0.0032958984375,-0.3917236328125, 0.919921875)}}
0:00:05.596068: {Acceleration: {Time: 5574, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5518, Status: 3, Value: (-0.01953125,0.01171875,-0.02734375)},Magnetic: {Time: 5532, Status: 1, Value: (-30.75,27.9375,-14.75)},Gravity: {Time: 5515, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 5571, Status: 0, Value: (-0.01507568359375,-0.0032958984375,-0.3917236328125, 0.919921875)}}
0:00:05.664176: {Acceleration: {Time: 5640, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5632, Status: 3, Value: (0.01953125,0.01171875,0.01171875)},Magnetic: {Time: 5635, Status: 1, Value: (-28.875,26.8125,-16.125)},Gravity: {Time: 5629, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 5642, Status: 0, Value: (-0.01507568359375,-0.0032958984375,-0.3917236328125, 0.919921875)}}
0:00:05.775533: {Acceleration: {Time: 5751, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5731, Status: 3, Value: (0.01953125,0.01171875,0.01171875)},Magnetic: {Time: 5745, Status: 1, Value: (-29.5625,28.1875,-15.25)},Gravity: {Time: 5728, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 5724, Status: 0, Value: (-0.01507568359375,-0.0032958984375,-0.3917236328125, 0.919921875)}}
0:00:05.892608: {Acceleration: {Time: 5862, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5871, Status: 3, Value: (0.01953125,-0.01953125,-0.03515625)},Magnetic: {Time: 5830, Status: 1, Value: (-28.6875,28.125,-15.25)},Gravity: {Time: 5867, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 5864, Status: 0, Value: (-0.015380859375,-0.00311279296875,-0.3917236328125, 0.919921875)}}
0:00:05.985527: {Acceleration: {Time: 5961, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5953, Status: 3, Value: (-0.01953125,0.01953125,0.00390625)},Magnetic: {Time: 5956, Status: 1, Value: (-29.3125,28.6875,-17.5)},Gravity: {Time: 5949, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 5964, Status: 0, Value: (-0.015380859375,-0.00311279296875,-0.3917236328125, 0.919921875)}}
