0:00:03.278178: {Acceleration: {Time: 3228, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3194, Status: 3, Value: (0.0,-0.015625,0.00390625)},Magnetic: {Time: 3169, Status: 0, Value: (-3.625,2.1875,-35.1875)},Gravity: {Time: 3190, Status: 3, Value: (0.34375,-0.4453125,9.7265625)}, Rotation: {Time: 3224, Status: 0, Value: (-0.02313232421875,-0.017578125,-0.0008544921875, 0.99957275390625)}}
0:00:03.373469: {Acceleration: {Time: 3314, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3323, Status: 3, Value: (0.0,0.03125,0.01171875)},Magnetic: {Time: 3260, Status: 0, Value: (-3.25,3.25,-34.375)},Gravity: {Time: 3320, Status: 3, Value: (0.34375,-0.453125,9.71875)}, Rotation: {Time: 3316, Status: 0, Value: (-0.02313232421875,-0.017578125,-0.0008544921875, 0.99957275390625)}}
0:00:03.436532: {Acceleration: {Time: 3393, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3379, Status: 3, Value: (0.0,-0.0078125,-0.02734375)},Magnetic: {Time: 3382, Status: 0, Value: (-3.25,2.1875,-34.8125)},Gravity: {Time: 3365, Status: 3, Value: (0.34375,-0.453125,9.71875)}, Rotation: {Time: 3389, Status: 0, Value: (-0.02313232421875,-0.017578125,-0.0008544921875, 0.99957275390625)}}
0:00:03.547836: {Acceleration: {Time: 3486, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3495, Status: 3, Value: (0.0390625,0.03125,0.01171875)},Magnetic: {Time: 3458, Status: 0, Value: (-2.875,2.5625,-34.0)},Gravity: {Time: 3491, Status: 3, Value: (0.34375,-0.453125,9.71875)}, Rotation: {Time: 3488, Status: 0, Value: (-0.02313232421875,-0.017578125,-0.0008544921875, 0.99957275390625)}}
0:00:03.642768: {Acceleration: {Time: 3590, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3561, Status: 3, Value: (0.0,-0.0078125,0.01171875)},Magnetic: {Time: 3564, Status: 0, Value: (-2.5625,2.875,-35.1875)},Gravity: {Time: 3559, Status: 3, Value: (0.34375,-0.453125,9.71875)}, Rotation: {Time: 3594, Status: 0, Value: (-0.02313232421875,-0.017578125,-0.0008544921875, 0.99957275390625)}}
0:00:03.739319: {Acceleration: {Time: 3685, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3650, Status: 3, Value: (0.0,-0.0078125,0.01171875)},Magnetic: {Time: 3653, Status: 0, Value: (-3.625,1.8125,-34.375)},Gravity: {Time: 3636, Status: 3, Value: (0.34375,-0.453125,9.71875)}, Rotation: {Time: 3678, Status: 0, Value: (-0.02313232421875,-0.017578125,-0.0008544921875, 0.99957275390625)}}
0:00:03.833633: {Acceleration: {Time: 3776, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3785, Status: 3, Value: (0.0,-0.015625,0.00390625)},Magnetic: {Time: 3721, Status: 0, Value: (-3.25,3.25,-34.0)},Gravity: {Time: 3782, Status: 3, Value: (0.34375,-0.4453125,9.7265625)}, Rotation: {Time: 3778, Status: 0, Value: (-0.02313232421875,-0.01763916015625,-0.0008544921875, 0.99957275390625)}}
0:00:03.929389: {Acceleration: {Time: 3876, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3885, Status: 3, Value: (-0.0390625,-0.015625,0.00390625)},Magnetic: {Time: 3848, Status: 0, Value: (-3.25,2.875,-34.375)},Gravity: {Time: 3882, Status: 3, Value: (0.34375,-0.4453125,9.7265625)}, Rotation: {Time: 3878, Status: 0, Value: (-0.02313232421875,-0.01763916015625,-0.0008544921875, 0.99957275390625)}}
0:00:04.024487: {Acceleration: {Time: 3975, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3966, Status: 3, Value: (0.0390625,-0.015625,0.04296875)},Magnetic: {Time: 3969, Status: 0, Value: (-2.5625,2.5625,-34.8125)},Gravity: {Time: 3963, Status: 3, Value: (0.34375,-0.4453125,9.7265625)}, Rotation: {Time: 3977, Status: 0, Value: (-0.02313232421875,-0.01763916015625,-0.0008544921875, 0.99957275390625)}}
0:00:04.118156: {Acceleration: {Time: 4073, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4037, Status: 3, Value: (0.0,0.0234375,-0.03515625)},Magnetic: {Time: 4039, Status: 0, Value: (-2.875,2.1875,-34.375)},Gravity: {Time: 4033, Status: 3, Value: (0.34375,-0.4453125,9.7265625)}, Rotation: {Time: 4070, Status: 0, Value: (-0.02313232421875,-0.01763916015625,-0.0008544921875, 0.99957275390625)}}
