0:00:03.394674: {Acceleration: {Time: 3370, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 3358, Status: 3, Value: (-0.05859375,0.01171875,-0.03515625)},Magnetic: {Time: 3361, Status: 1, Value: (-29.9375,27.875,-14.9375)},Gravity: {Time: 3354, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 3363, Status: 0, Value: (-0.0150146484375,-0.00335693359375,-0.385498046875, 0.922607421875)}}
0:00:03.520474: {Acceleration: {Time: 3493, Status: 0, Value: (0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 3467, Status: 3, Value: (-0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 3481, Status: 1, Value: (-29.125,28.1875,-15.125)},Gravity: {Time: 3464, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 3496, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.385498046875, 0.922607421875)}}
0:00:03.604628: {Acceleration: {Time: 3572, Status: 0, Value: (0.001953125,0.001953125,0.001953125)},Gyroscope: {Time: 3580, Status: 3, Value: (-0.01953125,0.01171875,-0.03515625)},Magnetic: {Time: 3519, Status: 1, Value: (-29.5,28.8125,-15.8125)},Gravity: {Time: 3578, Status: 3, Value: (0.171875,-0.2421875,9.6484375)}, Rotation: {Time: 3574, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.385498046875, 0.922607421875)}}
0:00:03.701693: {Acceleration: {Time: 3677, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3639, Status: 3, Value: (-0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 3642, Status: 1, Value: (-28.75,29.375,-15.8125)},Gravity: {Time: 3635, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 3673, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.385498046875, 0.922607421875)}}
0:00:03.817016: {Acceleration: {Time: 3790, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3738, Status: 3, Value: (0.01953125,-0.046875,0.00390625)},Magnetic: {Time: 3740, Status: 1, Value: (-28.9375,29.1875,-14.3125)},Gravity: {Time: 3734, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 3784, Status: 0, Value: (-0.0157470703125,-0.0030517578125,-0.385498046875, 0.922607421875)}}
0:00:03.902232: {Acceleration: {Time: 3870, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3878, Status: 3, Value: (0.01953125,-0.01171875,-0.0703125)},Magnetic: {Time: 3815, Status: 1, Value: (-29.5625,29.1875,-15.75)},Gravity: {Time: 3874, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 3872, Status: 0, Value: (-0.0157470703125,-0.0030517578125,-0.385498046875, 0.922607421875)}}
0:00:04.023292: {Acceleration: {Time: 3999, Status: 0, Value: (0.005859375,0.001953125,0.0)},Gyroscope: {Time: 3961, Status: 3, Value: (-0.01953125,-0.01171875,-0.03515625)},Magnetic: {Time: 3964, Status: 1, Value: (-27.5,29.0,-15.9375)},Gravity: {Time: 3957, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 3995, Status: 0, Value: (-0.01580810546875,-0.00323486328125,-0.37725830078125, 0.92596435546875)}}
0:00:04.126662: {Acceleration: {Time: 4100, Status: 0, Value: (0.001953125,-0.00390625,-0.001953125)},Gyroscope: {Time: 4059, Status: 3, Value: (-0.01953125,0.02734375,-0.0625)},Magnetic: {Time: 4062, Status: 1, Value: (-28.625,29.0625,-16.25)},Gravity: {Time: 4102, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4094, Status: 0, Value: (-0.01580810546875,-0.003173828125,-0.37725830078125, 0.92596435546875)}}
0:00:04.222250: {Acceleration: {Time: 4195, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 4160, Status: 3, Value: (0.09765625,-0.0546875,0.16796875)},Magnetic: {Time: 4136, Status: 1, Value: (-29.375,27.5,-16.25)},Gravity: {Time: 4156, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4198, Status: 0, Value: (-0.01531982421875,-0.00335693359375,-0.37725830078125, 0.92596435546875)}}
0:00:04.308472: {Acceleration: {Time: 4282, Status: 0, Value: (-0.00390625,-0.001953125,-0.001953125)},Gyroscope: {Time: 4246, Status: 3, Value: (0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 4249, Status: 1, Value: (-28.5625,28.5,-13.9375)},Gravity: {Time: 4243, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4284, Status: 0, Value: (-0.015380859375,-0.00335693359375,-0.37725830078125, 0.92596435546875)}}
