0:00:03.656782 {Acceleration: {Time: 3627, Status: 0, Value: (0.00390625,0.001953125,0.0)},Gyroscope: {Time: 3587, Status: 3, Value: (-0.01171875,0.02734375,-0.03515625)},Magnetic: {Time: 3591, Status: 1, Value: (-31.125,29.875,-16.25)},Gravity: {Time: 3573, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 3629, Status: 0, Value: (-0.0155029296875,-0.00262451171875,-0.388916015625, 0.921142578125)}}
0:00:03.765687 {Acceleration: {Time: 3738, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3677, Status: 3, Value: (-0.01171875,-0.01171875,0.00390625)},Magnetic: {Time: 3679, Status: 1, Value: (-30.6875,29.25,-15.9375)},Gravity: {Time: 3674, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 3735, Status: 0, Value: (-0.0155029296875,-0.002685546875,-0.38897705078125, 0.921142578125)}}
0:00:03.857022 {Acceleration: {Time: 3829, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3797, Status: 3, Value: (-0.01171875,-0.01171875,-0.03515625)},Magnetic: {Time: 3800, Status: 1, Value: (-32.25,28.9375,-16.5625)},Gravity: {Time: 3795, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 3826, Status: 0, Value: (-0.0155029296875,-0.002685546875,-0.38897705078125, 0.921142578125)}}
0:00:03.975612 {Acceleration: {Time: 3939, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 3948, Status: 3, Value: (-0.01171875,-0.01171875,-0.0625)},Magnetic: {Time: 3879, Status: 1, Value: (-30.5625,29.1875,-17.0625)},Gravity: {Time: 3946, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 3942, Status: 0, Value: (-0.0155029296875,-0.002685546875,-0.38897705078125, 0.921142578125)}}
0:00:04.071603 {Acceleration: {Time: 4044, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4006, Status: 3, Value: (-0.00390625,0.02734375,-0.02734375)},Magnetic: {Time: 4008, Status: 1, Value: (-30.5625,29.75,-17.4375)},Gravity: {Time: 4003, Status: 3, Value: (0.15625,-0.2578125,9.640625)}, Rotation: {Time: 4039, Status: 0, Value: (-0.0155029296875,-0.00262451171875,-0.38897705078125, 0.921142578125)}}
0:00:04.165443 {Acceleration: {Time: 4136, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4104, Status: 3, Value: (-0.01171875,-0.01171875,0.01171875)},Magnetic: {Time: 4108, Status: 1, Value: (-29.8125,30.0625,-17.4375)},Gravity: {Time: 4101, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 4129, Status: 0, Value: (-0.0155029296875,-0.00262451171875,-0.38897705078125, 0.921142578125)}}
0:00:04.278989 {Acceleration: {Time: 4249, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4223, Status: 3, Value: (-0.01171875,0.02734375,-0.02734375)},Magnetic: {Time: 4237, Status: 1, Value: (-30.25,28.875,-16.375)},Gravity: {Time: 4220, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 4252, Status: 0, Value: (-0.0155029296875,-0.00262451171875,-0.38897705078125, 0.921142578125)}}
0:00:04.364179 {Acceleration: {Time: 4335, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4309, Status: 3, Value: (-0.01171875,0.02734375,-0.02734375)},Magnetic: {Time: 4323, Status: 1, Value: (-30.125,28.125,-17.1875)},Gravity: {Time: 4306, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 4337, Status: 0, Value: (-0.0155029296875,-0.00262451171875,-0.38897705078125, 0.921142578125)}}
0:00:04.477738 {Acceleration: {Time: 4448, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4421, Status: 3, Value: (-0.01171875,-0.01171875,0.00390625)},Magnetic: {Time: 4435, Status: 1, Value: (-30.375,28.125,-17.5625)},Gravity: {Time: 4419, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 4451, Status: 0, Value: (-0.0155029296875,-0.00262451171875,-0.38897705078125, 0.921142578125)}}
0:00:04.560886 {Acceleration: {Time: 4534, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4520, Status: 3, Value: (-0.01171875,-0.01171875,-0.02734375)},Magnetic: {Time: 4523, Status: 1, Value: (-31.0625,29.25,-16.25)},Gravity: {Time: 4506, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 4530, Status: 0, Value: (-0.0155029296875,-0.00262451171875,-0.38897705078125, 0.921142578125)}}
