0:00:04.176161: {Acceleration: {Time: 4133, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4142, Status: 3, Value: (-0.01171875,0.01171875,-0.03515625)},Magnetic: {Time: 4077, Status: 1, Value: (-29.5,28.1875,-15.5625)},Gravity: {Time: 4138, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 4135, Status: 0, Value: (-0.01507568359375,-0.003173828125,-0.3966064453125, 0.9178466796875)}}
0:00:04.296276: {Acceleration: {Time: 4262, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4224, Status: 3, Value: (-0.01171875,0.01171875,-0.03515625)},Magnetic: {Time: 4227, Status: 1, Value: (-30.3125,28.875,-16.25)},Gravity: {Time: 4220, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 4258, Status: 0, Value: (-0.014892578125,-0.0028076171875,-0.3966064453125, 0.9178466796875)}}
0:00:04.397032: {Acceleration: {Time: 4354, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4363, Status: 3, Value: (-0.01953125,-0.02734375,-0.02734375)},Magnetic: {Time: 4326, Status: 1, Value: (-29.8125,29.125,-17.0625)},Gravity: {Time: 4360, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 4356, Status: 0, Value: (-0.014892578125,-0.0028076171875,-0.3966064453125, 0.9178466796875)}}
0:00:04.487719: {Acceleration: {Time: 4451, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4444, Status: 3, Value: (-0.01953125,0.01171875,-0.02734375)},Magnetic: {Time: 4447, Status: 1, Value: (-29.5625,28.875,-15.1875)},Gravity: {Time: 4440, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 4454, Status: 0, Value: (-0.01507568359375,-0.003173828125,-0.3966064453125, 0.9178466796875)}}
0:00:04.603729: {Acceleration: {Time: 4570, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4513, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 4527, Status: 1, Value: (-28.0,28.0625,-15.0)},Gravity: {Time: 4510, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 4566, Status: 0, Value: (-0.01507568359375,-0.003173828125,-0.3966064453125, 0.9178466796875)}}
0:00:04.689269: {Acceleration: {Time: 4656, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4616, Status: 3, Value: (0.02734375,-0.01953125,-0.02734375)},Magnetic: {Time: 4619, Status: 1, Value: (-29.1875,28.8125,-15.25)},Gravity: {Time: 4602, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 4652, Status: 0, Value: (-0.01507568359375,-0.003173828125,-0.3966064453125, 0.9178466796875)}}
0:00:04.787281: {Acceleration: {Time: 4750, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4713, Status: 3, Value: (0.01953125,-0.02734375,0.05078125)},Magnetic: {Time: 4689, Status: 1, Value: (-29.5625,28.8125,-15.5625)},Gravity: {Time: 4710, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 4753, Status: 0, Value: (-0.01507568359375,-0.003173828125,-0.3966064453125, 0.9178466796875)}}
0:00:04.898175: {Acceleration: {Time: 4860, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4800, Status: 3, Value: (-0.01953125,0.01171875,0.05078125)},Magnetic: {Time: 4804, Status: 1, Value: (-28.5625,27.75,-16.125)},Gravity: {Time: 4864, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 4862, Status: 0, Value: (-0.01507568359375,-0.003173828125,-0.3966064453125, 0.9178466796875)}}
0:00:04.985589: {Acceleration: {Time: 4950, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4940, Status: 3, Value: (-0.01953125,0.01171875,0.01171875)},Magnetic: {Time: 4943, Status: 1, Value: (-29.5,27.5625,-15.25)},Gravity: {Time: 4926, Status: 3, Value: (0.171875,-0.2421875,9.640625)}, Rotation: {Time: 4952, Status: 0, Value: (-0.01507568359375,-0.003173828125,-0.3966064453125, 0.9178466796875)}}
0:00:05.100625: {Acceleration: {Time: 5067, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5027, Status: 3, Value: (0.02734375,0.01171875,0.00390625)},Magnetic: {Time: 5031, Status: 1, Value: (-28.8125,29.75,-15.1875)},Gravity: {Time: 5013, Status: 3, Value: (0.1640625,-0.2421875,9.6484375)}, Rotation: {Time: 5064, Status: 0, Value: (-0.01507568359375,-0.003173828125,-0.3966064453125, 0.9178466796875)}}
